"","corpus","version","mfw","features","ngrams","distances","media"
"223","Poesia_SiglodeOro","annotation",5000,"w",3,"dist.wurzburg",72.2644120585297
"224","Poesia_SiglodeOro","annotation",5000,"w",4,"dist.wurzburg",71.9702944114709
"183","Poesia_SiglodeOro","annotation",500,"w",3,"dist.wurzburg",70.9375265257618
"216","Poesia_SiglodeOro","annotation",4000,"w",4,"dist.wurzburg",70.2584506996272
"175","Poesia_SiglodeOro","annotation",100,"w",3,"dist.wurzburg",69.7972778855132
"215","Poesia_SiglodeOro","annotation",4000,"w",3,"dist.wurzburg",69.6822034174975
"200","Poesia_SiglodeOro","annotation",2000,"w",4,"dist.wurzburg",69.3747788159553
"208","Poesia_SiglodeOro","annotation",3000,"w",4,"dist.wurzburg",68.5804718157659
"184","Poesia_SiglodeOro","annotation",500,"w",4,"dist.wurzburg",68.0265257618199
"182","Poesia_SiglodeOro","annotation",500,"w",2,"dist.wurzburg",67.8157594039947
"192","Poesia_SiglodeOro","annotation",1000,"w",4,"dist.wurzburg",67.7770758653112
"191","Poesia_SiglodeOro","annotation",1000,"w",3,"dist.wurzburg",67.4750217103158
"180","Poesia_SiglodeOro","annotation",500,"c",4,"dist.wurzburg",67.1897742780096
"198","Poesia_SiglodeOro","annotation",2000,"w",2,"dist.wurzburg",67.1878219819396
"206","Poesia_SiglodeOro","annotation",3000,"w",2,"dist.wurzburg",67.1878219819396
"214","Poesia_SiglodeOro","annotation",4000,"w",2,"dist.wurzburg",67.1878219819396
"222","Poesia_SiglodeOro","annotation",5000,"w",2,"dist.wurzburg",67.1878219819396
"174","Poesia_SiglodeOro","annotation",100,"w",2,"dist.wurzburg",66.3702147525677
"207","Poesia_SiglodeOro","annotation",3000,"w",3,"dist.wurzburg",66.0861328214269
"172","Poesia_SiglodeOro","annotation",100,"c",4,"dist.wurzburg",65.697776080129
"199","Poesia_SiglodeOro","annotation",2000,"w",3,"dist.wurzburg",65.5350956233309
"67","Poesia_SiglodeOro","annotation",500,"c",3,"dist.eder",65.2586367880486
"75","Poesia_SiglodeOro","annotation",1000,"c",3,"dist.eder",65.2586367880486
