"","corpus","version","mfw","features","ngrams","distances","media"
"221","Poesia_SiglodeOro","combination",5000,"w",1,"dist.wurzburg",87.7203224221838
"101","Poesia_SiglodeOro","combination",4000,"w",1,"dist.eder",86.9045962797567
"109","Poesia_SiglodeOro","combination",5000,"w",1,"dist.eder",86.6456449572624
"54","Poesia_SiglodeOro","combination",5000,"w",2,"dist.delta",86.0486838043802
"93","Poesia_SiglodeOro","combination",3000,"w",1,"dist.eder",85.5073418825023
"213","Poesia_SiglodeOro","combination",4000,"w",1,"dist.wurzburg",85.2671127596513
"29","Poesia_SiglodeOro","combination",2000,"w",1,"dist.delta",84.9781541581927
"37","Poesia_SiglodeOro","combination",3000,"w",1,"dist.delta",84.1661013319389
"197","Poesia_SiglodeOro","combination",2000,"w",1,"dist.wurzburg",83.145681303897
"205","Poesia_SiglodeOro","combination",3000,"w",1,"dist.wurzburg",82.803117405412
"219","Poesia_SiglodeOro","combination",5000,"c",3,"dist.wurzburg",81.3523143306519
"46","Poesia_SiglodeOro","combination",4000,"w",2,"dist.delta",80.2600069237585
"214","Poesia_SiglodeOro","combination",4000,"w",2,"dist.wurzburg",80.1334997775145
"181","Poesia_SiglodeOro","combination",500,"w",1,"dist.wurzburg",79.3445477156966
"222","Poesia_SiglodeOro","combination",5000,"w",2,"dist.wurzburg",79.3177508840218
"220","Poesia_SiglodeOro","combination",5000,"c",4,"dist.wurzburg",77.6711343426684
"212","Poesia_SiglodeOro","combination",4000,"c",4,"dist.wurzburg",77.6071723543643
"180","Poesia_SiglodeOro","combination",500,"c",4,"dist.wurzburg",77.1556225903145
"206","Poesia_SiglodeOro","combination",3000,"w",2,"dist.wurzburg",77.1163801684501
"187","Poesia_SiglodeOro","combination",1000,"c",3,"dist.wurzburg",77.0779846300546
"188","Poesia_SiglodeOro","combination",1000,"c",4,"dist.wurzburg",76.7436369984509
"45","Poesia_SiglodeOro","combination",4000,"w",1,"dist.delta",76.7386062938053
"189","Poesia_SiglodeOro","combination",1000,"w",1,"dist.wurzburg",76.7044173276522
"204","Poesia_SiglodeOro","combination",3000,"c",4,"dist.wurzburg",76.5558754128234
"179","Poesia_SiglodeOro","combination",500,"c",3,"dist.wurzburg",76.449591072826
"211","Poesia_SiglodeOro","combination",4000,"c",3,"dist.wurzburg",76.4045010419369
"182","Poesia_SiglodeOro","combination",500,"w",2,"dist.wurzburg",76.2173212089772
"190","Poesia_SiglodeOro","combination",1000,"w",2,"dist.wurzburg",75.7997849077759
"223","Poesia_SiglodeOro","combination",5000,"w",3,"dist.wurzburg",75.7006944478864
"203","Poesia_SiglodeOro","combination",3000,"c",3,"dist.wurzburg",75.4137381467292
"195","Poesia_SiglodeOro","combination",2000,"c",3,"dist.wurzburg",75.3556581521922
"224","Poesia_SiglodeOro","combination",5000,"w",4,"dist.wurzburg",75.2501700994962
"198","Poesia_SiglodeOro","combination",2000,"w",2,"dist.wurzburg",75.1363782519912
"196","Poesia_SiglodeOro","combination",2000,"c",4,"dist.wurzburg",74.7715488388627
"215","Poesia_SiglodeOro","combination",4000,"w",3,"dist.wurzburg",74.5840781295691
"110","Poesia_SiglodeOro","combination",5000,"w",2,"dist.eder",74.5612536133236
"85","Poesia_SiglodeOro","combination",2000,"w",1,"dist.eder",74.5043928831637
"178","Poesia_SiglodeOro","combination",500,"c",2,"dist.wurzburg",74.3348313584995
"186","Poesia_SiglodeOro","combination",1000,"c",2,"dist.wurzburg",74.2975397114518
"194","Poesia_SiglodeOro","combination",2000,"c",2,"dist.wurzburg",74.2975397114518
"202","Poesia_SiglodeOro","combination",3000,"c",2,"dist.wurzburg",74.2975397114518
"210","Poesia_SiglodeOro","combination",4000,"c",2,"dist.wurzburg",74.2975397114518
"218","Poesia_SiglodeOro","combination",5000,"c",2,"dist.wurzburg",74.2975397114518
"173","Poesia_SiglodeOro","combination",100,"w",1,"dist.wurzburg",73.4345148605418
"53","Poesia_SiglodeOro","combination",5000,"w",1,"dist.delta",72.4183624299157
"207","Poesia_SiglodeOro","combination",3000,"w",3,"dist.wurzburg",72.1756903726576
"216","Poesia_SiglodeOro","combination",4000,"w",4,"dist.wurzburg",72.1036653859985
"183","Poesia_SiglodeOro","combination",500,"w",3,"dist.wurzburg",71.3314104724567
"199","Poesia_SiglodeOro","combination",2000,"w",3,"dist.wurzburg",71.2887633759746
"174","Poesia_SiglodeOro","combination",100,"w",2,"dist.wurzburg",70.5001138241671
"208","Poesia_SiglodeOro","combination",3000,"w",4,"dist.wurzburg",70.4010572327325
"165","Poesia_SiglodeOro","combination",5000,"w",1,"dist.minmax",70.0592835981957
"149","Poesia_SiglodeOro","combination",3000,"w",1,"dist.minmax",69.7815058204179
"38","Poesia_SiglodeOro","combination",3000,"w",2,"dist.delta",69.546920028868
"157","Poesia_SiglodeOro","combination",4000,"w",1,"dist.minmax",69.5037280426401
"141","Poesia_SiglodeOro","combination",2000,"w",1,"dist.minmax",68.6770780844112
"191","Poesia_SiglodeOro","combination",1000,"w",3,"dist.wurzburg",68.5665593270696
"200","Poesia_SiglodeOro","combination",2000,"w",4,"dist.wurzburg",68.5381253479777
"102","Poesia_SiglodeOro","combination",4000,"w",2,"dist.eder",67.4626420960664
"170","Poesia_SiglodeOro","combination",100,"c",2,"dist.wurzburg",67.0798735192188
"51","Poesia_SiglodeOro","combination",5000,"c",3,"dist.delta",67.0498551228654
"43","Poesia_SiglodeOro","combination",4000,"c",3,"dist.delta",66.4585923375237
"21","Poesia_SiglodeOro","combination",1000,"w",1,"dist.delta",66.1900973387655
"133","Poesia_SiglodeOro","combination",1000,"w",1,"dist.minmax",65.9724584753468
"125","Poesia_SiglodeOro","combination",500,"w",1,"dist.minmax",65.6749962414276
"192","Poesia_SiglodeOro","combination",1000,"w",4,"dist.wurzburg",65.4804131566006
"107","Poesia_SiglodeOro","combination",5000,"c",3,"dist.eder",65.3583711737595
"61","Poesia_SiglodeOro","combination",100,"w",1,"dist.eder",65.3553838658941
"18","Poesia_SiglodeOro","combination",1000,"c",2,"dist.delta",64.924984607751
"26","Poesia_SiglodeOro","combination",2000,"c",2,"dist.delta",64.924984607751
"34","Poesia_SiglodeOro","combination",3000,"c",2,"dist.delta",64.924984607751
"42","Poesia_SiglodeOro","combination",4000,"c",2,"dist.delta",64.924984607751
"50","Poesia_SiglodeOro","combination",5000,"c",2,"dist.delta",64.924984607751
"171","Poesia_SiglodeOro","combination",100,"c",3,"dist.wurzburg",63.76820470755
"2","Poesia_SiglodeOro","combination",100,"c",2,"dist.delta",63.5576782196647
"5","Poesia_SiglodeOro","combination",100,"w",1,"dist.delta",63.5113350559435
"117","Poesia_SiglodeOro","combination",100,"w",1,"dist.minmax",63.2372305943391
"77","Poesia_SiglodeOro","combination",1000,"w",1,"dist.eder",62.9642381470045
"58","Poesia_SiglodeOro","combination",100,"c",2,"dist.eder",62.9531984418859
"114","Poesia_SiglodeOro","combination",100,"c",2,"dist.minmax",62.9531984418859
"166","Poesia_SiglodeOro","combination",5000,"w",2,"dist.minmax",62.9214524101398
"74","Poesia_SiglodeOro","combination",1000,"c",2,"dist.eder",62.4909261452907
"82","Poesia_SiglodeOro","combination",2000,"c",2,"dist.eder",62.4909261452907
"90","Poesia_SiglodeOro","combination",3000,"c",2,"dist.eder",62.4909261452907
"98","Poesia_SiglodeOro","combination",4000,"c",2,"dist.eder",62.4909261452907
"106","Poesia_SiglodeOro","combination",5000,"c",2,"dist.eder",62.4909261452907
"122","Poesia_SiglodeOro","combination",500,"c",2,"dist.minmax",62.1604238224103
"130","Poesia_SiglodeOro","combination",1000,"c",2,"dist.minmax",62.1604238224103
"138","Poesia_SiglodeOro","combination",2000,"c",2,"dist.minmax",62.1604238224103
"146","Poesia_SiglodeOro","combination",3000,"c",2,"dist.minmax",62.1604238224103
"154","Poesia_SiglodeOro","combination",4000,"c",2,"dist.minmax",62.1604238224103
"162","Poesia_SiglodeOro","combination",5000,"c",2,"dist.minmax",62.1604238224103
"172","Poesia_SiglodeOro","combination",100,"c",4,"dist.wurzburg",61.8500531294177
"115","Poesia_SiglodeOro","combination",100,"c",3,"dist.minmax",61.8110611757916
"175","Poesia_SiglodeOro","combination",100,"w",3,"dist.wurzburg",61.5426520872606
"59","Poesia_SiglodeOro","combination",100,"c",3,"dist.eder",61.2998757743623
"147","Poesia_SiglodeOro","combination",3000,"c",3,"dist.minmax",61.2752421181497
"155","Poesia_SiglodeOro","combination",4000,"c",3,"dist.minmax",61.2752421181497
"163","Poesia_SiglodeOro","combination",5000,"c",3,"dist.minmax",61.2752421181497
"158","Poesia_SiglodeOro","combination",4000,"w",2,"dist.minmax",61.2610401181486
"131","Poesia_SiglodeOro","combination",1000,"c",3,"dist.minmax",61.2602271031347
"150","Poesia_SiglodeOro","combination",3000,"w",2,"dist.minmax",61.0171376791242
"139","Poesia_SiglodeOro","combination",2000,"c",3,"dist.minmax",60.9974643403719
"123","Poesia_SiglodeOro","combination",500,"c",3,"dist.minmax",60.7238116302622
"55","Poesia_SiglodeOro","combination",5000,"w",3,"dist.delta",60.4939090475034
"10","Poesia_SiglodeOro","combination",500,"c",2,"dist.delta",60.2549602142028
"142","Poesia_SiglodeOro","combination",2000,"w",2,"dist.minmax",59.9612051649118
"124","Poesia_SiglodeOro","combination",500,"c",4,"dist.minmax",59.9122920600777
"184","Poesia_SiglodeOro","combination",500,"w",4,"dist.wurzburg",59.899715573817
"30","Poesia_SiglodeOro","combination",2000,"w",2,"dist.delta",59.6739763328338
"3","Poesia_SiglodeOro","combination",100,"c",3,"dist.delta",59.6540606143462
"99","Poesia_SiglodeOro","combination",4000,"c",3,"dist.eder",59.6446028483095
"66","Poesia_SiglodeOro","combination",500,"c",2,"dist.eder",59.4520970287177
"94","Poesia_SiglodeOro","combination",3000,"w",2,"dist.eder",59.4265760809406
"116","Poesia_SiglodeOro","combination",100,"c",4,"dist.minmax",58.6943355077983
"134","Poesia_SiglodeOro","combination",1000,"w",2,"dist.minmax",58.6049157308785
"67","Poesia_SiglodeOro","combination",500,"c",3,"dist.eder",58.5601504447782
"118","Poesia_SiglodeOro","combination",100,"w",2,"dist.minmax",58.290275306482
"69","Poesia_SiglodeOro","combination",500,"w",1,"dist.eder",58.0473240065666
"11","Poesia_SiglodeOro","combination",500,"c",3,"dist.delta",57.9736729898797
"35","Poesia_SiglodeOro","combination",3000,"c",3,"dist.delta",57.9230777517844
"62","Poesia_SiglodeOro","combination",100,"w",2,"dist.eder",57.7799367885215
"13","Poesia_SiglodeOro","combination",500,"w",1,"dist.delta",57.479196370403
"75","Poesia_SiglodeOro","combination",1000,"c",3,"dist.eder",57.4666126561184
"60","Poesia_SiglodeOro","combination",100,"c",4,"dist.eder",57.2465086235144
"47","Poesia_SiglodeOro","combination",4000,"w",3,"dist.delta",57.0614441578017
"126","Poesia_SiglodeOro","combination",500,"w",2,"dist.minmax",56.6967895595944
"68","Poesia_SiglodeOro","combination",500,"c",4,"dist.eder",56.662914220841
"4","Poesia_SiglodeOro","combination",100,"c",4,"dist.delta",56.3784303168931
"132","Poesia_SiglodeOro","combination",1000,"c",4,"dist.minmax",56.3705165600223
"76","Poesia_SiglodeOro","combination",1000,"c",4,"dist.eder",55.8408998352837
"12","Poesia_SiglodeOro","combination",500,"c",4,"dist.delta",55.5777419405468
"6","Poesia_SiglodeOro","combination",100,"w",2,"dist.delta",55.5710474480532
"140","Poesia_SiglodeOro","combination",2000,"c",4,"dist.minmax",55.5099685119743
"111","Poesia_SiglodeOro","combination",5000,"w",3,"dist.eder",55.2665765779533
"113","Poesia_SiglodeOro","combination",100,"c",1,"dist.minmax",55.0958374016782
"121","Poesia_SiglodeOro","combination",500,"c",1,"dist.minmax",55.0958374016782
"129","Poesia_SiglodeOro","combination",1000,"c",1,"dist.minmax",55.0958374016782
"137","Poesia_SiglodeOro","combination",2000,"c",1,"dist.minmax",55.0958374016782
"145","Poesia_SiglodeOro","combination",3000,"c",1,"dist.minmax",55.0958374016782
"153","Poesia_SiglodeOro","combination",4000,"c",1,"dist.minmax",55.0958374016782
"161","Poesia_SiglodeOro","combination",5000,"c",1,"dist.minmax",55.0958374016782
"57","Poesia_SiglodeOro","combination",100,"c",1,"dist.eder",55.0507246197233
"65","Poesia_SiglodeOro","combination",500,"c",1,"dist.eder",55.0507246197233
"73","Poesia_SiglodeOro","combination",1000,"c",1,"dist.eder",55.0507246197233
"81","Poesia_SiglodeOro","combination",2000,"c",1,"dist.eder",55.0507246197233
"89","Poesia_SiglodeOro","combination",3000,"c",1,"dist.eder",55.0507246197233
"97","Poesia_SiglodeOro","combination",4000,"c",1,"dist.eder",55.0507246197233
"105","Poesia_SiglodeOro","combination",5000,"c",1,"dist.eder",55.0507246197233
"148","Poesia_SiglodeOro","combination",3000,"c",4,"dist.minmax",54.9728442797281
"164","Poesia_SiglodeOro","combination",5000,"c",4,"dist.minmax",54.4160355913405
"156","Poesia_SiglodeOro","combination",4000,"c",4,"dist.minmax",54.1382578135627
"91","Poesia_SiglodeOro","combination",3000,"c",3,"dist.eder",54.0884867078705
"39","Poesia_SiglodeOro","combination",3000,"w",3,"dist.delta",53.6362281844471
"169","Poesia_SiglodeOro","combination",100,"c",1,"dist.wurzburg",53.3700829818448
"177","Poesia_SiglodeOro","combination",500,"c",1,"dist.wurzburg",53.3700829818448
"185","Poesia_SiglodeOro","combination",1000,"c",1,"dist.wurzburg",53.3700829818448
"193","Poesia_SiglodeOro","combination",2000,"c",1,"dist.wurzburg",53.3700829818448
"201","Poesia_SiglodeOro","combination",3000,"c",1,"dist.wurzburg",53.3700829818448
"209","Poesia_SiglodeOro","combination",4000,"c",1,"dist.wurzburg",53.3700829818448
"217","Poesia_SiglodeOro","combination",5000,"c",1,"dist.wurzburg",53.3700829818448
"167","Poesia_SiglodeOro","combination",5000,"w",3,"dist.minmax",53.3608933410763
"86","Poesia_SiglodeOro","combination",2000,"w",2,"dist.eder",53.2936642859621
"20","Poesia_SiglodeOro","combination",1000,"c",4,"dist.delta",52.8313104847925
"103","Poesia_SiglodeOro","combination",4000,"w",3,"dist.eder",52.7719840691599
"159","Poesia_SiglodeOro","combination",4000,"w",3,"dist.minmax",52.2489242291072
"78","Poesia_SiglodeOro","combination",1000,"w",2,"dist.eder",51.3771726063125
"84","Poesia_SiglodeOro","combination",2000,"c",4,"dist.eder",51.1144664630704
"83","Poesia_SiglodeOro","combination",2000,"c",3,"dist.eder",51.0943641238892
"70","Poesia_SiglodeOro","combination",500,"w",2,"dist.eder",50.2827064296095
"27","Poesia_SiglodeOro","combination",2000,"c",3,"dist.delta",50.2104128013948
"19","Poesia_SiglodeOro","combination",1000,"c",3,"dist.delta",50.0175234835055
"151","Poesia_SiglodeOro","combination",3000,"w",3,"dist.minmax",49.8262302165544
"14","Poesia_SiglodeOro","combination",500,"w",2,"dist.delta",49.4460721610112
"1","Poesia_SiglodeOro","combination",100,"c",1,"dist.delta",49.2448512032113
"9","Poesia_SiglodeOro","combination",500,"c",1,"dist.delta",49.2448512032113
"17","Poesia_SiglodeOro","combination",1000,"c",1,"dist.delta",49.2448512032113
"25","Poesia_SiglodeOro","combination",2000,"c",1,"dist.delta",49.2448512032113
"33","Poesia_SiglodeOro","combination",3000,"c",1,"dist.delta",49.2448512032113
