"","corpus","version","mfw","features","ngrams","distances","media"
"109","Poesia_SiglodeOro","fusion",5000,"w",1,"dist.eder",88.9446013821014
"101","Poesia_SiglodeOro","fusion",4000,"w",1,"dist.eder",88.6281400656401
"221","Poesia_SiglodeOro","fusion",5000,"w",1,"dist.wurzburg",87.2363004863005
"54","Poesia_SiglodeOro","fusion",5000,"w",2,"dist.delta",87.039006976507
"93","Poesia_SiglodeOro","fusion",3000,"w",1,"dist.eder",86.1407130782131
"29","Poesia_SiglodeOro","fusion",2000,"w",1,"dist.delta",85.6899058149058
"213","Poesia_SiglodeOro","fusion",4000,"w",1,"dist.wurzburg",84.9841335466336
"37","Poesia_SiglodeOro","fusion",3000,"w",1,"dist.delta",84.5552533052533
"205","Poesia_SiglodeOro","fusion",3000,"w",1,"dist.wurzburg",82.4629186504187
"219","Poesia_SiglodeOro","fusion",5000,"c",3,"dist.wurzburg",81.1490195240195
"46","Poesia_SiglodeOro","fusion",4000,"w",2,"dist.delta",80.3132441882442
"197","Poesia_SiglodeOro","fusion",2000,"w",1,"dist.wurzburg",80.0479597354597
"222","Poesia_SiglodeOro","fusion",5000,"w",2,"dist.wurzburg",77.992010992011
"45","Poesia_SiglodeOro","fusion",4000,"w",1,"dist.delta",77.7344547344547
"220","Poesia_SiglodeOro","fusion",5000,"c",4,"dist.wurzburg",77.4325704325704
"212","Poesia_SiglodeOro","fusion",4000,"c",4,"dist.wurzburg",77.193527006027
"214","Poesia_SiglodeOro","fusion",4000,"w",2,"dist.wurzburg",77.1648184773185
"204","Poesia_SiglodeOro","fusion",3000,"c",4,"dist.wurzburg",77.1428554553555
"189","Poesia_SiglodeOro","fusion",1000,"w",1,"dist.wurzburg",76.8893417018417
"206","Poesia_SiglodeOro","fusion",3000,"w",2,"dist.wurzburg",76.6031984156984
"190","Poesia_SiglodeOro","fusion",1000,"w",2,"dist.wurzburg",76.5779203904204
"187","Poesia_SiglodeOro","fusion",1000,"c",3,"dist.wurzburg",76.5411851661852
"179","Poesia_SiglodeOro","fusion",500,"c",3,"dist.wurzburg",76.4214391089391
"181","Poesia_SiglodeOro","fusion",500,"w",1,"dist.wurzburg",76.3586096711097
"195","Poesia_SiglodeOro","fusion",2000,"c",3,"dist.wurzburg",75.8296281421281
"198","Poesia_SiglodeOro","fusion",2000,"w",2,"dist.wurzburg",75.7986637986638
"182","Poesia_SiglodeOro","fusion",500,"w",2,"dist.wurzburg",75.2779575904576
"188","Poesia_SiglodeOro","fusion",1000,"c",4,"dist.wurzburg",75.0967035967036
"223","Poesia_SiglodeOro","fusion",5000,"w",3,"dist.wurzburg",75.0255988380988
"178","Poesia_SiglodeOro","fusion",500,"c",2,"dist.wurzburg",74.7071245196245
"224","Poesia_SiglodeOro","fusion",5000,"w",4,"dist.wurzburg",74.6660497910498
"186","Poesia_SiglodeOro","fusion",1000,"c",2,"dist.wurzburg",74.4372832497832
"194","Poesia_SiglodeOro","fusion",2000,"c",2,"dist.wurzburg",74.4372832497832
"202","Poesia_SiglodeOro","fusion",3000,"c",2,"dist.wurzburg",74.4372832497832
"210","Poesia_SiglodeOro","fusion",4000,"c",2,"dist.wurzburg",74.4372832497832
"218","Poesia_SiglodeOro","fusion",5000,"c",2,"dist.wurzburg",74.4372832497832
"203","Poesia_SiglodeOro","fusion",3000,"c",3,"dist.wurzburg",74.212049024549
"173","Poesia_SiglodeOro","fusion",100,"w",1,"dist.wurzburg",74.0367727242727
"85","Poesia_SiglodeOro","fusion",2000,"w",1,"dist.eder",73.5717748842749
"211","Poesia_SiglodeOro","fusion",4000,"c",3,"dist.wurzburg",73.5374053499054
"196","Poesia_SiglodeOro","fusion",2000,"c",4,"dist.wurzburg",73.5256346506346
