"","corpus","version","mfw","features","ngrams","distances","media"
"101","Poesia_SiglodeOro","only-tokens",4000,"w",1,"dist.eder",87.8337886945697
"109","Poesia_SiglodeOro","only-tokens",5000,"w",1,"dist.eder",87.2857406465216
"221","Poesia_SiglodeOro","only-tokens",5000,"w",1,"dist.wurzburg",87.2345852727856
"93","Poesia_SiglodeOro","only-tokens",3000,"w",1,"dist.eder",86.3246820861422
"29","Poesia_SiglodeOro","only-tokens",2000,"w",1,"dist.delta",84.6857564013761
"213","Poesia_SiglodeOro","only-tokens",4000,"w",1,"dist.wurzburg",83.6485897920533
"37","Poesia_SiglodeOro","only-tokens",3000,"w",1,"dist.delta",83.6257025323239
"205","Poesia_SiglodeOro","only-tokens",3000,"w",1,"dist.wurzburg",82.0087851522486
"219","Poesia_SiglodeOro","only-tokens",5000,"c",3,"dist.wurzburg",81.5046610165456
"179","Poesia_SiglodeOro","only-tokens",500,"c",3,"dist.wurzburg",80.5591655574678
"197","Poesia_SiglodeOro","only-tokens",2000,"w",1,"dist.wurzburg",79.72350930755
"45","Poesia_SiglodeOro","only-tokens",4000,"w",1,"dist.delta",78.5223634612429
"222","Poesia_SiglodeOro","only-tokens",5000,"w",2,"dist.wurzburg",77.881553525017
"214","Poesia_SiglodeOro","only-tokens",4000,"w",2,"dist.wurzburg",76.9078880836097
"187","Poesia_SiglodeOro","only-tokens",1000,"c",3,"dist.wurzburg",76.6213706196728
"211","Poesia_SiglodeOro","only-tokens",4000,"c",3,"dist.wurzburg",75.7930818372244
"189","Poesia_SiglodeOro","only-tokens",1000,"w",1,"dist.wurzburg",75.7851453292879
"203","Poesia_SiglodeOro","only-tokens",3000,"c",3,"dist.wurzburg",75.2002857444284
"220","Poesia_SiglodeOro","only-tokens",5000,"c",4,"dist.wurzburg",75.1943622385049
"206","Poesia_SiglodeOro","only-tokens",3000,"w",2,"dist.wurzburg",74.689113496414
"195","Poesia_SiglodeOro","only-tokens",2000,"c",3,"dist.wurzburg",74.476617711762
"188","Poesia_SiglodeOro","only-tokens",1000,"c",4,"dist.wurzburg",74.426320338884
"180","Poesia_SiglodeOro","only-tokens",500,"c",4,"dist.wurzburg",73.5611009337665
"85","Poesia_SiglodeOro","only-tokens",2000,"w",1,"dist.eder",73.5029766982229
"212","Poesia_SiglodeOro","only-tokens",4000,"c",4,"dist.wurzburg",73.2977731644964
"181","Poesia_SiglodeOro","only-tokens",500,"w",1,"dist.wurzburg",73.2976973876804
"198","Poesia_SiglodeOro","only-tokens",2000,"w",2,"dist.wurzburg",72.7437258337089
"53","Poesia_SiglodeOro","only-tokens",5000,"w",1,"dist.delta",72.4347162420168
"170","Poesia_SiglodeOro","only-tokens",100,"c",2,"dist.wurzburg",71.4189300683358
"204","Poesia_SiglodeOro","only-tokens",3000,"c",4,"dist.wurzburg",71.052811202217
"196","Poesia_SiglodeOro","only-tokens",2000,"c",4,"dist.wurzburg",70.1215066257511
"178","Poesia_SiglodeOro","only-tokens",500,"c",2,"dist.wurzburg",69.9091393675434
"186","Poesia_SiglodeOro","only-tokens",1000,"c",2,"dist.wurzburg",69.7205383241037
"194","Poesia_SiglodeOro","only-tokens",2000,"c",2,"dist.wurzburg",69.7205383241037
"202","Poesia_SiglodeOro","only-tokens",3000,"c",2,"dist.wurzburg",69.7205383241037
"210","Poesia_SiglodeOro","only-tokens",4000,"c",2,"dist.wurzburg",69.7205383241037
"218","Poesia_SiglodeOro","only-tokens",5000,"c",2,"dist.wurzburg",69.7205383241037
"190","Poesia_SiglodeOro","only-tokens",1000,"w",2,"dist.wurzburg",69.0867740910186
"165","Poesia_SiglodeOro","only-tokens",5000,"w",1,"dist.minmax",68.2985839344074
"182","Poesia_SiglodeOro","only-tokens",500,"w",2,"dist.wurzburg",67.3601365876408
"157","Poesia_SiglodeOro","only-tokens",4000,"w",1,"dist.minmax",67.2535789488251
"173","Poesia_SiglodeOro","only-tokens",100,"w",1,"dist.wurzburg",66.065939892765
"141","Poesia_SiglodeOro","only-tokens",2000,"w",1,"dist.minmax",65.5551662504124
"149","Poesia_SiglodeOro","only-tokens",3000,"w",1,"dist.minmax",65.5551662504124
"18","Poesia_SiglodeOro","only-tokens",1000,"c",2,"dist.delta",63.848248003596
"26","Poesia_SiglodeOro","only-tokens",2000,"c",2,"dist.delta",63.848248003596
"34","Poesia_SiglodeOro","only-tokens",3000,"c",2,"dist.delta",63.848248003596
"42","Poesia_SiglodeOro","only-tokens",4000,"c",2,"dist.delta",63.848248003596
"50","Poesia_SiglodeOro","only-tokens",5000,"c",2,"dist.delta",63.848248003596
"21","Poesia_SiglodeOro","only-tokens",1000,"w",1,"dist.delta",63.4820533606612
"133","Poesia_SiglodeOro","only-tokens",1000,"w",1,"dist.minmax",63.0434797845664
"166","Poesia_SiglodeOro","only-tokens",5000,"w",2,"dist.minmax",62.4051209552058
"167","Poesia_SiglodeOro","only-tokens",5000,"w",3,"dist.minmax",61.6805097042788
"125","Poesia_SiglodeOro","only-tokens",500,"w",1,"dist.minmax",61.0977822072898
"51","Poesia_SiglodeOro","only-tokens",5000,"c",3,"dist.delta",61.0679943549213
"61","Poesia_SiglodeOro","only-tokens",100,"w",1,"dist.eder",60.8485391490485
"43","Poesia_SiglodeOro","only-tokens",4000,"c",3,"dist.delta",60.2547754101235
"159","Poesia_SiglodeOro","only-tokens",4000,"w",3,"dist.minmax",59.9611036622921
"117","Poesia_SiglodeOro","only-tokens",100,"w",1,"dist.minmax",59.9410440963921
"107","Poesia_SiglodeOro","only-tokens",5000,"c",3,"dist.eder",59.6251129578804
"171","Poesia_SiglodeOro","only-tokens",100,"c",3,"dist.wurzburg",58.191421201608
"223","Poesia_SiglodeOro","only-tokens",5000,"w",3,"dist.wurzburg",58.1738660524739
"74","Poesia_SiglodeOro","only-tokens",1000,"c",2,"dist.eder",57.9274695692353
"82","Poesia_SiglodeOro","only-tokens",2000,"c",2,"dist.eder",57.9274695692353
"90","Poesia_SiglodeOro","only-tokens",3000,"c",2,"dist.eder",57.9274695692353
"98","Poesia_SiglodeOro","only-tokens",4000,"c",2,"dist.eder",57.9274695692353
"106","Poesia_SiglodeOro","only-tokens",5000,"c",2,"dist.eder",57.9274695692353
"151","Poesia_SiglodeOro","only-tokens",3000,"w",3,"dist.minmax",57.5029712635825
"215","Poesia_SiglodeOro","only-tokens",4000,"w",3,"dist.wurzburg",57.3532038633906
"172","Poesia_SiglodeOro","only-tokens",100,"c",4,"dist.wurzburg",57.312031868059
"2","Poesia_SiglodeOro","only-tokens",100,"c",2,"dist.delta",57.0656259442338
"10","Poesia_SiglodeOro","only-tokens",500,"c",2,"dist.delta",57.0251287127348
"5","Poesia_SiglodeOro","only-tokens",100,"w",1,"dist.delta",56.904315928085
"77","Poesia_SiglodeOro","only-tokens",1000,"w",1,"dist.eder",56.7861450790144
"207","Poesia_SiglodeOro","only-tokens",3000,"w",3,"dist.wurzburg",56.4540648785131
"158","Poesia_SiglodeOro","only-tokens",4000,"w",2,"dist.minmax",56.2192264467307
"114","Poesia_SiglodeOro","only-tokens",100,"c",2,"dist.minmax",55.9952030053898
"58","Poesia_SiglodeOro","only-tokens",100,"c",2,"dist.eder",55.4325350743008
"99","Poesia_SiglodeOro","only-tokens",4000,"c",3,"dist.eder",54.2875797120279
"13","Poesia_SiglodeOro","only-tokens",500,"w",1,"dist.delta",54.2741486985969
