"","corpus","version","mfw","features","ngrams","distances","media"
"30","cuentos-espanoles","annotation",2000,"w",2,"dist.delta",100
"38","cuentos-espanoles","annotation",3000,"w",2,"dist.delta",100
"46","cuentos-espanoles","annotation",4000,"w",2,"dist.delta",100
"54","cuentos-espanoles","annotation",5000,"w",2,"dist.delta",100
"55","cuentos-espanoles","annotation",5000,"w",3,"dist.delta",100
"62","cuentos-espanoles","annotation",7000,"w",2,"dist.delta",100
"63","cuentos-espanoles","annotation",7000,"w",3,"dist.delta",100
"70","cuentos-espanoles","annotation",10000,"w",2,"dist.delta",100
"71","cuentos-espanoles","annotation",10000,"w",3,"dist.delta",100
"102","cuentos-espanoles","annotation",2000,"w",2,"dist.eder",100
"110","cuentos-espanoles","annotation",3000,"w",2,"dist.eder",100
"118","cuentos-espanoles","annotation",4000,"w",2,"dist.eder",100
"126","cuentos-espanoles","annotation",5000,"w",2,"dist.eder",100
"134","cuentos-espanoles","annotation",7000,"w",2,"dist.eder",100
"142","cuentos-espanoles","annotation",10000,"w",2,"dist.eder",100
"221","cuentos-espanoles","annotation",100,"w",1,"dist.wurzburg",100
"227","cuentos-espanoles","annotation",500,"c",3,"dist.wurzburg",100
"228","cuentos-espanoles","annotation",500,"c",4,"dist.wurzburg",100
"229","cuentos-espanoles","annotation",500,"w",1,"dist.wurzburg",100
"230","cuentos-espanoles","annotation",500,"w",2,"dist.wurzburg",100
"231","cuentos-espanoles","annotation",500,"w",3,"dist.wurzburg",100
"235","cuentos-espanoles","annotation",1000,"c",3,"dist.wurzburg",100
"236","cuentos-espanoles","annotation",1000,"c",4,"dist.wurzburg",100
"237","cuentos-espanoles","annotation",1000,"w",1,"dist.wurzburg",100
"238","cuentos-espanoles","annotation",1000,"w",2,"dist.wurzburg",100
"239","cuentos-espanoles","annotation",1000,"w",3,"dist.wurzburg",100
"240","cuentos-espanoles","annotation",1000,"w",4,"dist.wurzburg",100
"243","cuentos-espanoles","annotation",2000,"c",3,"dist.wurzburg",100
"244","cuentos-espanoles","annotation",2000,"c",4,"dist.wurzburg",100
"245","cuentos-espanoles","annotation",2000,"w",1,"dist.wurzburg",100
"246","cuentos-espanoles","annotation",2000,"w",2,"dist.wurzburg",100
"247","cuentos-espanoles","annotation",2000,"w",3,"dist.wurzburg",100
"248","cuentos-espanoles","annotation",2000,"w",4,"dist.wurzburg",100
"251","cuentos-espanoles","annotation",3000,"c",3,"dist.wurzburg",100
"252","cuentos-espanoles","annotation",3000,"c",4,"dist.wurzburg",100
"253","cuentos-espanoles","annotation",3000,"w",1,"dist.wurzburg",100
"254","cuentos-espanoles","annotation",3000,"w",2,"dist.wurzburg",100
"255","cuentos-espanoles","annotation",3000,"w",3,"dist.wurzburg",100
"256","cuentos-espanoles","annotation",3000,"w",4,"dist.wurzburg",100
"259","cuentos-espanoles","annotation",4000,"c",3,"dist.wurzburg",100
"260","cuentos-espanoles","annotation",4000,"c",4,"dist.wurzburg",100
"261","cuentos-espanoles","annotation",4000,"w",1,"dist.wurzburg",100
"262","cuentos-espanoles","annotation",4000,"w",2,"dist.wurzburg",100
"263","cuentos-espanoles","annotation",4000,"w",3,"dist.wurzburg",100
"264","cuentos-espanoles","annotation",4000,"w",4,"dist.wurzburg",100
"267","cuentos-espanoles","annotation",5000,"c",3,"dist.wurzburg",100
"268","cuentos-espanoles","annotation",5000,"c",4,"dist.wurzburg",100
"269","cuentos-espanoles","annotation",5000,"w",1,"dist.wurzburg",100
"270","cuentos-espanoles","annotation",5000,"w",2,"dist.wurzburg",100
"271","cuentos-espanoles","annotation",5000,"w",3,"dist.wurzburg",100
"272","cuentos-espanoles","annotation",5000,"w",4,"dist.wurzburg",100
"275","cuentos-espanoles","annotation",7000,"c",3,"dist.wurzburg",100
"276","cuentos-espanoles","annotation",7000,"c",4,"dist.wurzburg",100
"277","cuentos-espanoles","annotation",7000,"w",1,"dist.wurzburg",100
"278","cuentos-espanoles","annotation",7000,"w",2,"dist.wurzburg",100
"279","cuentos-espanoles","annotation",7000,"w",3,"dist.wurzburg",100
"280","cuentos-espanoles","annotation",7000,"w",4,"dist.wurzburg",100
"283","cuentos-espanoles","annotation",10000,"c",3,"dist.wurzburg",100
"284","cuentos-espanoles","annotation",10000,"c",4,"dist.wurzburg",100
"285","cuentos-espanoles","annotation",10000,"w",1,"dist.wurzburg",100
"286","cuentos-espanoles","annotation",10000,"w",2,"dist.wurzburg",100
"287","cuentos-espanoles","annotation",10000,"w",3,"dist.wurzburg",100
"288","cuentos-espanoles","annotation",10000,"w",4,"dist.wurzburg",100
"232","cuentos-espanoles","annotation",500,"w",4,"dist.wurzburg",98
"20","cuentos-espanoles","annotation",1000,"c",4,"dist.delta",96
"28","cuentos-espanoles","annotation",2000,"c",4,"dist.delta",96
