"","corpus","version","mfw","features","ngrams","distances","media"
"6","cuentos-espanoles","combination",100,"w",2,"dist.delta",100
"51","cuentos-espanoles","combination",5000,"c",3,"dist.delta",100
"53","cuentos-espanoles","combination",5000,"w",1,"dist.delta",100
"59","cuentos-espanoles","combination",7000,"c",3,"dist.delta",100
"61","cuentos-espanoles","combination",7000,"w",1,"dist.delta",100
"67","cuentos-espanoles","combination",10000,"c",3,"dist.delta",100
"69","cuentos-espanoles","combination",10000,"w",1,"dist.delta",100
"86","cuentos-espanoles","combination",500,"w",2,"dist.eder",100
"123","cuentos-espanoles","combination",5000,"c",3,"dist.eder",100
"131","cuentos-espanoles","combination",7000,"c",3,"dist.eder",100
"139","cuentos-espanoles","combination",10000,"c",3,"dist.eder",100
"159","cuentos-espanoles","combination",500,"w",3,"dist.minmax",100
"221","cuentos-espanoles","combination",100,"w",1,"dist.wurzburg",100
"222","cuentos-espanoles","combination",100,"w",2,"dist.wurzburg",100
"223","cuentos-espanoles","combination",100,"w",3,"dist.wurzburg",100
"226","cuentos-espanoles","combination",500,"c",2,"dist.wurzburg",100
"227","cuentos-espanoles","combination",500,"c",3,"dist.wurzburg",100
"228","cuentos-espanoles","combination",500,"c",4,"dist.wurzburg",100
"229","cuentos-espanoles","combination",500,"w",1,"dist.wurzburg",100
"230","cuentos-espanoles","combination",500,"w",2,"dist.wurzburg",100
"231","cuentos-espanoles","combination",500,"w",3,"dist.wurzburg",100
"232","cuentos-espanoles","combination",500,"w",4,"dist.wurzburg",100
"234","cuentos-espanoles","combination",1000,"c",2,"dist.wurzburg",100
"235","cuentos-espanoles","combination",1000,"c",3,"dist.wurzburg",100
"236","cuentos-espanoles","combination",1000,"c",4,"dist.wurzburg",100
"237","cuentos-espanoles","combination",1000,"w",1,"dist.wurzburg",100
"238","cuentos-espanoles","combination",1000,"w",2,"dist.wurzburg",100
"239","cuentos-espanoles","combination",1000,"w",3,"dist.wurzburg",100
"240","cuentos-espanoles","combination",1000,"w",4,"dist.wurzburg",100
"242","cuentos-espanoles","combination",2000,"c",2,"dist.wurzburg",100
"243","cuentos-espanoles","combination",2000,"c",3,"dist.wurzburg",100
"244","cuentos-espanoles","combination",2000,"c",4,"dist.wurzburg",100
"245","cuentos-espanoles","combination",2000,"w",1,"dist.wurzburg",100
"246","cuentos-espanoles","combination",2000,"w",2,"dist.wurzburg",100
"247","cuentos-espanoles","combination",2000,"w",3,"dist.wurzburg",100
"248","cuentos-espanoles","combination",2000,"w",4,"dist.wurzburg",100
"250","cuentos-espanoles","combination",3000,"c",2,"dist.wurzburg",100
"251","cuentos-espanoles","combination",3000,"c",3,"dist.wurzburg",100
"252","cuentos-espanoles","combination",3000,"c",4,"dist.wurzburg",100
"253","cuentos-espanoles","combination",3000,"w",1,"dist.wurzburg",100
"254","cuentos-espanoles","combination",3000,"w",2,"dist.wurzburg",100
"255","cuentos-espanoles","combination",3000,"w",3,"dist.wurzburg",100
"256","cuentos-espanoles","combination",3000,"w",4,"dist.wurzburg",100
"258","cuentos-espanoles","combination",4000,"c",2,"dist.wurzburg",100
"259","cuentos-espanoles","combination",4000,"c",3,"dist.wurzburg",100
"260","cuentos-espanoles","combination",4000,"c",4,"dist.wurzburg",100
"261","cuentos-espanoles","combination",4000,"w",1,"dist.wurzburg",100
"262","cuentos-espanoles","combination",4000,"w",2,"dist.wurzburg",100
"263","cuentos-espanoles","combination",4000,"w",3,"dist.wurzburg",100
"264","cuentos-espanoles","combination",4000,"w",4,"dist.wurzburg",100
"266","cuentos-espanoles","combination",5000,"c",2,"dist.wurzburg",100
"267","cuentos-espanoles","combination",5000,"c",3,"dist.wurzburg",100
"268","cuentos-espanoles","combination",5000,"c",4,"dist.wurzburg",100
"269","cuentos-espanoles","combination",5000,"w",1,"dist.wurzburg",100
"270","cuentos-espanoles","combination",5000,"w",2,"dist.wurzburg",100
"271","cuentos-espanoles","combination",5000,"w",3,"dist.wurzburg",100
