"","corpus","version","mfw","features","ngrams","distances","media"
"53","cuentos-espanoles","only-tokens",5000,"w",1,"dist.delta",100
"61","cuentos-espanoles","only-tokens",7000,"w",1,"dist.delta",100
"69","cuentos-espanoles","only-tokens",10000,"w",1,"dist.delta",100
"218","cuentos-espanoles","only-tokens",100,"c",2,"dist.wurzburg",100
"219","cuentos-espanoles","only-tokens",100,"c",3,"dist.wurzburg",100
"221","cuentos-espanoles","only-tokens",100,"w",1,"dist.wurzburg",100
"223","cuentos-espanoles","only-tokens",100,"w",3,"dist.wurzburg",100
"226","cuentos-espanoles","only-tokens",500,"c",2,"dist.wurzburg",100
"227","cuentos-espanoles","only-tokens",500,"c",3,"dist.wurzburg",100
"228","cuentos-espanoles","only-tokens",500,"c",4,"dist.wurzburg",100
"229","cuentos-espanoles","only-tokens",500,"w",1,"dist.wurzburg",100
"234","cuentos-espanoles","only-tokens",1000,"c",2,"dist.wurzburg",100
"235","cuentos-espanoles","only-tokens",1000,"c",3,"dist.wurzburg",100
"236","cuentos-espanoles","only-tokens",1000,"c",4,"dist.wurzburg",100
"237","cuentos-espanoles","only-tokens",1000,"w",1,"dist.wurzburg",100
"238","cuentos-espanoles","only-tokens",1000,"w",2,"dist.wurzburg",100
"239","cuentos-espanoles","only-tokens",1000,"w",3,"dist.wurzburg",100
"242","cuentos-espanoles","only-tokens",2000,"c",2,"dist.wurzburg",100
"243","cuentos-espanoles","only-tokens",2000,"c",3,"dist.wurzburg",100
"244","cuentos-espanoles","only-tokens",2000,"c",4,"dist.wurzburg",100
"245","cuentos-espanoles","only-tokens",2000,"w",1,"dist.wurzburg",100
"246","cuentos-espanoles","only-tokens",2000,"w",2,"dist.wurzburg",100
"250","cuentos-espanoles","only-tokens",3000,"c",2,"dist.wurzburg",100
"251","cuentos-espanoles","only-tokens",3000,"c",3,"dist.wurzburg",100
"252","cuentos-espanoles","only-tokens",3000,"c",4,"dist.wurzburg",100
"253","cuentos-espanoles","only-tokens",3000,"w",1,"dist.wurzburg",100
"254","cuentos-espanoles","only-tokens",3000,"w",2,"dist.wurzburg",100
"258","cuentos-espanoles","only-tokens",4000,"c",2,"dist.wurzburg",100
"259","cuentos-espanoles","only-tokens",4000,"c",3,"dist.wurzburg",100
"260","cuentos-espanoles","only-tokens",4000,"c",4,"dist.wurzburg",100
"261","cuentos-espanoles","only-tokens",4000,"w",1,"dist.wurzburg",100
"262","cuentos-espanoles","only-tokens",4000,"w",2,"dist.wurzburg",100
"266","cuentos-espanoles","only-tokens",5000,"c",2,"dist.wurzburg",100
"267","cuentos-espanoles","only-tokens",5000,"c",3,"dist.wurzburg",100
"268","cuentos-espanoles","only-tokens",5000,"c",4,"dist.wurzburg",100
"269","cuentos-espanoles","only-tokens",5000,"w",1,"dist.wurzburg",100
"270","cuentos-espanoles","only-tokens",5000,"w",2,"dist.wurzburg",100
"274","cuentos-espanoles","only-tokens",7000,"c",2,"dist.wurzburg",100
"275","cuentos-espanoles","only-tokens",7000,"c",3,"dist.wurzburg",100
"276","cuentos-espanoles","only-tokens",7000,"c",4,"dist.wurzburg",100
"277","cuentos-espanoles","only-tokens",7000,"w",1,"dist.wurzburg",100
"278","cuentos-espanoles","only-tokens",7000,"w",2,"dist.wurzburg",100
"282","cuentos-espanoles","only-tokens",10000,"c",2,"dist.wurzburg",100
"283","cuentos-espanoles","only-tokens",10000,"c",3,"dist.wurzburg",100
"284","cuentos-espanoles","only-tokens",10000,"c",4,"dist.wurzburg",100
"285","cuentos-espanoles","only-tokens",10000,"w",1,"dist.wurzburg",100
"286","cuentos-espanoles","only-tokens",10000,"w",2,"dist.wurzburg",100
"3","cuentos-espanoles","only-tokens",100,"c",3,"dist.delta",98
"151","cuentos-espanoles","only-tokens",100,"w",3,"dist.minmax",98
"160","cuentos-espanoles","only-tokens",500,"w",4,"dist.minmax",98
