"","corpus","version","mfw","features","ngrams","distances","media"
"224","disco","annotation",5000,"w",4,"dist.wurzburg",65.3112305854241
"207","disco","annotation",3000,"w",3,"dist.wurzburg",64.2552918881061
"199","disco","annotation",2000,"w",3,"dist.wurzburg",63.8849215177357
"216","disco","annotation",4000,"w",4,"dist.wurzburg",62.8826173702703
"208","disco","annotation",3000,"w",4,"dist.wurzburg",62.133769444003
"223","disco","annotation",5000,"w",3,"dist.wurzburg",61.787117373213
"200","disco","annotation",2000,"w",4,"dist.wurzburg",61.1330278793015
"215","disco","annotation",4000,"w",3,"dist.wurzburg",61.0941663576814
"191","disco","annotation",1000,"w",3,"dist.wurzburg",61.0876217549188
"183","disco","annotation",500,"w",3,"dist.wurzburg",59.9642200916951
"192","disco","annotation",1000,"w",4,"dist.wurzburg",58.94385236977
"190","disco","annotation",1000,"w",2,"dist.wurzburg",57.8754353749904
"182","disco","annotation",500,"w",2,"dist.wurzburg",56.7841434633426
"174","disco","annotation",100,"w",2,"dist.wurzburg",56.5569715910094
"95","disco","annotation",3000,"w",3,"dist.eder",54.369603498302
"112","disco","annotation",5000,"w",4,"dist.eder",54.2913631254009
"184","disco","annotation",500,"w",4,"dist.wurzburg",53.7589302634909
"198","disco","annotation",2000,"w",2,"dist.wurzburg",53.6066158165157
"206","disco","annotation",3000,"w",2,"dist.wurzburg",53.6066158165157
"214","disco","annotation",4000,"w",2,"dist.wurzburg",53.6066158165157
"222","disco","annotation",5000,"w",2,"dist.wurzburg",53.6066158165157
"87","disco","annotation",2000,"w",3,"dist.eder",53.3911088746461
"180","disco","annotation",500,"c",4,"dist.wurzburg",52.5737868648881
"23","disco","annotation",1000,"w",3,"dist.delta",52.5623667684847
"78","disco","annotation",1000,"w",2,"dist.eder",52.5623667684847
"171","disco","annotation",100,"c",3,"dist.wurzburg",51.9071201982214
"172","disco","annotation",100,"c",4,"dist.wurzburg",51.5475025160231
"31","disco","annotation",2000,"w",3,"dist.delta",50.8109527929328
"104","disco","annotation",4000,"w",4,"dist.eder",50.698229661411
"96","disco","annotation",3000,"w",4,"dist.eder",50.5066287644708
"14","disco","annotation",500,"w",2,"dist.delta",50.047144093084
"70","disco","annotation",500,"w",2,"dist.eder",49.4744030698424
"32","disco","annotation",2000,"w",4,"dist.delta",49.4300798653413
"48","disco","annotation",4000,"w",4,"dist.delta",49.3574889206702
"175","disco","annotation",100,"w",3,"dist.wurzburg",49.0209809841623
"86","disco","annotation",2000,"w",2,"dist.eder",48.3675000441408
"94","disco","annotation",3000,"w",2,"dist.eder",48.3675000441408
"102","disco","annotation",4000,"w",2,"dist.eder",48.3675000441408
"110","disco","annotation",5000,"w",2,"dist.eder",48.3675000441408
"188","disco","annotation",1000,"c",4,"dist.wurzburg",48.337796258041
"196","disco","annotation",2000,"c",4,"dist.wurzburg",48.337796258041
"204","disco","annotation",3000,"c",4,"dist.wurzburg",48.337796258041
"212","disco","annotation",4000,"c",4,"dist.wurzburg",48.337796258041
"220","disco","annotation",5000,"c",4,"dist.wurzburg",48.337796258041
"6","disco","annotation",100,"w",2,"dist.delta",48.2885181065381
"79","disco","annotation",1000,"w",3,"dist.eder",48.096917209598
"76","disco","annotation",1000,"c",4,"dist.eder",47.91314864841
"84","disco","annotation",2000,"c",4,"dist.eder",47.91314864841
"92","disco","annotation",3000,"c",4,"dist.eder",47.91314864841
"100","disco","annotation",4000,"c",4,"dist.eder",47.91314864841
"108","disco","annotation",5000,"c",4,"dist.eder",47.91314864841
"142","disco","annotation",2000,"w",2,"dist.minmax",47.9090317872298
"150","disco","annotation",3000,"w",2,"dist.minmax",47.9090317872298
"158","disco","annotation",4000,"w",2,"dist.minmax",47.9090317872298
"166","disco","annotation",5000,"w",2,"dist.minmax",47.9090317872298
"160","disco","annotation",4000,"w",4,"dist.minmax",47.6968430531278
"40","disco","annotation",3000,"w",4,"dist.delta",47.3033876558904
"15","disco","annotation",500,"w",3,"dist.delta",47.0623379298574
"168","disco","annotation",5000,"w",4,"dist.minmax",47.0261389786418
"134","disco","annotation",1000,"w",2,"dist.minmax",46.8737280105467
"143","disco","annotation",2000,"w",3,"dist.minmax",46.8705286885487
