"","corpus","version","mfw","features","ngrams","distances","media"
"222","disco","combination",5000,"w",2,"dist.wurzburg",79.8242782760024
"221","disco","combination",5000,"w",1,"dist.wurzburg",78.818604128949
"214","disco","combination",4000,"w",2,"dist.wurzburg",78.7670947188189
"213","disco","combination",4000,"w",1,"dist.wurzburg",78.3785889716924
"206","disco","combination",3000,"w",2,"dist.wurzburg",77.661233912958
"212","disco","combination",4000,"c",4,"dist.wurzburg",76.8522153453188
"220","disco","combination",5000,"c",4,"dist.wurzburg",76.6368307299342
"198","disco","combination",2000,"w",2,"dist.wurzburg",76.1770325459981
"205","disco","combination",3000,"w",1,"dist.wurzburg",76.1524020041261
"197","disco","combination",2000,"w",1,"dist.wurzburg",75.8169115686357
"196","disco","combination",2000,"c",4,"dist.wurzburg",75.7877057808092
"204","disco","combination",3000,"c",4,"dist.wurzburg",74.9795082312324
"223","disco","combination",5000,"w",3,"dist.wurzburg",74.7164133439996
"219","disco","combination",5000,"c",3,"dist.wurzburg",74.2422031353066
"203","disco","combination",3000,"c",3,"dist.wurzburg",74.0677459194701
"190","disco","combination",1000,"w",2,"dist.wurzburg",73.6318484835726
"187","disco","combination",1000,"c",3,"dist.wurzburg",73.628779139124
"195","disco","combination",2000,"c",3,"dist.wurzburg",73.5920606851641
"211","disco","combination",4000,"c",3,"dist.wurzburg",73.5365696882938
"189","disco","combination",1000,"w",1,"dist.wurzburg",72.6201577477439
"215","disco","combination",4000,"w",3,"dist.wurzburg",70.6568523430592
"181","disco","combination",500,"w",1,"dist.wurzburg",70.3996449272311
"188","disco","combination",1000,"c",4,"dist.wurzburg",68.4174238277687
"179","disco","combination",500,"c",3,"dist.wurzburg",68.2280058383507
"182","disco","combination",500,"w",2,"dist.wurzburg",66.9573982849845
"101","disco","combination",4000,"w",1,"dist.eder",66.6063941167389
"199","disco","combination",2000,"w",3,"dist.wurzburg",66.2033247722903
"207","disco","combination",3000,"w",3,"dist.wurzburg",64.8602304464373
"224","disco","combination",5000,"w",4,"dist.wurzburg",64.5353220215289
"166","disco","combination",5000,"w",2,"dist.minmax",64.1416375450858
"109","disco","combination",5000,"w",1,"dist.eder",63.9648225337881
"158","disco","combination",4000,"w",2,"dist.minmax",63.0940184974668
"69","disco","combination",500,"w",1,"dist.eder",62.9952465159362
"216","disco","combination",4000,"w",4,"dist.wurzburg",62.6212636660913
"165","disco","combination",5000,"w",1,"dist.minmax",62.2961755996239
"78","disco","combination",1000,"w",2,"dist.eder",61.6035423069906
"157","disco","combination",4000,"w",1,"dist.minmax",61.5903147937631
"150","disco","combination",3000,"w",2,"dist.minmax",61.5698019732503
"142","disco","combination",2000,"w",2,"dist.minmax",61.5421020869297
"191","disco","combination",1000,"w",3,"dist.wurzburg",61.2702089736572
"208","disco","combination",3000,"w",4,"dist.wurzburg",61.1157761778451
"141","disco","combination",2000,"w",1,"dist.minmax",60.9121538742228
"52","disco","combination",5000,"c",4,"dist.delta",60.7294682329165
"180","disco","combination",500,"c",4,"dist.wurzburg",60.3104206138689
"149","disco","combination",3000,"w",1,"dist.minmax",60.1703956324646
"170","disco","combination",100,"c",2,"dist.wurzburg",59.636665122872
"178","disco","combination",500,"c",2,"dist.wurzburg",59.3237632099701
"44","disco","combination",4000,"c",4,"dist.delta",59.0703549324239
"37","disco","combination",3000,"w",1,"dist.delta",59.0678581954444
"5","disco","combination",100,"w",1,"dist.delta",58.9495333529816
"70","disco","combination",500,"w",2,"dist.eder",57.649614753063
"107","disco","combination",5000,"c",3,"dist.eder",57.4819951440641
"77","disco","combination",1000,"w",1,"dist.eder",57.3174996140513
"108","disco","combination",5000,"c",4,"dist.eder",57.1677908298598
"133","disco","combination",1000,"w",1,"dist.minmax",56.9117468738158
"134","disco","combination",1000,"w",2,"dist.minmax",56.4842743463433
"164","disco","combination",5000,"c",4,"dist.minmax",56.4493944114634
"186","disco","combination",1000,"c",2,"dist.wurzburg",56.4144162351059
"194","disco","combination",2000,"c",2,"dist.wurzburg",56.4144162351059
"202","disco","combination",3000,"c",2,"dist.wurzburg",56.4144162351059
"210","disco","combination",4000,"c",2,"dist.wurzburg",56.4144162351059
"218","disco","combination",5000,"c",2,"dist.wurzburg",56.4144162351059
"20","disco","combination",1000,"c",4,"dist.delta",56.1556215176905
"84","disco","combination",2000,"c",4,"dist.eder",56.1244859865549
"92","disco","combination",3000,"c",4,"dist.eder",56.0424347045037
"159","disco","combination",4000,"w",3,"dist.minmax",55.7517620310724
