"","corpus","version","mfw","features","ngrams","distances","media"
"222","disco","fusion",5000,"w",2,"dist.wurzburg",80.4072460106943
"214","disco","fusion",4000,"w",2,"dist.wurzburg",79.7167698202181
"205","disco","fusion",3000,"w",1,"dist.wurzburg",77.9114142562418
"206","disco","fusion",3000,"w",2,"dist.wurzburg",77.5976309769413
"204","disco","fusion",3000,"c",4,"dist.wurzburg",77.2290850911541
"221","disco","fusion",5000,"w",1,"dist.wurzburg",76.5386089006779
"213","disco","fusion",4000,"w",1,"dist.wurzburg",76.4988211022694
"198","disco","fusion",2000,"w",2,"dist.wurzburg",76.1680420473524
"196","disco","fusion",2000,"c",4,"dist.wurzburg",75.3390734425217
"212","disco","fusion",4000,"c",4,"dist.wurzburg",74.6722102928999
"220","disco","fusion",5000,"c",4,"dist.wurzburg",74.3416277209381
"190","disco","fusion",1000,"w",2,"dist.wurzburg",73.9606753399857
"197","disco","fusion",2000,"w",1,"dist.wurzburg",73.9552790759687
"181","disco","fusion",500,"w",1,"dist.wurzburg",73.29207893001
"223","disco","fusion",5000,"w",3,"dist.wurzburg",72.9614963580481
"219","disco","fusion",5000,"c",3,"dist.wurzburg",72.5928592480317
"187","disco","fusion",1000,"c",3,"dist.wurzburg",72.2348953728264
"211","disco","fusion",4000,"c",3,"dist.wurzburg",72.1959285924803
"215","disco","fusion",4000,"w",3,"dist.wurzburg",71.8210742003846
"195","disco","fusion",2000,"c",3,"dist.wurzburg",71.4958878924396
"203","disco","fusion",3000,"c",3,"dist.wurzburg",70.7647116612634
"189","disco","fusion",1000,"w",1,"dist.wurzburg",70.4549913687845
"188","disco","fusion",1000,"c",4,"dist.wurzburg",70.1738523290248
"179","disco","fusion",500,"c",3,"dist.wurzburg",68.0443279581211
"182","disco","fusion",500,"w",2,"dist.wurzburg",67.8747000126311
"101","disco","fusion",4000,"w",1,"dist.eder",65.4652856721822
"216","disco","fusion",4000,"w",4,"dist.wurzburg",65.42415757933
"224","disco","fusion",5000,"w",4,"dist.wurzburg",65.420494575667
"207","disco","fusion",3000,"w",3,"dist.wurzburg",64.7884299608437
"166","disco","fusion",5000,"w",2,"dist.minmax",64.4937757006722
"180","disco","fusion",500,"c",4,"dist.wurzburg",63.0634710117469
"165","disco","fusion",5000,"w",1,"dist.minmax",62.752017458914
"150","disco","fusion",3000,"w",2,"dist.minmax",62.7043984112949
"109","disco","fusion",5000,"w",1,"dist.eder",62.6425343494309
"158","disco","fusion",4000,"w",2,"dist.minmax",62.3747280816246
"199","disco","fusion",2000,"w",3,"dist.wurzburg",62.2327691465622
"170","disco","fusion",100,"c",2,"dist.wurzburg",61.6160793229759
"157","disco","fusion",4000,"w",1,"dist.minmax",60.988091729471
"69","disco","fusion",500,"w",1,"dist.eder",60.2580242235415
"142","disco","fusion",2000,"w",2,"dist.minmax",60.1636983705949
"208","disco","fusion",3000,"w",4,"dist.wurzburg",60.1353136008308
"78","disco","fusion",1000,"w",2,"dist.eder",59.7984084880637
"77","disco","fusion",1000,"w",1,"dist.eder",59.6700209114002
"149","disco","fusion",3000,"w",1,"dist.minmax",59.5188202601996
"52","disco","fusion",5000,"c",4,"dist.delta",59.1038693107659
"173","disco","fusion",100,"w",1,"dist.wurzburg",59.0647972716938
"141","disco","fusion",2000,"w",1,"dist.minmax",58.8575498575498
"93","disco","fusion",3000,"w",1,"dist.eder",58.4475881717261
"178","disco","fusion",500,"c",2,"dist.wurzburg",58.272774479671
"167","disco","fusion",5000,"w",3,"dist.minmax",57.3876538531711
"183","disco","fusion",500,"w",3,"dist.wurzburg",57.1976829045795
"168","disco","fusion",5000,"w",4,"dist.minmax",56.9811586880552
"159","disco","fusion",4000,"w",3,"dist.minmax",56.6733681388854
"44","disco","fusion",4000,"c",4,"dist.delta",56.6257490912663
"133","disco","fusion",1000,"w",1,"dist.minmax",56.6190476190476
"108","disco","fusion",5000,"c",4,"dist.eder",56.2676939918319
"14","disco","fusion",500,"w",2,"dist.delta",56.2472316955076
"191","disco","fusion",1000,"w",3,"dist.wurzburg",56.2209871865044
"186","disco","fusion",1000,"c",2,"dist.wurzburg",55.8565183220356
"194","disco","fusion",2000,"c",2,"dist.wurzburg",55.8565183220356
"202","disco","fusion",3000,"c",2,"dist.wurzburg",55.8565183220356
"210","disco","fusion",4000,"c",2,"dist.wurzburg",55.8565183220356
"218","disco","fusion",5000,"c",2,"dist.wurzburg",55.8565183220356
"160","disco","fusion",4000,"w",4,"dist.minmax",55.8283300352266
"151","disco","fusion",3000,"w",3,"dist.minmax",55.6294120949293
"200","disco","fusion",2000,"w",4,"dist.wurzburg",55.5285812527192
"70","disco","fusion",500,"w",2,"dist.eder",55.5126029781202
"37","disco","fusion",3000,"w",1,"dist.delta",55.1181353767561
"134","disco","fusion",1000,"w",2,"dist.minmax",54.514245014245
"152","disco","fusion",3000,"w",4,"dist.minmax",54.3997586066552
"36","disco","fusion",3000,"c",4,"dist.delta",54.1477341304927
"125","disco","fusion",500,"w",1,"dist.minmax",54.1153846153846
"100","disco","fusion",4000,"c",4,"dist.eder",53.7869282696869
"172","disco","fusion",100,"c",4,"dist.wurzburg",53.3219162701921
"107","disco","fusion",5000,"c",3,"dist.eder",52.982393723773
"43","disco","fusion",4000,"c",3,"dist.delta",52.6869184455391
"29","disco","fusion",2000,"w",1,"dist.delta",52.676245210728
"79","disco","fusion",1000,"w",3,"dist.eder",52.4395604395604
"84","disco","fusion",2000,"c",4,"dist.eder",52.3326175739969
"148","disco","fusion",3000,"c",4,"dist.minmax",52.3326175739969
"164","disco","fusion",5000,"c",4,"dist.minmax",52.3211233211233
"144","disco","fusion",2000,"w",4,"dist.minmax",52.3098255512049
"20","disco","fusion",1000,"c",4,"dist.delta",52.307987032125
"174","disco","fusion",100,"w",2,"dist.wurzburg",52.2955805369598
"85","disco","fusion",2000,"w",1,"dist.eder",52.130555906418
"28","disco","fusion",2000,"c",4,"dist.delta",52.0760178518799
"143","disco","fusion",2000,"w",3,"dist.minmax",52.0620605448192
"67","disco","fusion",500,"c",3,"dist.eder",52.0457945630359
"92","disco","fusion",3000,"c",4,"dist.eder",52.0258445258445
"156","disco","fusion",4000,"c",4,"dist.minmax",51.98778998779
"86","disco","fusion",2000,"w",2,"dist.eder",51.6907779321572
"13","disco","fusion",500,"w",1,"dist.delta",51.3809664154492
"5","disco","fusion",100,"w",1,"dist.delta",51.2601715015508
"140","disco","fusion",2000,"c",4,"dist.minmax",51.2062439476232
"11","disco","fusion",500,"c",3,"dist.delta",50.8975411561618
"22","disco","fusion",1000,"w",2,"dist.delta",50.8968253968254
"99","disco","fusion",4000,"c",3,"dist.eder",50.8879766465973
