"","corpus","version","mfw","features","ngrams","distances","media"
"212","disco","only-tokens",4000,"c",4,"dist.wurzburg",75.8128078817734
"221","disco","only-tokens",5000,"w",1,"dist.wurzburg",75.415982484948
"213","disco","only-tokens",4000,"w",1,"dist.wurzburg",75.4026497129946
"220","disco","only-tokens",5000,"c",4,"dist.wurzburg",75.3903344420586
"204","disco","only-tokens",3000,"c",4,"dist.wurzburg",75.0180343283792
"205","disco","only-tokens",3000,"w",1,"dist.wurzburg",74.3303088992744
"211","disco","only-tokens",4000,"c",3,"dist.wurzburg",73.6709682399338
"219","disco","only-tokens",5000,"c",3,"dist.wurzburg",72.930227499193
"196","disco","only-tokens",2000,"c",4,"dist.wurzburg",72.8222671326119
"203","disco","only-tokens",3000,"c",3,"dist.wurzburg",71.8540271988548
"197","disco","only-tokens",2000,"w",1,"dist.wurzburg",71.4959720994204
"189","disco","only-tokens",1000,"w",1,"dist.wurzburg",70.2788303650373
"206","disco","only-tokens",3000,"w",2,"dist.wurzburg",69.5929294205156
"214","disco","only-tokens",4000,"w",2,"dist.wurzburg",69.2357865633728
"195","disco","only-tokens",2000,"c",3,"dist.wurzburg",69.1837887527543
"181","disco","only-tokens",500,"w",1,"dist.wurzburg",68.440100767687
"187","disco","only-tokens",1000,"c",3,"dist.wurzburg",68.413540482506
"188","disco","only-tokens",1000,"c",4,"dist.wurzburg",67.6737119840568
"149","disco","only-tokens",3000,"w",1,"dist.minmax",67.0502996365065
"179","disco","only-tokens",500,"c",3,"dist.wurzburg",67.0390018665881
"157","disco","only-tokens",4000,"w",1,"dist.minmax",66.3483291931568
"222","disco","only-tokens",5000,"w",2,"dist.wurzburg",66.2443335719198
"165","disco","only-tokens",5000,"w",1,"dist.minmax",64.549387394215
"198","disco","only-tokens",2000,"w",2,"dist.wurzburg",63.8199444233927
"101","disco","only-tokens",4000,"w",1,"dist.eder",63.4041022834126
"141","disco","only-tokens",2000,"w",1,"dist.minmax",63.3691914726397
"173","disco","only-tokens",100,"w",1,"dist.wurzburg",62.8652126927989
"180","disco","only-tokens",500,"c",4,"dist.wurzburg",61.8467994330063
"109","disco","only-tokens",5000,"w",1,"dist.eder",59.9768430802913
"133","disco","only-tokens",1000,"w",1,"dist.minmax",57.4524230558713
"170","disco","only-tokens",100,"c",2,"dist.wurzburg",57.0402298850575
"69","disco","only-tokens",500,"w",1,"dist.eder",56.0730074523178
"166","disco","only-tokens",5000,"w",2,"dist.minmax",55.9953615988099
"158","disco","only-tokens",4000,"w",2,"dist.minmax",55.638218741667
"52","disco","only-tokens",5000,"c",4,"dist.delta",54.9637208257898
"150","disco","only-tokens",3000,"w",2,"dist.minmax",54.4843725878209
"37","disco","only-tokens",3000,"w",1,"dist.delta",54.1538952745849
"190","disco","only-tokens",1000,"w",2,"dist.wurzburg",53.5854279819797
"178","disco","only-tokens",500,"c",2,"dist.wurzburg",53.5505171712068
"5","disco","only-tokens",100,"w",1,"dist.delta",53.4529423322527
"186","disco","only-tokens",1000,"c",2,"dist.wurzburg",52.701816063885
"194","disco","only-tokens",2000,"c",2,"dist.wurzburg",52.701816063885
"202","disco","only-tokens",3000,"c",2,"dist.wurzburg",52.701816063885
"210","disco","only-tokens",4000,"c",2,"dist.wurzburg",52.701816063885
"218","disco","only-tokens",5000,"c",2,"dist.wurzburg",52.701816063885
"107","disco","only-tokens",5000,"c",3,"dist.eder",52.4535458156148
"43","disco","only-tokens",4000,"c",3,"dist.delta",52.0803334596438
"93","disco","only-tokens",3000,"w",1,"dist.eder",52.0366861746172
"125","disco","only-tokens",500,"w",1,"dist.minmax",51.6038272072755
"142","disco","only-tokens",2000,"w",2,"dist.minmax",51.268262388952
"171","disco","only-tokens",100,"c",3,"dist.wurzburg",51.1869675662779
"44","disco","only-tokens",4000,"c",4,"dist.delta",50.5530644323748
"35","disco","only-tokens",3000,"c",3,"dist.delta",49.5224411603722
"29","disco","only-tokens",2000,"w",1,"dist.delta",48.356490253042
"99","disco","only-tokens",4000,"c",3,"dist.eder",48.0684322063632
"77","disco","only-tokens",1000,"w",1,"dist.eder",47.6667298219022
"13","disco","only-tokens",500,"w",1,"dist.delta",47.2575891541409
"61","disco","only-tokens",100,"w",1,"dist.eder",46.9043057836161
"75","disco","only-tokens",1000,"c",3,"dist.eder",46.7830126450816
"108","disco","only-tokens",5000,"c",4,"dist.eder",46.5422859388377
"134","disco","only-tokens",1000,"w",2,"dist.minmax",46.5014806394117
"36","disco","only-tokens",3000,"c",4,"dist.delta",46.1312155277672
"182","disco","only-tokens",500,"w",2,"dist.wurzburg",44.6914515880033
"172","disco","only-tokens",100,"c",4,"dist.wurzburg",44.6366117917842
"45","disco","only-tokens",4000,"w",1,"dist.delta",44.4423743561675
"85","disco","only-tokens",2000,"w",1,"dist.eder",44.3730790282514
"100","disco","only-tokens",4000,"c",4,"dist.eder",44.333291229843
"11","disco","only-tokens",500,"c",3,"dist.delta",44.2792584171894
"167","disco","only-tokens",5000,"w",3,"dist.minmax",44.253715633026
"117","disco","only-tokens",100,"w",1,"dist.minmax",44.2130155923259
"19","disco","only-tokens",1000,"c",3,"dist.delta",43.8169971790661
"2","disco","only-tokens",100,"c",2,"dist.delta",43.5527626906937
"163","disco","only-tokens",5000,"c",3,"dist.minmax",43.5006596213493
"164","disco","only-tokens",5000,"c",4,"dist.minmax",43.2363198742509
"28","disco","only-tokens",2000,"c",4,"dist.delta",43.2079351044868
"92","disco","only-tokens",3000,"c",4,"dist.eder",43.2069176034693
"155","disco","only-tokens",4000,"c",3,"dist.minmax",43.1160442367339
