"","corpus","version","mfw","features","ngrams","distances","media"
"236","novelas-espanolas","annotation",1000,"c",4,"dist.wurzburg",88.5547785547786
"239","novelas-espanolas","annotation",1000,"w",3,"dist.wurzburg",87.8613053613054
"238","novelas-espanolas","annotation",1000,"w",2,"dist.wurzburg",87.8613053613053
"231","novelas-espanolas","annotation",500,"w",3,"dist.wurzburg",87.027972027972
"232","novelas-espanolas","annotation",500,"w",4,"dist.wurzburg",87.027972027972
"240","novelas-espanolas","annotation",1000,"w",4,"dist.wurzburg",87.027972027972
"248","novelas-espanolas","annotation",2000,"w",4,"dist.wurzburg",87.027972027972
"244","novelas-espanolas","annotation",2000,"c",4,"dist.wurzburg",85.2738927738928
"252","novelas-espanolas","annotation",3000,"c",4,"dist.wurzburg",85.2738927738928
"260","novelas-espanolas","annotation",4000,"c",4,"dist.wurzburg",85.2738927738928
"268","novelas-espanolas","annotation",5000,"c",4,"dist.wurzburg",85.2738927738928
"276","novelas-espanolas","annotation",7000,"c",4,"dist.wurzburg",85.2738927738928
"284","novelas-espanolas","annotation",10000,"c",4,"dist.wurzburg",85.2738927738928
"247","novelas-espanolas","annotation",2000,"w",3,"dist.wurzburg",84.5804195804196
"255","novelas-espanolas","annotation",3000,"w",3,"dist.wurzburg",84.5804195804196
"230","novelas-espanolas","annotation",500,"w",2,"dist.wurzburg",84.516317016317
"228","novelas-espanolas","annotation",500,"c",4,"dist.wurzburg",83.7470862470863
"256","novelas-espanolas","annotation",3000,"w",4,"dist.wurzburg",83.0536130536131
"11","novelas-espanolas","annotation",500,"c",3,"dist.delta",82.9895104895105
"19","novelas-espanolas","annotation",1000,"c",3,"dist.delta",82.9895104895105
"27","novelas-espanolas","annotation",2000,"c",3,"dist.delta",82.9895104895105
"35","novelas-espanolas","annotation",3000,"c",3,"dist.delta",82.9895104895105
"43","novelas-espanolas","annotation",4000,"c",3,"dist.delta",82.9895104895105
"51","novelas-espanolas","annotation",5000,"c",3,"dist.delta",82.9895104895105
"59","novelas-espanolas","annotation",7000,"c",3,"dist.delta",82.9895104895105
"67","novelas-espanolas","annotation",10000,"c",3,"dist.delta",82.9895104895105
"22","novelas-espanolas","annotation",1000,"w",2,"dist.delta",82.1561771561772
"83","novelas-espanolas","annotation",500,"c",3,"dist.eder",82.1561771561772
"91","novelas-espanolas","annotation",1000,"c",3,"dist.eder",82.1561771561772
"99","novelas-espanolas","annotation",2000,"c",3,"dist.eder",82.1561771561772
"107","novelas-espanolas","annotation",3000,"c",3,"dist.eder",82.1561771561772
"115","novelas-espanolas","annotation",4000,"c",3,"dist.eder",82.1561771561772
"123","novelas-espanolas","annotation",5000,"c",3,"dist.eder",82.1561771561772
"131","novelas-espanolas","annotation",7000,"c",3,"dist.eder",82.1561771561772
"139","novelas-espanolas","annotation",10000,"c",3,"dist.eder",82.1561771561772
"14","novelas-espanolas","annotation",500,"w",2,"dist.delta",82.1445221445222
"264","novelas-espanolas","annotation",4000,"w",4,"dist.wurzburg",82.1445221445221
"272","novelas-espanolas","annotation",5000,"w",4,"dist.wurzburg",82.0687645687646
"280","novelas-espanolas","annotation",7000,"w",4,"dist.wurzburg",82.0687645687646
"288","novelas-espanolas","annotation",10000,"w",4,"dist.wurzburg",82.0687645687646
"263","novelas-espanolas","annotation",4000,"w",3,"dist.wurzburg",82.0687645687646
"271","novelas-espanolas","annotation",5000,"w",3,"dist.wurzburg",82.0687645687646
"279","novelas-espanolas","annotation",7000,"w",3,"dist.wurzburg",82.0687645687646
"287","novelas-espanolas","annotation",10000,"w",3,"dist.wurzburg",82.0687645687646
"20","novelas-espanolas","annotation",1000,"c",4,"dist.delta",81.451048951049
"28","novelas-espanolas","annotation",2000,"c",4,"dist.delta",81.451048951049
"36","novelas-espanolas","annotation",3000,"c",4,"dist.delta",81.451048951049
"44","novelas-espanolas","annotation",4000,"c",4,"dist.delta",81.451048951049
"52","novelas-espanolas","annotation",5000,"c",4,"dist.delta",81.451048951049
"60","novelas-espanolas","annotation",7000,"c",4,"dist.delta",81.451048951049
"68","novelas-espanolas","annotation",10000,"c",4,"dist.delta",81.451048951049
"246","novelas-espanolas","annotation",2000,"w",2,"dist.wurzburg",81.2354312354312
"100","novelas-espanolas","annotation",2000,"c",4,"dist.eder",80.6818181818182
"108","novelas-espanolas","annotation",3000,"c",4,"dist.eder",80.6818181818182
"116","novelas-espanolas","annotation",4000,"c",4,"dist.eder",80.6818181818182
"124","novelas-espanolas","annotation",5000,"c",4,"dist.eder",80.6818181818182
"132","novelas-espanolas","annotation",7000,"c",4,"dist.eder",80.6818181818182
"140","novelas-espanolas","annotation",10000,"c",4,"dist.eder",80.6818181818182
"85","novelas-espanolas","annotation",500,"w",1,"dist.eder",80.4778554778555
"93","novelas-espanolas","annotation",1000,"w",1,"dist.eder",80.4778554778555
"101","novelas-espanolas","annotation",2000,"w",1,"dist.eder",80.4778554778555
"109","novelas-espanolas","annotation",3000,"w",1,"dist.eder",80.4778554778555
"117","novelas-espanolas","annotation",4000,"w",1,"dist.eder",80.4778554778555
"125","novelas-espanolas","annotation",5000,"w",1,"dist.eder",80.4778554778555
"133","novelas-espanolas","annotation",7000,"w",1,"dist.eder",80.4778554778555
"141","novelas-espanolas","annotation",10000,"w",1,"dist.eder",80.4778554778555
"254","novelas-espanolas","annotation",3000,"w",2,"dist.wurzburg",80.4020979020979
"262","novelas-espanolas","annotation",4000,"w",2,"dist.wurzburg",80.4020979020979
"270","novelas-espanolas","annotation",5000,"w",2,"dist.wurzburg",80.4020979020979
"278","novelas-espanolas","annotation",7000,"w",2,"dist.wurzburg",80.4020979020979
"286","novelas-espanolas","annotation",10000,"w",2,"dist.wurzburg",80.4020979020979
"15","novelas-espanolas","annotation",500,"w",3,"dist.delta",79.7727272727273
"32","novelas-espanolas","annotation",2000,"w",4,"dist.delta",79.7727272727273
"86","novelas-espanolas","annotation",500,"w",2,"dist.eder",79.7727272727273
"227","novelas-espanolas","annotation",500,"c",3,"dist.wurzburg",79.7494172494173
"235","novelas-espanolas","annotation",1000,"c",3,"dist.wurzburg",79.7494172494173
"243","novelas-espanolas","annotation",2000,"c",3,"dist.wurzburg",79.7494172494173
"251","novelas-espanolas","annotation",3000,"c",3,"dist.wurzburg",79.7494172494173
"259","novelas-espanolas","annotation",4000,"c",3,"dist.wurzburg",79.7494172494173
"267","novelas-espanolas","annotation",5000,"c",3,"dist.wurzburg",79.7494172494173
"275","novelas-espanolas","annotation",7000,"c",3,"dist.wurzburg",79.7494172494173
"283","novelas-espanolas","annotation",10000,"c",3,"dist.wurzburg",79.7494172494173
"103","novelas-espanolas","annotation",2000,"w",3,"dist.eder",79.7086247086247
"226","novelas-espanolas","annotation",500,"c",2,"dist.wurzburg",79.6969696969697
"234","novelas-espanolas","annotation",1000,"c",2,"dist.wurzburg",79.6969696969697
"242","novelas-espanolas","annotation",2000,"c",2,"dist.wurzburg",79.6969696969697
"250","novelas-espanolas","annotation",3000,"c",2,"dist.wurzburg",79.6969696969697
"258","novelas-espanolas","annotation",4000,"c",2,"dist.wurzburg",79.6969696969697
"266","novelas-espanolas","annotation",5000,"c",2,"dist.wurzburg",79.6969696969697
"274","novelas-espanolas","annotation",7000,"c",2,"dist.wurzburg",79.6969696969697
"282","novelas-espanolas","annotation",10000,"c",2,"dist.wurzburg",79.6969696969697
"92","novelas-espanolas","annotation",1000,"c",4,"dist.eder",79.0151515151515
"94","novelas-espanolas","annotation",1000,"w",2,"dist.eder",78.939393939394
"221","novelas-espanolas","annotation",100,"w",1,"dist.wurzburg",78.9277389277389
"13","novelas-espanolas","annotation",500,"w",1,"dist.delta",78.8636363636364
"21","novelas-espanolas","annotation",1000,"w",1,"dist.delta",78.8636363636364
"29","novelas-espanolas","annotation",2000,"w",1,"dist.delta",78.8636363636364
"37","novelas-espanolas","annotation",3000,"w",1,"dist.delta",78.8636363636364
"45","novelas-espanolas","annotation",4000,"w",1,"dist.delta",78.8636363636364
"53","novelas-espanolas","annotation",5000,"w",1,"dist.delta",78.8636363636364
"61","novelas-espanolas","annotation",7000,"w",1,"dist.delta",78.8636363636364
"69","novelas-espanolas","annotation",10000,"w",1,"dist.delta",78.8636363636364
"218","novelas-espanolas","annotation",100,"c",2,"dist.wurzburg",78.8636363636364
"16","novelas-espanolas","annotation",500,"w",4,"dist.delta",78.2342657342657
"224","novelas-espanolas","annotation",100,"w",4,"dist.wurzburg",78.2342657342657
"95","novelas-espanolas","annotation",1000,"w",3,"dist.eder",78.1701631701632
"2","novelas-espanolas","annotation",100,"c",2,"dist.delta",78.1060606060606
"24","novelas-espanolas","annotation",1000,"w",4,"dist.delta",78.0944055944056
"96","novelas-espanolas","annotation",1000,"w",4,"dist.eder",78.0944055944056
"104","novelas-espanolas","annotation",2000,"w",4,"dist.eder",78.0944055944056
"110","novelas-espanolas","annotation",3000,"w",2,"dist.eder",78.0419580419581
"118","novelas-espanolas","annotation",4000,"w",2,"dist.eder",78.0419580419581
"126","novelas-espanolas","annotation",5000,"w",2,"dist.eder",78.0419580419581
"134","novelas-espanolas","annotation",7000,"w",2,"dist.eder",78.0419580419581
"142","novelas-espanolas","annotation",10000,"w",2,"dist.eder",78.0419580419581
"112","novelas-espanolas","annotation",3000,"w",4,"dist.eder",77.2610722610723
"88","novelas-espanolas","annotation",500,"w",4,"dist.eder",76.5675990675991
"10","novelas-espanolas","annotation",500,"c",2,"dist.delta",76.5675990675991
"18","novelas-espanolas","annotation",1000,"c",2,"dist.delta",76.5675990675991
"26","novelas-espanolas","annotation",2000,"c",2,"dist.delta",76.5675990675991
"34","novelas-espanolas","annotation",3000,"c",2,"dist.delta",76.5675990675991
"42","novelas-espanolas","annotation",4000,"c",2,"dist.delta",76.5675990675991
"50","novelas-espanolas","annotation",5000,"c",2,"dist.delta",76.5675990675991
"58","novelas-espanolas","annotation",7000,"c",2,"dist.delta",76.5675990675991
"66","novelas-espanolas","annotation",10000,"c",2,"dist.delta",76.5675990675991
"111","novelas-espanolas","annotation",3000,"w",3,"dist.eder",76.4277389277389
"229","novelas-espanolas","annotation",500,"w",1,"dist.wurzburg",76.4160839160839
"237","novelas-espanolas","annotation",1000,"w",1,"dist.wurzburg",76.4160839160839
"245","novelas-espanolas","annotation",2000,"w",1,"dist.wurzburg",76.4160839160839
"253","novelas-espanolas","annotation",3000,"w",1,"dist.wurzburg",76.4160839160839
"261","novelas-espanolas","annotation",4000,"w",1,"dist.wurzburg",76.4160839160839
"269","novelas-espanolas","annotation",5000,"w",1,"dist.wurzburg",76.4160839160839
"277","novelas-espanolas","annotation",7000,"w",1,"dist.wurzburg",76.4160839160839
"285","novelas-espanolas","annotation",10000,"w",1,"dist.wurzburg",76.4160839160839
"23","novelas-espanolas","annotation",1000,"w",3,"dist.delta",75.7226107226107
"102","novelas-espanolas","annotation",2000,"w",2,"dist.eder",75.6701631701632
"8","novelas-espanolas","annotation",100,"w",4,"dist.delta",74.9009324009324
"5","novelas-espanolas","annotation",100,"w",1,"dist.delta",74.8251748251748
"31","novelas-espanolas","annotation",2000,"w",3,"dist.delta",74.7494172494172
"119","novelas-espanolas","annotation",4000,"w",3,"dist.eder",74.7494172494172
"127","novelas-espanolas","annotation",5000,"w",3,"dist.eder",74.7494172494172
"135","novelas-espanolas","annotation",7000,"w",3,"dist.eder",74.7494172494172
"143","novelas-espanolas","annotation",10000,"w",3,"dist.eder",74.7494172494172
"87","novelas-espanolas","annotation",500,"w",3,"dist.eder",74.1958041958042
"12","novelas-espanolas","annotation",500,"c",4,"dist.delta",73.3624708624709
"40","novelas-espanolas","annotation",3000,"w",4,"dist.delta",73.2109557109557
