"","corpus","version","mfw","features","ngrams","distances","media"
"196","novelas-espanolas","annotation",2000,"c",4,"dist.wurzburg",90.3205128205128
"204","novelas-espanolas","annotation",3000,"c",4,"dist.wurzburg",90.3205128205128
"212","novelas-espanolas","annotation",4000,"c",4,"dist.wurzburg",90.3205128205128
"220","novelas-espanolas","annotation",5000,"c",4,"dist.wurzburg",90.3205128205128
"190","novelas-espanolas","annotation",1000,"w",2,"dist.wurzburg",89.6153846153846
"20","novelas-espanolas","annotation",1000,"c",4,"dist.delta",88.9102564102564
"28","novelas-espanolas","annotation",2000,"c",4,"dist.delta",88.9102564102564
"36","novelas-espanolas","annotation",3000,"c",4,"dist.delta",88.9102564102564
"44","novelas-espanolas","annotation",4000,"c",4,"dist.delta",88.9102564102564
"52","novelas-espanolas","annotation",5000,"c",4,"dist.delta",88.9102564102564
"188","novelas-espanolas","annotation",1000,"c",4,"dist.wurzburg",88.7179487179487
"11","novelas-espanolas","annotation",500,"c",3,"dist.delta",88.0769230769231
"19","novelas-espanolas","annotation",1000,"c",3,"dist.delta",88.0769230769231
"27","novelas-espanolas","annotation",2000,"c",3,"dist.delta",88.0769230769231
"35","novelas-espanolas","annotation",3000,"c",3,"dist.delta",88.0769230769231
"43","novelas-espanolas","annotation",4000,"c",3,"dist.delta",88.0769230769231
"51","novelas-espanolas","annotation",5000,"c",3,"dist.delta",88.0769230769231
"84","novelas-espanolas","annotation",2000,"c",4,"dist.eder",86.4102564102564
"92","novelas-espanolas","annotation",3000,"c",4,"dist.eder",86.4102564102564
"100","novelas-espanolas","annotation",4000,"c",4,"dist.eder",86.4102564102564
"108","novelas-espanolas","annotation",5000,"c",4,"dist.eder",86.4102564102564
"198","novelas-espanolas","annotation",2000,"w",2,"dist.wurzburg",85.5769230769231
"206","novelas-espanolas","annotation",3000,"w",2,"dist.wurzburg",85.5769230769231
"214","novelas-espanolas","annotation",4000,"w",2,"dist.wurzburg",85.5769230769231
