"","corpus","version","mfw","features","ngrams","distances","media"
"213","novelas-espanolas","combination",4000,"w",1,"dist.wurzburg",96.8589743589743
"221","novelas-espanolas","combination",5000,"w",1,"dist.wurzburg",96.8589743589743
"211","novelas-espanolas","combination",4000,"c",3,"dist.wurzburg",95.3205128205128
"219","novelas-espanolas","combination",5000,"c",3,"dist.wurzburg",95.3205128205128
"205","novelas-espanolas","combination",3000,"w",1,"dist.wurzburg",94.4871794871795
"220","novelas-espanolas","combination",5000,"c",4,"dist.wurzburg",94.4871794871795
"222","novelas-espanolas","combination",5000,"w",2,"dist.wurzburg",94.4871794871795
"224","novelas-espanolas","combination",5000,"w",4,"dist.wurzburg",94.4871794871795
"189","novelas-espanolas","combination",1000,"w",1,"dist.wurzburg",93.7179487179487
"198","novelas-espanolas","combination",2000,"w",2,"dist.wurzburg",93.7179487179487
"206","novelas-espanolas","combination",3000,"w",2,"dist.wurzburg",93.7179487179487
"214","novelas-espanolas","combination",4000,"w",2,"dist.wurzburg",93.7179487179487
"203","novelas-espanolas","combination",3000,"c",3,"dist.wurzburg",92.1794871794872
"208","novelas-espanolas","combination",3000,"w",4,"dist.wurzburg",92.1153846153846
"216","novelas-espanolas","combination",4000,"w",4,"dist.wurzburg",92.1153846153846
"223","novelas-espanolas","combination",5000,"w",3,"dist.wurzburg",92.051282051282
"195","novelas-espanolas","combination",2000,"c",3,"dist.wurzburg",90.5769230769231
"196","novelas-espanolas","combination",2000,"c",4,"dist.wurzburg",90.5769230769231
"197","novelas-espanolas","combination",2000,"w",1,"dist.wurzburg",90.5769230769231
"204","novelas-espanolas","combination",3000,"c",4,"dist.wurzburg",90.5769230769231
"212","novelas-espanolas","combination",4000,"c",4,"dist.wurzburg",90.5769230769231
"215","novelas-espanolas","combination",4000,"w",3,"dist.wurzburg",90.4487179487179
"43","novelas-espanolas","combination",4000,"c",3,"dist.delta",88.974358974359
"207","novelas-espanolas","combination",3000,"w",3,"dist.wurzburg",88.9102564102564
"51","novelas-espanolas","combination",5000,"c",3,"dist.delta",88.2051282051282
"77","novelas-espanolas","combination",1000,"w",1,"dist.eder",88.2051282051282
"187","novelas-espanolas","combination",1000,"c",3,"dist.wurzburg",88.2051282051282
"181","novelas-espanolas","combination",500,"w",1,"dist.wurzburg",88.1410256410256
"199","novelas-espanolas","combination",2000,"w",3,"dist.wurzburg",88.1410256410256
"188","novelas-espanolas","combination",1000,"c",4,"dist.wurzburg",87.5
"45","novelas-espanolas","combination",4000,"w",1,"dist.delta",87.4358974358974
"53","novelas-espanolas","combination",5000,"w",1,"dist.delta",87.4358974358974
"186","novelas-espanolas","combination",1000,"c",2,"dist.wurzburg",86.5384615384615
"194","novelas-espanolas","combination",2000,"c",2,"dist.wurzburg",86.5384615384615
"202","novelas-espanolas","combination",3000,"c",2,"dist.wurzburg",86.5384615384615
"210","novelas-espanolas","combination",4000,"c",2,"dist.wurzburg",86.5384615384615
"218","novelas-espanolas","combination",5000,"c",2,"dist.wurzburg",86.5384615384615
"54","novelas-espanolas","combination",5000,"w",2,"dist.delta",85.8333333333333
"190","novelas-espanolas","combination",1000,"w",2,"dist.wurzburg",85.8333333333333
"46","novelas-espanolas","combination",4000,"w",2,"dist.delta",85.8333333333333
"37","novelas-espanolas","combination",3000,"w",1,"dist.delta",85.1282051282051
"182","novelas-espanolas","combination",500,"w",2,"dist.wurzburg",85.1282051282051
"28","novelas-espanolas","combination",2000,"c",4,"dist.delta",85.0641025641026
"83","novelas-espanolas","combination",2000,"c",3,"dist.eder",85.0641025641026
"92","novelas-espanolas","combination",3000,"c",4,"dist.eder",85.0641025641026
"100","novelas-espanolas","combination",4000,"c",4,"dist.eder",85.0641025641026
"107","novelas-espanolas","combination",5000,"c",3,"dist.eder",85.0641025641026
"183","novelas-espanolas","combination",500,"w",3,"dist.wurzburg",85
"180","novelas-espanolas","combination",500,"c",4,"dist.wurzburg",84.4230769230769
"109","novelas-espanolas","combination",5000,"w",1,"dist.eder",84.3589743589744
"78","novelas-espanolas","combination",1000,"w",2,"dist.eder",84.3589743589744
"21","novelas-espanolas","combination",1000,"w",1,"dist.delta",84.2948717948718
"29","novelas-espanolas","combination",2000,"w",1,"dist.delta",84.2948717948718
"31","novelas-espanolas","combination",2000,"w",3,"dist.delta",84.2948717948718
"38","novelas-espanolas","combination",3000,"w",2,"dist.delta",84.2948717948718
"55","novelas-espanolas","combination",5000,"w",3,"dist.delta",84.2948717948718
"85","novelas-espanolas","combination",2000,"w",1,"dist.eder",84.2948717948718
"93","novelas-espanolas","combination",3000,"w",1,"dist.eder",84.2948717948718
"102","novelas-espanolas","combination",4000,"w",2,"dist.eder",84.2948717948718
"110","novelas-espanolas","combination",5000,"w",2,"dist.eder",84.2948717948718
"111","novelas-espanolas","combination",5000,"w",3,"dist.eder",84.2307692307692
"191","novelas-espanolas","combination",1000,"w",3,"dist.wurzburg",84.2307692307692
"19","novelas-espanolas","combination",1000,"c",3,"dist.delta",84.2307692307692
"35","novelas-espanolas","combination",3000,"c",3,"dist.delta",84.2307692307692
"13","novelas-espanolas","combination",500,"w",1,"dist.delta",84.1666666666667
"75","novelas-espanolas","combination",1000,"c",3,"dist.eder",84.1666666666667
"14","novelas-espanolas","combination",500,"w",2,"dist.delta",83.5897435897436
"179","novelas-espanolas","combination",500,"c",3,"dist.wurzburg",83.525641025641
"12","novelas-espanolas","combination",500,"c",4,"dist.delta",83.525641025641
"30","novelas-espanolas","combination",2000,"w",2,"dist.delta",83.525641025641
"70","novelas-espanolas","combination",500,"w",2,"dist.eder",83.525641025641
"94","novelas-espanolas","combination",3000,"w",2,"dist.eder",83.525641025641
"101","novelas-espanolas","combination",4000,"w",1,"dist.eder",83.525641025641
"174","novelas-espanolas","combination",100,"w",2,"dist.wurzburg",83.4615384615385
"39","novelas-espanolas","combination",3000,"w",3,"dist.delta",83.4615384615385
"150","novelas-espanolas","combination",3000,"w",2,"dist.minmax",83.4615384615385
"27","novelas-espanolas","combination",2000,"c",3,"dist.delta",83.4615384615385
"44","novelas-espanolas","combination",4000,"c",4,"dist.delta",83.4615384615385
"91","novelas-espanolas","combination",3000,"c",3,"dist.eder",83.4615384615385
"99","novelas-espanolas","combination",4000,"c",3,"dist.eder",83.4615384615385
"11","novelas-espanolas","combination",500,"c",3,"dist.delta",83.3974358974359
"47","novelas-espanolas","combination",4000,"w",3,"dist.delta",83.3974358974359
"61","novelas-espanolas","combination",100,"w",1,"dist.eder",83.3974358974359
"84","novelas-espanolas","combination",2000,"c",4,"dist.eder",83.3974358974359
"32","novelas-espanolas","combination",2000,"w",4,"dist.delta",82.8205128205128
"96","novelas-espanolas","combination",3000,"w",4,"dist.eder",82.8205128205128
"104","novelas-espanolas","combination",4000,"w",4,"dist.eder",82.8205128205128
"112","novelas-espanolas","combination",5000,"w",4,"dist.eder",82.8205128205128
"22","novelas-espanolas","combination",1000,"w",2,"dist.delta",82.7564102564102
"79","novelas-espanolas","combination",1000,"w",3,"dist.eder",82.7564102564102
"52","novelas-espanolas","combination",5000,"c",4,"dist.delta",82.6923076923077
"134","novelas-espanolas","combination",1000,"w",2,"dist.minmax",82.6923076923077
"142","novelas-espanolas","combination",2000,"w",2,"dist.minmax",82.6923076923077
"141","novelas-espanolas","combination",2000,"w",1,"dist.minmax",82.6282051282051
"149","novelas-espanolas","combination",3000,"w",1,"dist.minmax",82.6282051282051
"157","novelas-espanolas","combination",4000,"w",1,"dist.minmax",82.6282051282051
"86","novelas-espanolas","combination",2000,"w",2,"dist.eder",81.9871794871795
"40","novelas-espanolas","combination",3000,"w",4,"dist.delta",81.9871794871795
"56","novelas-espanolas","combination",5000,"w",4,"dist.delta",81.9871794871795
"178","novelas-espanolas","combination",500,"c",2,"dist.wurzburg",81.9230769230769
"76","novelas-espanolas","combination",1000,"c",4,"dist.eder",81.9230769230769
"20","novelas-espanolas","combination",1000,"c",4,"dist.delta",81.8589743589744
"173","novelas-espanolas","combination",100,"w",1,"dist.wurzburg",81.8589743589744
"165","novelas-espanolas","combination",5000,"w",1,"dist.minmax",81.7948717948718
"36","novelas-espanolas","combination",3000,"c",4,"dist.delta",81.1538461538462
"108","novelas-espanolas","combination",5000,"c",4,"dist.eder",81.1538461538462
"48","novelas-espanolas","combination",4000,"w",4,"dist.delta",81.1538461538461
"88","novelas-espanolas","combination",2000,"w",4,"dist.eder",81.1538461538461
"95","novelas-espanolas","combination",3000,"w",3,"dist.eder",81.1538461538461
"103","novelas-espanolas","combination",4000,"w",3,"dist.eder",81.1538461538461
"69","novelas-espanolas","combination",500,"w",1,"dist.eder",81.0897435897436
"5","novelas-espanolas","combination",100,"w",1,"dist.delta",81.0897435897436
"6","novelas-espanolas","combination",100,"w",2,"dist.delta",81.0897435897436
"74","novelas-espanolas","combination",1000,"c",2,"dist.eder",81.0897435897436
"82","novelas-espanolas","combination",2000,"c",2,"dist.eder",81.0897435897436
"90","novelas-espanolas","combination",3000,"c",2,"dist.eder",81.0897435897436
"98","novelas-espanolas","combination",4000,"c",2,"dist.eder",81.0897435897436
"106","novelas-espanolas","combination",5000,"c",2,"dist.eder",81.0897435897436
"126","novelas-espanolas","combination",500,"w",2,"dist.minmax",81.025641025641
"23","novelas-espanolas","combination",1000,"w",3,"dist.delta",80.3846153846154
"148","novelas-espanolas","combination",3000,"c",4,"dist.minmax",80.3205128205128
"156","novelas-espanolas","combination",4000,"c",4,"dist.minmax",80.3205128205128
"164","novelas-espanolas","combination",5000,"c",4,"dist.minmax",80.3205128205128
"15","novelas-espanolas","combination",500,"w",3,"dist.delta",80.3205128205128
"71","novelas-espanolas","combination",500,"w",3,"dist.eder",80.3205128205128
"62","novelas-espanolas","combination",100,"w",2,"dist.eder",80.2564102564103
"172","novelas-espanolas","combination",100,"c",4,"dist.wurzburg",80.2564102564102
"200","novelas-espanolas","combination",2000,"w",4,"dist.wurzburg",79.5512820512821
"68","novelas-espanolas","combination",500,"c",4,"dist.eder",79.4871794871795
"67","novelas-espanolas","combination",500,"c",3,"dist.eder",79.4871794871795
"184","novelas-espanolas","combination",500,"w",4,"dist.wurzburg",79.4230769230769
"158","novelas-espanolas","combination",4000,"w",2,"dist.minmax",78.7820512820513
"166","novelas-espanolas","combination",5000,"w",2,"dist.minmax",78.7820512820513
"147","novelas-espanolas","combination",3000,"c",3,"dist.minmax",78.7179487179487
"155","novelas-espanolas","combination",4000,"c",3,"dist.minmax",78.7179487179487
"163","novelas-espanolas","combination",5000,"c",3,"dist.minmax",78.7179487179487
"10","novelas-espanolas","combination",500,"c",2,"dist.delta",78.7179487179487
"66","novelas-espanolas","combination",500,"c",2,"dist.eder",78.6538461538461
"87","novelas-espanolas","combination",2000,"w",3,"dist.eder",78.0769230769231
"133","novelas-espanolas","combination",1000,"w",1,"dist.minmax",77.8846153846154
"175","novelas-espanolas","combination",100,"w",3,"dist.wurzburg",77.8846153846154
"18","novelas-espanolas","combination",1000,"c",2,"dist.delta",77.6923076923077
"26","novelas-espanolas","combination",2000,"c",2,"dist.delta",77.6923076923077
"34","novelas-espanolas","combination",3000,"c",2,"dist.delta",77.6923076923077
"42","novelas-espanolas","combination",4000,"c",2,"dist.delta",77.6923076923077
"50","novelas-espanolas","combination",5000,"c",2,"dist.delta",77.6923076923077
"24","novelas-espanolas","combination",1000,"w",4,"dist.delta",77.1794871794872
"160","novelas-espanolas","combination",4000,"w",4,"dist.minmax",77.1794871794872
"168","novelas-espanolas","combination",5000,"w",4,"dist.minmax",77.1794871794872
"63","novelas-espanolas","combination",100,"w",3,"dist.eder",77.1153846153846
"132","novelas-espanolas","combination",1000,"c",4,"dist.minmax",77.0512820512821
"192","novelas-espanolas","combination",1000,"w",4,"dist.wurzburg",77.0512820512821
"170","novelas-espanolas","combination",100,"c",2,"dist.wurzburg",76.474358974359
"159","novelas-espanolas","combination",4000,"w",3,"dist.minmax",76.4102564102564
"167","novelas-espanolas","combination",5000,"w",3,"dist.minmax",76.4102564102564
"125","novelas-espanolas","combination",500,"w",1,"dist.minmax",76.3461538461539
"152","novelas-espanolas","combination",3000,"w",4,"dist.minmax",76.3461538461539
"135","novelas-espanolas","combination",1000,"w",3,"dist.minmax",76.3461538461538
"124","novelas-espanolas","combination",500,"c",4,"dist.minmax",76.2820512820513
"140","novelas-espanolas","combination",2000,"c",4,"dist.minmax",76.2820512820513
"7","novelas-espanolas","combination",100,"w",3,"dist.delta",76.2179487179487
"118","novelas-espanolas","combination",100,"w",2,"dist.minmax",76.2179487179487
"127","novelas-espanolas","combination",500,"w",3,"dist.minmax",76.2179487179487
"151","novelas-espanolas","combination",3000,"w",3,"dist.minmax",75.6410256410256
"4","novelas-espanolas","combination",100,"c",4,"dist.delta",75.5769230769231
"16","novelas-espanolas","combination",500,"w",4,"dist.delta",74.8717948717949
"72","novelas-espanolas","combination",500,"w",4,"dist.eder",74.8076923076923
"143","novelas-espanolas","combination",2000,"w",3,"dist.minmax",74.8076923076923
"117","novelas-espanolas","combination",100,"w",1,"dist.minmax",74.6794871794872
"139","novelas-espanolas","combination",2000,"c",3,"dist.minmax",74.6794871794872
"80","novelas-espanolas","combination",1000,"w",4,"dist.eder",74.0384615384615
"123","novelas-espanolas","combination",500,"c",3,"dist.minmax",73.0769230769231
"131","novelas-espanolas","combination",1000,"c",3,"dist.minmax",73.0769230769231
"144","novelas-espanolas","combination",2000,"w",4,"dist.minmax",73.0769230769231
"60","novelas-espanolas","combination",100,"c",4,"dist.eder",72.4358974358974
"171","novelas-espanolas","combination",100,"c",3,"dist.wurzburg",72.3717948717949
"128","novelas-espanolas","combination",500,"w",4,"dist.minmax",71.474358974359
"136","novelas-espanolas","combination",1000,"w",4,"dist.minmax",71.474358974359
"116","novelas-espanolas","combination",100,"c",4,"dist.minmax",70.6410256410256
"59","novelas-espanolas","combination",100,"c",3,"dist.eder",70.0641025641026
"3","novelas-espanolas","combination",100,"c",3,"dist.delta",70
"119","novelas-espanolas","combination",100,"w",3,"dist.minmax",68.2051282051282
"8","novelas-espanolas","combination",100,"w",4,"dist.delta",67.6282051282052
"58","novelas-espanolas","combination",100,"c",2,"dist.eder",67.5641025641026
"176","novelas-espanolas","combination",100,"w",4,"dist.wurzburg",67.5641025641026
"2","novelas-espanolas","combination",100,"c",2,"dist.delta",65.1923076923077
"122","novelas-espanolas","combination",500,"c",2,"dist.minmax",65.0641025641026
"130","novelas-espanolas","combination",1000,"c",2,"dist.minmax",65.0641025641026
"138","novelas-espanolas","combination",2000,"c",2,"dist.minmax",65.0641025641026
