"","corpus","version","mfw","features","ngrams","distances","media"
"259","novelas-espanolas","fusion",4000,"c",3,"dist.wurzburg",99.2307692307692
"267","novelas-espanolas","fusion",5000,"c",3,"dist.wurzburg",99.2307692307692
"275","novelas-espanolas","fusion",7000,"c",3,"dist.wurzburg",99.2307692307692
"283","novelas-espanolas","fusion",10000,"c",3,"dist.wurzburg",99.2307692307692
"253","novelas-espanolas","fusion",3000,"w",1,"dist.wurzburg",98.2307692307692
"245","novelas-espanolas","fusion",2000,"w",1,"dist.wurzburg",97.4615384615385
"261","novelas-espanolas","fusion",4000,"w",1,"dist.wurzburg",96.1538461538461
"269","novelas-espanolas","fusion",5000,"w",1,"dist.wurzburg",96.1538461538461
"277","novelas-espanolas","fusion",7000,"w",1,"dist.wurzburg",96.1538461538461
"285","novelas-espanolas","fusion",10000,"w",1,"dist.wurzburg",96.1538461538461
"262","novelas-espanolas","fusion",4000,"w",2,"dist.wurzburg",95.3846153846154
"270","novelas-espanolas","fusion",5000,"w",2,"dist.wurzburg",95.3846153846154
"278","novelas-espanolas","fusion",7000,"w",2,"dist.wurzburg",95.3846153846154
"286","novelas-espanolas","fusion",10000,"w",2,"dist.wurzburg",95.3846153846154
"237","novelas-espanolas","fusion",1000,"w",1,"dist.wurzburg",94.6153846153846
"246","novelas-espanolas","fusion",2000,"w",2,"dist.wurzburg",94.6153846153846
"254","novelas-espanolas","fusion",3000,"w",2,"dist.wurzburg",94.6153846153846
"268","novelas-espanolas","fusion",5000,"c",4,"dist.wurzburg",94.6153846153846
"276","novelas-espanolas","fusion",7000,"c",4,"dist.wurzburg",94.6153846153846
"284","novelas-espanolas","fusion",10000,"c",4,"dist.wurzburg",94.6153846153846
"271","novelas-espanolas","fusion",5000,"w",3,"dist.wurzburg",93.8461538461538
"279","novelas-espanolas","fusion",7000,"w",3,"dist.wurzburg",93.8461538461538
"287","novelas-espanolas","fusion",10000,"w",3,"dist.wurzburg",93.8461538461538
"234","novelas-espanolas","fusion",1000,"c",2,"dist.wurzburg",93.7820512820513
"242","novelas-espanolas","fusion",2000,"c",2,"dist.wurzburg",93.7820512820513
"250","novelas-espanolas","fusion",3000,"c",2,"dist.wurzburg",93.7820512820513
"258","novelas-espanolas","fusion",4000,"c",2,"dist.wurzburg",93.7820512820513
"266","novelas-espanolas","fusion",5000,"c",2,"dist.wurzburg",93.7820512820513
"274","novelas-espanolas","fusion",7000,"c",2,"dist.wurzburg",93.7820512820513
"282","novelas-espanolas","fusion",10000,"c",2,"dist.wurzburg",93.7820512820513
"12","novelas-espanolas","fusion",500,"c",4,"dist.delta",93.7179487179487
"251","novelas-espanolas","fusion",3000,"c",3,"dist.wurzburg",93.0128205128205
"236","novelas-espanolas","fusion",1000,"c",4,"dist.wurzburg",92.2435897435897
"243","novelas-espanolas","fusion",2000,"c",3,"dist.wurzburg",92.2435897435897
"244","novelas-espanolas","fusion",2000,"c",4,"dist.wurzburg",92.2435897435897
"252","novelas-espanolas","fusion",3000,"c",4,"dist.wurzburg",92.2435897435897
"260","novelas-espanolas","fusion",4000,"c",4,"dist.wurzburg",92.2435897435897
"230","novelas-espanolas","fusion",500,"w",2,"dist.wurzburg",91.474358974359
"272","novelas-espanolas","fusion",5000,"w",4,"dist.wurzburg",91.474358974359
"280","novelas-espanolas","fusion",7000,"w",4,"dist.wurzburg",91.474358974359
"288","novelas-espanolas","fusion",10000,"w",4,"dist.wurzburg",91.474358974359
"91","novelas-espanolas","fusion",1000,"c",3,"dist.eder",91.4102564102564
"235","novelas-espanolas","fusion",1000,"c",3,"dist.wurzburg",91.2435897435897
"264","novelas-espanolas","fusion",4000,"w",4,"dist.wurzburg",90.7051282051282
"11","novelas-espanolas","fusion",500,"c",3,"dist.delta",90.6410256410256
"94","novelas-espanolas","fusion",1000,"w",2,"dist.eder",90.6410256410256
"228","novelas-espanolas","fusion",500,"c",4,"dist.wurzburg",90.6410256410256
"227","novelas-espanolas","fusion",500,"c",3,"dist.wurzburg",90.4102564102564
"256","novelas-espanolas","fusion",3000,"w",4,"dist.wurzburg",89.9358974358974
"93","novelas-espanolas","fusion",1000,"w",1,"dist.eder",89.8717948717949
"238","novelas-espanolas","fusion",1000,"w",2,"dist.wurzburg",89.8717948717949
"86","novelas-espanolas","fusion",500,"w",2,"dist.eder",89.8076923076923
"263","novelas-espanolas","fusion",4000,"w",3,"dist.wurzburg",89.1666666666667
"22","novelas-espanolas","fusion",1000,"w",2,"dist.delta",89.1025641025641
"229","novelas-espanolas","fusion",500,"w",1,"dist.wurzburg",88.3333333333333
"28","novelas-espanolas","fusion",2000,"c",4,"dist.delta",88.3333333333333
"99","novelas-espanolas","fusion",2000,"c",3,"dist.eder",88.3333333333333
"102","novelas-espanolas","fusion",2000,"w",2,"dist.eder",88.3333333333333
"108","novelas-espanolas","fusion",3000,"c",4,"dist.eder",88.3333333333333
"116","novelas-espanolas","fusion",4000,"c",4,"dist.eder",88.3333333333333
"14","novelas-espanolas","fusion",500,"w",2,"dist.delta",88.2692307692308
"255","novelas-espanolas","fusion",3000,"w",3,"dist.wurzburg",87.5641025641026
"19","novelas-espanolas","fusion",1000,"c",3,"dist.delta",87.5641025641026
"20","novelas-espanolas","fusion",1000,"c",4,"dist.delta",87.5
"92","novelas-espanolas","fusion",1000,"c",4,"dist.eder",87.5
"100","novelas-espanolas","fusion",2000,"c",4,"dist.eder",87.5
"188","novelas-espanolas","fusion",4000,"c",4,"dist.minmax",87.5
"196","novelas-espanolas","fusion",5000,"c",4,"dist.minmax",87.5
"204","novelas-espanolas","fusion",7000,"c",4,"dist.minmax",87.5
"212","novelas-espanolas","fusion",10000,"c",4,"dist.minmax",87.5
"43","novelas-espanolas","fusion",4000,"c",3,"dist.delta",87.3333333333333
"51","novelas-espanolas","fusion",5000,"c",3,"dist.delta",87.3333333333333
"59","novelas-espanolas","fusion",7000,"c",3,"dist.delta",87.3333333333333
"67","novelas-espanolas","fusion",10000,"c",3,"dist.delta",87.3333333333333
"247","novelas-espanolas","fusion",2000,"w",3,"dist.wurzburg",86.7948717948718
"13","novelas-espanolas","fusion",500,"w",1,"dist.delta",86.7307692307692
"180","novelas-espanolas","fusion",3000,"c",4,"dist.minmax",86.7307692307692
"226","novelas-espanolas","fusion",500,"c",2,"dist.wurzburg",86.7307692307692
"179","novelas-espanolas","fusion",3000,"c",3,"dist.minmax",86.6666666666667
"187","novelas-espanolas","fusion",4000,"c",3,"dist.minmax",86.6666666666667
