"","corpus","version","mfw","features","ngrams","distances","media"
"205","novelas-espanolas","fusion",3000,"w",1,"dist.wurzburg",96.7832167832168
"213","novelas-espanolas","fusion",4000,"w",1,"dist.wurzburg",96.7832167832168
"221","novelas-espanolas","fusion",5000,"w",1,"dist.wurzburg",96.7832167832168
"211","novelas-espanolas","fusion",4000,"c",3,"dist.wurzburg",96.7191142191142
"219","novelas-espanolas","fusion",5000,"c",3,"dist.wurzburg",96.7191142191142
"220","novelas-espanolas","fusion",5000,"c",4,"dist.wurzburg",94.4114219114219
"222","novelas-espanolas","fusion",5000,"w",2,"dist.wurzburg",93.5664335664336
"224","novelas-espanolas","fusion",5000,"w",4,"dist.wurzburg",93.5664335664336
"216","novelas-espanolas","fusion",4000,"w",4,"dist.wurzburg",93.502331002331
"203","novelas-espanolas","fusion",3000,"c",3,"dist.wurzburg",92.8729603729604
"189","novelas-espanolas","fusion",1000,"w",1,"dist.wurzburg",92.7331002331002
"206","novelas-espanolas","fusion",3000,"w",2,"dist.wurzburg",92.7331002331002
"214","novelas-espanolas","fusion",4000,"w",2,"dist.wurzburg",92.7331002331002
"197","novelas-espanolas","fusion",2000,"w",1,"dist.wurzburg",92.5932400932401
"198","novelas-espanolas","fusion",2000,"w",2,"dist.wurzburg",91.9638694638695
"208","novelas-espanolas","fusion",3000,"w",4,"dist.wurzburg",91.8240093240093
"43","novelas-espanolas","fusion",4000,"c",3,"dist.delta",91.7482517482518
"215","novelas-espanolas","fusion",4000,"w",3,"dist.wurzburg",91.0547785547786
"51","novelas-espanolas","fusion",5000,"c",3,"dist.delta",90.979020979021
"195","novelas-espanolas","fusion",2000,"c",3,"dist.wurzburg",90.4254079254079
"212","novelas-espanolas","fusion",4000,"c",4,"dist.wurzburg",90.4254079254079
"223","novelas-espanolas","fusion",5000,"w",3,"dist.wurzburg",90.2855477855478
"196","novelas-espanolas","fusion",2000,"c",4,"dist.wurzburg",89.6561771561772
"204","novelas-espanolas","fusion",3000,"c",4,"dist.wurzburg",89.6561771561772
"77","novelas-espanolas","fusion",1000,"w",1,"dist.eder",89.516317016317
"83","novelas-espanolas","fusion",2000,"c",3,"dist.eder",89.516317016317
"100","novelas-espanolas","fusion",4000,"c",4,"dist.eder",89.516317016317
"14","novelas-espanolas","fusion",500,"w",2,"dist.delta",88.8228438228438
"78","novelas-espanolas","fusion",1000,"w",2,"dist.eder",88.8228438228438
"19","novelas-espanolas","fusion",1000,"c",3,"dist.delta",88.7470862470862
"70","novelas-espanolas","fusion",500,"w",2,"dist.eder",88.7470862470862
"36","novelas-espanolas","fusion",3000,"c",4,"dist.delta",88.6072261072261
"107","novelas-espanolas","fusion",5000,"c",3,"dist.eder",88.6072261072261
"108","novelas-espanolas","fusion",5000,"c",4,"dist.eder",88.6072261072261
"186","novelas-espanolas","fusion",1000,"c",2,"dist.wurzburg",88.479020979021
"194","novelas-espanolas","fusion",2000,"c",2,"dist.wurzburg",88.479020979021
"202","novelas-espanolas","fusion",3000,"c",2,"dist.wurzburg",88.479020979021
"210","novelas-espanolas","fusion",4000,"c",2,"dist.wurzburg",88.479020979021
"218","novelas-espanolas","fusion",5000,"c",2,"dist.wurzburg",88.479020979021
"28","novelas-espanolas","fusion",2000,"c",4,"dist.delta",87.9778554778555
"92","novelas-espanolas","fusion",3000,"c",4,"dist.eder",87.9778554778555
"110","novelas-espanolas","fusion",5000,"w",2,"dist.eder",87.9020979020979
"46","novelas-espanolas","fusion",4000,"w",2,"dist.delta",87.7622377622378
"53","novelas-espanolas","fusion",5000,"w",1,"dist.delta",87.6981351981352
"188","novelas-espanolas","fusion",1000,"c",4,"dist.wurzburg",87.2843822843823
"181","novelas-espanolas","fusion",500,"w",1,"dist.wurzburg",87.2086247086247
"187","novelas-espanolas","fusion",1000,"c",3,"dist.wurzburg",87.2086247086247
"199","novelas-espanolas","fusion",2000,"w",3,"dist.wurzburg",87.2086247086247
"207","novelas-espanolas","fusion",3000,"w",3,"dist.wurzburg",87.2086247086247
"22","novelas-espanolas","fusion",1000,"w",2,"dist.delta",87.1445221445221
"86","novelas-espanolas","fusion",2000,"w",2,"dist.eder",87.1445221445221
"21","novelas-espanolas","fusion",1000,"w",1,"dist.delta",87.0687645687646
"27","novelas-espanolas","fusion",2000,"c",3,"dist.delta",87.0687645687646
"30","novelas-espanolas","fusion",2000,"w",2,"dist.delta",87.0687645687646
"35","novelas-espanolas","fusion",3000,"c",3,"dist.delta",87.0687645687646
"38","novelas-espanolas","fusion",3000,"w",2,"dist.delta",87.0687645687646
"44","novelas-espanolas","fusion",4000,"c",4,"dist.delta",87.0687645687646
"52","novelas-espanolas","fusion",5000,"c",4,"dist.delta",87.0687645687646
"85","novelas-espanolas","fusion",2000,"w",1,"dist.eder",87.0687645687646
"91","novelas-espanolas","fusion",3000,"c",3,"dist.eder",87.0687645687646
"93","novelas-espanolas","fusion",3000,"w",1,"dist.eder",87.0687645687646
"94","novelas-espanolas","fusion",3000,"w",2,"dist.eder",87.0687645687646
"99","novelas-espanolas","fusion",4000,"c",3,"dist.eder",87.0687645687646
"102","novelas-espanolas","fusion",4000,"w",2,"dist.eder",87.0687645687646
"13","novelas-espanolas","fusion",500,"w",1,"dist.delta",87.004662004662
"29","novelas-espanolas","fusion",2000,"w",1,"dist.delta",87.004662004662
"45","novelas-espanolas","fusion",4000,"w",1,"dist.delta",86.9289044289044
"54","novelas-espanolas","fusion",5000,"w",2,"dist.delta",86.9289044289044
"37","novelas-espanolas","fusion",3000,"w",1,"dist.delta",86.8648018648019
"200","novelas-espanolas","fusion",2000,"w",4,"dist.wurzburg",86.3111888111888
"84","novelas-espanolas","fusion",2000,"c",4,"dist.eder",86.2995337995338
"182","novelas-espanolas","fusion",500,"w",2,"dist.wurzburg",85.7459207459208
"55","novelas-espanolas","fusion",5000,"w",3,"dist.delta",85.3263403263403
"101","novelas-espanolas","fusion",4000,"w",1,"dist.eder",85.3263403263403
"109","novelas-espanolas","fusion",5000,"w",1,"dist.eder",85.3263403263403
"183","novelas-espanolas","fusion",500,"w",3,"dist.wurzburg",84.7727272727273
"79","novelas-espanolas","fusion",1000,"w",3,"dist.eder",84.6328671328671
"39","novelas-espanolas","fusion",3000,"w",3,"dist.delta",84.481351981352
"47","novelas-espanolas","fusion",4000,"w",3,"dist.delta",84.481351981352
"71","novelas-espanolas","fusion",500,"w",3,"dist.eder",84.4289044289044
"190","novelas-espanolas","fusion",1000,"w",2,"dist.wurzburg",84.0034965034965
