"","corpus","version","mfw","features","ngrams","distances","media"
"255","novelas-espanolas","only-tokens",3000,"w",3,"dist.wurzburg",97.5641025641026
"261","novelas-espanolas","only-tokens",4000,"w",1,"dist.wurzburg",96.7307692307692
"263","novelas-espanolas","only-tokens",4000,"w",3,"dist.wurzburg",96.7307692307692
"271","novelas-espanolas","only-tokens",5000,"w",3,"dist.wurzburg",96.7307692307692
"279","novelas-espanolas","only-tokens",7000,"w",3,"dist.wurzburg",96.7307692307692
"287","novelas-espanolas","only-tokens",10000,"w",3,"dist.wurzburg",96.7307692307692
"253","novelas-espanolas","only-tokens",3000,"w",1,"dist.wurzburg",95.9615384615385
"269","novelas-espanolas","only-tokens",5000,"w",1,"dist.wurzburg",95.9615384615385
"277","novelas-espanolas","only-tokens",7000,"w",1,"dist.wurzburg",95.9615384615385
"285","novelas-espanolas","only-tokens",10000,"w",1,"dist.wurzburg",95.9615384615385
"259","novelas-espanolas","only-tokens",4000,"c",3,"dist.wurzburg",95.2564102564102
"267","novelas-espanolas","only-tokens",5000,"c",3,"dist.wurzburg",95.2564102564102
"275","novelas-espanolas","only-tokens",7000,"c",3,"dist.wurzburg",95.2564102564102
"283","novelas-espanolas","only-tokens",10000,"c",3,"dist.wurzburg",95.2564102564102
"243","novelas-espanolas","only-tokens",2000,"c",3,"dist.wurzburg",94.4230769230769
"251","novelas-espanolas","only-tokens",3000,"c",3,"dist.wurzburg",93.5897435897436
"51","novelas-espanolas","only-tokens",5000,"c",3,"dist.delta",93.525641025641
"59","novelas-espanolas","only-tokens",7000,"c",3,"dist.delta",93.525641025641
"67","novelas-espanolas","only-tokens",10000,"c",3,"dist.delta",93.525641025641
"270","novelas-espanolas","only-tokens",5000,"w",2,"dist.wurzburg",93.525641025641
"278","novelas-espanolas","only-tokens",7000,"w",2,"dist.wurzburg",93.525641025641
"286","novelas-espanolas","only-tokens",10000,"w",2,"dist.wurzburg",93.525641025641
"254","novelas-espanolas","only-tokens",3000,"w",2,"dist.wurzburg",93.4615384615385
"247","novelas-espanolas","only-tokens",2000,"w",3,"dist.wurzburg",93.3974358974359
"43","novelas-espanolas","only-tokens",4000,"c",3,"dist.delta",92.7564102564102
"45","novelas-espanolas","only-tokens",4000,"w",1,"dist.delta",92.7564102564102
"53","novelas-espanolas","only-tokens",5000,"w",1,"dist.delta",92.7564102564102
"61","novelas-espanolas","only-tokens",7000,"w",1,"dist.delta",92.7564102564102
"69","novelas-espanolas","only-tokens",10000,"w",1,"dist.delta",92.7564102564102
"125","novelas-espanolas","only-tokens",5000,"w",1,"dist.eder",92.7564102564102
"133","novelas-espanolas","only-tokens",7000,"w",1,"dist.eder",92.7564102564102
"141","novelas-espanolas","only-tokens",10000,"w",1,"dist.eder",92.7564102564102
"200","novelas-espanolas","only-tokens",5000,"w",4,"dist.minmax",91.9871794871795
"208","novelas-espanolas","only-tokens",7000,"w",4,"dist.minmax",91.9871794871795
"216","novelas-espanolas","only-tokens",10000,"w",4,"dist.minmax",91.9871794871795
"37","novelas-espanolas","only-tokens",3000,"w",1,"dist.delta",91.9230769230769
"234","novelas-espanolas","only-tokens",1000,"c",2,"dist.wurzburg",91.2820512820513
"242","novelas-espanolas","only-tokens",2000,"c",2,"dist.wurzburg",91.2820512820513
"250","novelas-espanolas","only-tokens",3000,"c",2,"dist.wurzburg",91.2820512820513
"258","novelas-espanolas","only-tokens",4000,"c",2,"dist.wurzburg",91.2820512820513
"266","novelas-espanolas","only-tokens",5000,"c",2,"dist.wurzburg",91.2820512820513
"274","novelas-espanolas","only-tokens",7000,"c",2,"dist.wurzburg",91.2820512820513
"282","novelas-espanolas","only-tokens",10000,"c",2,"dist.wurzburg",91.2820512820513
"235","novelas-espanolas","only-tokens",1000,"c",3,"dist.wurzburg",91.2179487179487
