"","corpus","version","mfw","features","ngrams","distances","media"
"205","novelas-espanolas","only-tokens",3000,"w",1,"dist.wurzburg",95.1165501165501
"223","novelas-espanolas","only-tokens",5000,"w",3,"dist.wurzburg",95.0524475524475
"215","novelas-espanolas","only-tokens",4000,"w",3,"dist.wurzburg",94.4230769230769
"197","novelas-espanolas","only-tokens",2000,"w",1,"dist.wurzburg",94.3473193473193
"211","novelas-espanolas","only-tokens",4000,"c",3,"dist.wurzburg",94.3473193473193
"219","novelas-espanolas","only-tokens",5000,"c",3,"dist.wurzburg",94.3473193473193
"207","novelas-espanolas","only-tokens",3000,"w",3,"dist.wurzburg",93.5897435897436
"195","novelas-espanolas","only-tokens",2000,"c",3,"dist.wurzburg",91.9755244755245
"213","novelas-espanolas","only-tokens",4000,"w",1,"dist.wurzburg",91.002331002331
"221","novelas-espanolas","only-tokens",5000,"w",1,"dist.wurzburg",91.002331002331
"51","novelas-espanolas","only-tokens",5000,"c",3,"dist.delta",91.002331002331
"189","novelas-espanolas","only-tokens",1000,"w",1,"dist.wurzburg",90.2331002331002
"198","novelas-espanolas","only-tokens",2000,"w",2,"dist.wurzburg",90.2331002331002
"203","novelas-espanolas","only-tokens",3000,"c",3,"dist.wurzburg",90.2331002331002
"206","novelas-espanolas","only-tokens",3000,"w",2,"dist.wurzburg",90.2331002331002
"212","novelas-espanolas","only-tokens",4000,"c",4,"dist.wurzburg",90.2331002331002
"214","novelas-espanolas","only-tokens",4000,"w",2,"dist.wurzburg",90.2331002331002
"220","novelas-espanolas","only-tokens",5000,"c",4,"dist.wurzburg",90.2331002331002
"222","novelas-espanolas","only-tokens",5000,"w",2,"dist.wurzburg",90.2331002331002
"43","novelas-espanolas","only-tokens",4000,"c",3,"dist.delta",90.1689976689976
"53","novelas-espanolas","only-tokens",5000,"w",1,"dist.delta",90.1689976689976
"188","novelas-espanolas","only-tokens",1000,"c",4,"dist.wurzburg",89.4638694638695
"204","novelas-espanolas","only-tokens",3000,"c",4,"dist.wurzburg",89.4638694638695
"181","novelas-espanolas","only-tokens",500,"w",1,"dist.wurzburg",89.3997668997669
"199","novelas-espanolas","only-tokens",2000,"w",3,"dist.wurzburg",89.3997668997669
"35","novelas-espanolas","only-tokens",3000,"c",3,"dist.delta",89.3997668997669
"109","novelas-espanolas","only-tokens",5000,"w",1,"dist.eder",89.3356643356643
"45","novelas-espanolas","only-tokens",4000,"w",1,"dist.delta",89.3356643356643
"168","novelas-espanolas","only-tokens",5000,"w",4,"dist.minmax",89.3356643356643
"179","novelas-espanolas","only-tokens",500,"c",3,"dist.wurzburg",88.7703962703963
"27","novelas-espanolas","only-tokens",2000,"c",3,"dist.delta",88.6305361305361
"91","novelas-espanolas","only-tokens",3000,"c",3,"dist.eder",88.6305361305361
"99","novelas-espanolas","only-tokens",4000,"c",3,"dist.eder",88.6305361305361
"107","novelas-espanolas","only-tokens",5000,"c",3,"dist.eder",88.6305361305361
"29","novelas-espanolas","only-tokens",2000,"w",1,"dist.delta",88.5664335664336
"101","novelas-espanolas","only-tokens",4000,"w",1,"dist.eder",88.5664335664336
"152","novelas-espanolas","only-tokens",3000,"w",4,"dist.minmax",88.5664335664336
"160","novelas-espanolas","only-tokens",4000,"w",4,"dist.minmax",88.5664335664336
"172","novelas-espanolas","only-tokens",100,"c",4,"dist.wurzburg",88.5664335664336
"37","novelas-espanolas","only-tokens",3000,"w",1,"dist.delta",88.502331002331
"83","novelas-espanolas","only-tokens",2000,"c",3,"dist.eder",87.8613053613053
"85","novelas-espanolas","only-tokens",2000,"w",1,"dist.eder",87.7972027972028
"93","novelas-espanolas","only-tokens",3000,"w",1,"dist.eder",87.7972027972028
"187","novelas-espanolas","only-tokens",1000,"c",3,"dist.wurzburg",87.7972027972028
"77","novelas-espanolas","only-tokens",1000,"w",1,"dist.eder",87.7331002331002
"84","novelas-espanolas","only-tokens",2000,"c",4,"dist.eder",87.7331002331002
"11","novelas-espanolas","only-tokens",500,"c",3,"dist.delta",87.7214452214452
"75","novelas-espanolas","only-tokens",1000,"c",3,"dist.eder",87.7214452214452
"13","novelas-espanolas","only-tokens",500,"w",1,"dist.delta",87.6689976689977
"186","novelas-espanolas","only-tokens",1000,"c",2,"dist.wurzburg",87.6573426573427
"194","novelas-espanolas","only-tokens",2000,"c",2,"dist.wurzburg",87.6573426573427
"202","novelas-espanolas","only-tokens",3000,"c",2,"dist.wurzburg",87.6573426573427
"210","novelas-espanolas","only-tokens",4000,"c",2,"dist.wurzburg",87.6573426573427
"218","novelas-espanolas","only-tokens",5000,"c",2,"dist.wurzburg",87.6573426573427
"19","novelas-espanolas","only-tokens",1000,"c",3,"dist.delta",87.0920745920746
"21","novelas-espanolas","only-tokens",1000,"w",1,"dist.delta",86.9638694638695
"92","novelas-espanolas","only-tokens",3000,"c",4,"dist.eder",86.9638694638695
"190","novelas-espanolas","only-tokens",1000,"w",2,"dist.wurzburg",86.9638694638695
"144","novelas-espanolas","only-tokens",2000,"w",4,"dist.minmax",86.8997668997669
"28","novelas-espanolas","only-tokens",2000,"c",4,"dist.delta",86.1946386946387
"196","novelas-espanolas","only-tokens",2000,"c",4,"dist.wurzburg",86.1946386946387
"178","novelas-espanolas","only-tokens",500,"c",2,"dist.wurzburg",86.0547785547786
"20","novelas-espanolas","only-tokens",1000,"c",4,"dist.delta",86.0547785547786
"76","novelas-espanolas","only-tokens",1000,"c",4,"dist.eder",86.0547785547786
"170","novelas-espanolas","only-tokens",100,"c",2,"dist.wurzburg",85.4895104895105
"36","novelas-espanolas","only-tokens",3000,"c",4,"dist.delta",85.4254079254079
"44","novelas-espanolas","only-tokens",4000,"c",4,"dist.delta",85.4254079254079
"52","novelas-espanolas","only-tokens",5000,"c",4,"dist.delta",85.4254079254079
"100","novelas-espanolas","only-tokens",4000,"c",4,"dist.eder",85.4254079254079
"108","novelas-espanolas","only-tokens",5000,"c",4,"dist.eder",85.4254079254079
"46","novelas-espanolas","only-tokens",4000,"w",2,"dist.delta",84.6678321678322
"110","novelas-espanolas","only-tokens",5000,"w",2,"dist.eder",84.5920745920746
"200","novelas-espanolas","only-tokens",2000,"w",4,"dist.wurzburg",84.527972027972
"67","novelas-espanolas","only-tokens",500,"c",3,"dist.eder",84.516317016317
"140","novelas-espanolas","only-tokens",2000,"c",4,"dist.minmax",84.4522144522145
"182","novelas-espanolas","only-tokens",500,"w",2,"dist.wurzburg",84.4522144522145
"191","novelas-espanolas","only-tokens",1000,"w",3,"dist.wurzburg",84.3881118881119
"102","novelas-espanolas","only-tokens",4000,"w",2,"dist.eder",83.8228438228438
