"","corpus","version","mfw","features","ngrams","distances","media"
"228","novelas-hispanoamericanas","annotation",500,"c",4,"dist.wurzburg",93.1547619047619
"223","novelas-hispanoamericanas","annotation",100,"w",3,"dist.wurzburg",91.9047619047619
"224","novelas-hispanoamericanas","annotation",100,"w",4,"dist.wurzburg",90.4761904761905
"230","novelas-hispanoamericanas","annotation",500,"w",2,"dist.wurzburg",90.4761904761905
"231","novelas-hispanoamericanas","annotation",500,"w",3,"dist.wurzburg",90.4761904761905
"239","novelas-hispanoamericanas","annotation",1000,"w",3,"dist.wurzburg",90.4761904761905
"248","novelas-hispanoamericanas","annotation",2000,"w",4,"dist.wurzburg",90.4761904761905
"8","novelas-hispanoamericanas","annotation",100,"w",4,"dist.delta",89.8214285714286
"218","novelas-hispanoamericanas","annotation",100,"c",2,"dist.wurzburg",89.2261904761905
"232","novelas-hispanoamericanas","annotation",500,"w",4,"dist.wurzburg",89.2261904761905
"236","novelas-hispanoamericanas","annotation",1000,"c",4,"dist.wurzburg",89.2261904761905
"7","novelas-hispanoamericanas","annotation",100,"w",3,"dist.delta",86.7261904761905
"159","novelas-hispanoamericanas","annotation",500,"w",3,"dist.minmax",86.7261904761905
"168","novelas-hispanoamericanas","annotation",1000,"w",4,"dist.minmax",86.7261904761905
"175","novelas-hispanoamericanas","annotation",2000,"w",3,"dist.minmax",86.7261904761905
"176","novelas-hispanoamericanas","annotation",2000,"w",4,"dist.minmax",86.7261904761905
"183","novelas-hispanoamericanas","annotation",3000,"w",3,"dist.minmax",86.7261904761905
"184","novelas-hispanoamericanas","annotation",3000,"w",4,"dist.minmax",86.7261904761905
"191","novelas-hispanoamericanas","annotation",4000,"w",3,"dist.minmax",86.7261904761905
"192","novelas-hispanoamericanas","annotation",4000,"w",4,"dist.minmax",86.7261904761905
"199","novelas-hispanoamericanas","annotation",5000,"w",3,"dist.minmax",86.7261904761905
"200","novelas-hispanoamericanas","annotation",5000,"w",4,"dist.minmax",86.7261904761905
"207","novelas-hispanoamericanas","annotation",7000,"w",3,"dist.minmax",86.7261904761905
"208","novelas-hispanoamericanas","annotation",7000,"w",4,"dist.minmax",86.7261904761905
"215","novelas-hispanoamericanas","annotation",10000,"w",3,"dist.minmax",86.7261904761905
"216","novelas-hispanoamericanas","annotation",10000,"w",4,"dist.minmax",86.7261904761905
"226","novelas-hispanoamericanas","annotation",500,"c",2,"dist.wurzburg",86.7261904761905
"234","novelas-hispanoamericanas","annotation",1000,"c",2,"dist.wurzburg",86.7261904761905
"242","novelas-hispanoamericanas","annotation",2000,"c",2,"dist.wurzburg",86.7261904761905
"250","novelas-hispanoamericanas","annotation",3000,"c",2,"dist.wurzburg",86.7261904761905
"258","novelas-hispanoamericanas","annotation",4000,"c",2,"dist.wurzburg",86.7261904761905
"266","novelas-hispanoamericanas","annotation",5000,"c",2,"dist.wurzburg",86.7261904761905
"274","novelas-hispanoamericanas","annotation",7000,"c",2,"dist.wurzburg",86.7261904761905
"282","novelas-hispanoamericanas","annotation",10000,"c",2,"dist.wurzburg",86.7261904761905
"219","novelas-hispanoamericanas","annotation",100,"c",3,"dist.wurzburg",86.5476190476191
"256","novelas-hispanoamericanas","annotation",3000,"w",4,"dist.wurzburg",86.3095238095238
"79","novelas-hispanoamericanas","annotation",100,"w",3,"dist.eder",85.4761904761905
"96","novelas-hispanoamericanas","annotation",1000,"w",4,"dist.eder",85.4761904761905
"150","novelas-hispanoamericanas","annotation",100,"w",2,"dist.minmax",85.4761904761905
"160","novelas-hispanoamericanas","annotation",500,"w",4,"dist.minmax",85.4761904761905
"167","novelas-hispanoamericanas","annotation",1000,"w",3,"dist.minmax",85.4761904761905
"222","novelas-hispanoamericanas","annotation",100,"w",2,"dist.wurzburg",85.4761904761905
"227","novelas-hispanoamericanas","annotation",500,"c",3,"dist.wurzburg",85.4761904761905
"235","novelas-hispanoamericanas","annotation",1000,"c",3,"dist.wurzburg",85.4761904761905
"243","novelas-hispanoamericanas","annotation",2000,"c",3,"dist.wurzburg",85.4761904761905
"251","novelas-hispanoamericanas","annotation",3000,"c",3,"dist.wurzburg",85.4761904761905
"259","novelas-hispanoamericanas","annotation",4000,"c",3,"dist.wurzburg",85.4761904761905
"267","novelas-hispanoamericanas","annotation",5000,"c",3,"dist.wurzburg",85.4761904761905
"275","novelas-hispanoamericanas","annotation",7000,"c",3,"dist.wurzburg",85.4761904761905
"283","novelas-hispanoamericanas","annotation",10000,"c",3,"dist.wurzburg",85.4761904761905
"220","novelas-hispanoamericanas","annotation",100,"c",4,"dist.wurzburg",85.2976190476191
"240","novelas-hispanoamericanas","annotation",1000,"w",4,"dist.wurzburg",85.2976190476191
"15","novelas-hispanoamericanas","annotation",500,"w",3,"dist.delta",84.2261904761905
"16","novelas-hispanoamericanas","annotation",500,"w",4,"dist.delta",84.2261904761905
"86","novelas-hispanoamericanas","annotation",500,"w",2,"dist.eder",84.2261904761905
"87","novelas-hispanoamericanas","annotation",500,"w",3,"dist.eder",84.2261904761905
"88","novelas-hispanoamericanas","annotation",500,"w",4,"dist.eder",84.2261904761905
"158","novelas-hispanoamericanas","annotation",500,"w",2,"dist.minmax",84.2261904761905
"166","novelas-hispanoamericanas","annotation",1000,"w",2,"dist.minmax",84.2261904761905
"174","novelas-hispanoamericanas","annotation",2000,"w",2,"dist.minmax",84.2261904761905
