"","corpus","version","mfw","features","ngrams","distances","media"
"229","novelas-hispanoamericanas","combination",500,"w",1,"dist.wurzburg",98.75
"230","novelas-hispanoamericanas","combination",500,"w",2,"dist.wurzburg",98.75
"238","novelas-hispanoamericanas","combination",1000,"w",2,"dist.wurzburg",98.75
"239","novelas-hispanoamericanas","combination",1000,"w",3,"dist.wurzburg",98.75
"245","novelas-hispanoamericanas","combination",2000,"w",1,"dist.wurzburg",98.75
"246","novelas-hispanoamericanas","combination",2000,"w",2,"dist.wurzburg",98.75
"247","novelas-hispanoamericanas","combination",2000,"w",3,"dist.wurzburg",98.75
"254","novelas-hispanoamericanas","combination",3000,"w",2,"dist.wurzburg",98.75
"262","novelas-hispanoamericanas","combination",4000,"w",2,"dist.wurzburg",98.75
"263","novelas-hispanoamericanas","combination",4000,"w",3,"dist.wurzburg",98.75
"270","novelas-hispanoamericanas","combination",5000,"w",2,"dist.wurzburg",98.75
"271","novelas-hispanoamericanas","combination",5000,"w",3,"dist.wurzburg",98.75
"278","novelas-hispanoamericanas","combination",7000,"w",2,"dist.wurzburg",98.75
"279","novelas-hispanoamericanas","combination",7000,"w",3,"dist.wurzburg",98.75
"286","novelas-hispanoamericanas","combination",10000,"w",2,"dist.wurzburg",98.75
"287","novelas-hispanoamericanas","combination",10000,"w",3,"dist.wurzburg",98.75
"255","novelas-hispanoamericanas","combination",3000,"w",3,"dist.wurzburg",97.5
"261","novelas-hispanoamericanas","combination",4000,"w",1,"dist.wurzburg",97.1428571428571
"269","novelas-hispanoamericanas","combination",5000,"w",1,"dist.wurzburg",97.1428571428571
"277","novelas-hispanoamericanas","combination",7000,"w",1,"dist.wurzburg",97.1428571428571
"285","novelas-hispanoamericanas","combination",10000,"w",1,"dist.wurzburg",97.1428571428571
"253","novelas-hispanoamericanas","combination",3000,"w",1,"dist.wurzburg",96.0714285714286
"264","novelas-hispanoamericanas","combination",4000,"w",4,"dist.wurzburg",94.8214285714286
"272","novelas-hispanoamericanas","combination",5000,"w",4,"dist.wurzburg",94.8214285714286
"280","novelas-hispanoamericanas","combination",7000,"w",4,"dist.wurzburg",94.8214285714286
"288","novelas-hispanoamericanas","combination",10000,"w",4,"dist.wurzburg",94.8214285714286
"237","novelas-hispanoamericanas","combination",1000,"w",1,"dist.wurzburg",94.6428571428571
"240","novelas-hispanoamericanas","combination",1000,"w",4,"dist.wurzburg",93.5714285714286
"248","novelas-hispanoamericanas","combination",2000,"w",4,"dist.wurzburg",93.5714285714286
"256","novelas-hispanoamericanas","combination",3000,"w",4,"dist.wurzburg",93.3928571428571
"228","novelas-hispanoamericanas","combination",500,"c",4,"dist.wurzburg",91.9642857142857
"236","novelas-hispanoamericanas","combination",1000,"c",4,"dist.wurzburg",91.9642857142857
"232","novelas-hispanoamericanas","combination",500,"w",4,"dist.wurzburg",90.8928571428571
"221","novelas-hispanoamericanas","combination",100,"w",1,"dist.wurzburg",90.7142857142857
"231","novelas-hispanoamericanas","combination",500,"w",3,"dist.wurzburg",90.7142857142857
"223","novelas-hispanoamericanas","combination",100,"w",3,"dist.wurzburg",88.2142857142857
"94","novelas-hispanoamericanas","combination",1000,"w",2,"dist.eder",87.1428571428571
"14","novelas-hispanoamericanas","combination",500,"w",2,"dist.delta",86.9642857142857
"218","novelas-hispanoamericanas","combination",100,"c",2,"dist.wurzburg",86.9642857142857
"219","novelas-hispanoamericanas","combination",100,"c",3,"dist.wurzburg",86.9642857142857
"234","novelas-hispanoamericanas","combination",1000,"c",2,"dist.wurzburg",85.7142857142857
"242","novelas-hispanoamericanas","combination",2000,"c",2,"dist.wurzburg",85.7142857142857
"250","novelas-hispanoamericanas","combination",3000,"c",2,"dist.wurzburg",85.7142857142857
"258","novelas-hispanoamericanas","combination",4000,"c",2,"dist.wurzburg",85.7142857142857
"266","novelas-hispanoamericanas","combination",5000,"c",2,"dist.wurzburg",85.7142857142857
"274","novelas-hispanoamericanas","combination",7000,"c",2,"dist.wurzburg",85.7142857142857
"282","novelas-hispanoamericanas","combination",10000,"c",2,"dist.wurzburg",85.7142857142857
"259","novelas-hispanoamericanas","combination",4000,"c",3,"dist.wurzburg",85.5357142857143
"22","novelas-hispanoamericanas","combination",1000,"w",2,"dist.delta",84.8214285714286
"13","novelas-hispanoamericanas","combination",500,"w",1,"dist.delta",84.6428571428571
"5","novelas-hispanoamericanas","combination",100,"w",1,"dist.delta",84.4642857142857
"12","novelas-hispanoamericanas","combination",500,"c",4,"dist.delta",84.4642857142857
"84","novelas-hispanoamericanas","combination",500,"c",4,"dist.eder",84.4642857142857
"92","novelas-hispanoamericanas","combination",1000,"c",4,"dist.eder",84.4642857142857
"86","novelas-hispanoamericanas","combination",500,"w",2,"dist.eder",84.2857142857143
"267","novelas-hispanoamericanas","combination",5000,"c",3,"dist.wurzburg",84.2857142857143
"275","novelas-hispanoamericanas","combination",7000,"c",3,"dist.wurzburg",84.2857142857143
"283","novelas-hispanoamericanas","combination",10000,"c",3,"dist.wurzburg",84.2857142857143
"252","novelas-hispanoamericanas","combination",3000,"c",4,"dist.wurzburg",84.1071428571429
"220","novelas-hispanoamericanas","combination",100,"c",4,"dist.wurzburg",83.2142857142857
"93","novelas-hispanoamericanas","combination",1000,"w",1,"dist.eder",83.0357142857143
"244","novelas-hispanoamericanas","combination",2000,"c",4,"dist.wurzburg",82.8571428571429
"251","novelas-hispanoamericanas","combination",3000,"c",3,"dist.wurzburg",82.8571428571429
"260","novelas-hispanoamericanas","combination",4000,"c",4,"dist.wurzburg",82.8571428571429
"222","novelas-hispanoamericanas","combination",100,"w",2,"dist.wurzburg",82.6785714285714
"224","novelas-hispanoamericanas","combination",100,"w",4,"dist.wurzburg",82.6785714285714
"30","novelas-hispanoamericanas","combination",2000,"w",2,"dist.delta",81.9642857142857
"174","novelas-hispanoamericanas","combination",2000,"w",2,"dist.minmax",81.9642857142857
"227","novelas-hispanoamericanas","combination",500,"c",3,"dist.wurzburg",81.6071428571429
"243","novelas-hispanoamericanas","combination",2000,"c",3,"dist.wurzburg",81.6071428571429
"268","novelas-hispanoamericanas","combination",5000,"c",4,"dist.wurzburg",81.6071428571429
"276","novelas-hispanoamericanas","combination",7000,"c",4,"dist.wurzburg",81.6071428571429
"284","novelas-hispanoamericanas","combination",10000,"c",4,"dist.wurzburg",81.6071428571429
"166","novelas-hispanoamericanas","combination",1000,"w",2,"dist.minmax",81.25
"102","novelas-hispanoamericanas","combination",2000,"w",2,"dist.eder",80.8928571428571
"118","novelas-hispanoamericanas","combination",4000,"w",2,"dist.eder",80.7142857142857
"11","novelas-hispanoamericanas","combination",500,"c",3,"dist.delta",80.7142857142857
"2","novelas-hispanoamericanas","combination",100,"c",2,"dist.delta",80.5357142857143
"87","novelas-hispanoamericanas","combination",500,"w",3,"dist.eder",80.3571428571429
"155","novelas-hispanoamericanas","combination",500,"c",3,"dist.minmax",80.3571428571429
"156","novelas-hispanoamericanas","combination",500,"c",4,"dist.minmax",80.3571428571429
"157","novelas-hispanoamericanas","combination",500,"w",1,"dist.minmax",80.3571428571429
"164","novelas-hispanoamericanas","combination",1000,"c",4,"dist.minmax",80.3571428571429
"165","novelas-hispanoamericanas","combination",1000,"w",1,"dist.minmax",80.3571428571429
"167","novelas-hispanoamericanas","combination",1000,"w",3,"dist.minmax",80.3571428571429
"172","novelas-hispanoamericanas","combination",2000,"c",4,"dist.minmax",80.3571428571429
"173","novelas-hispanoamericanas","combination",2000,"w",1,"dist.minmax",80.3571428571429
"226","novelas-hispanoamericanas","combination",500,"c",2,"dist.wurzburg",80.3571428571429
"235","novelas-hispanoamericanas","combination",1000,"c",3,"dist.wurzburg",80.3571428571429
"110","novelas-hispanoamericanas","combination",3000,"w",2,"dist.eder",79.4642857142857
"20","novelas-hispanoamericanas","combination",1000,"c",4,"dist.delta",79.4642857142857
"91","novelas-hispanoamericanas","combination",1000,"c",3,"dist.eder",79.4642857142857
"100","novelas-hispanoamericanas","combination",2000,"c",4,"dist.eder",79.4642857142857
"29","novelas-hispanoamericanas","combination",2000,"w",1,"dist.delta",79.2857142857143
"83","novelas-hispanoamericanas","combination",500,"c",3,"dist.eder",79.2857142857143
"101","novelas-hispanoamericanas","combination",2000,"w",1,"dist.eder",79.2857142857143
"109","novelas-hispanoamericanas","combination",3000,"w",1,"dist.eder",79.2857142857143
"182","novelas-hispanoamericanas","combination",3000,"w",2,"dist.minmax",79.2857142857143
"21","novelas-hispanoamericanas","combination",1000,"w",1,"dist.delta",79.1071428571429
"154","novelas-hispanoamericanas","combination",500,"c",2,"dist.minmax",78.9285714285714
"162","novelas-hispanoamericanas","combination",1000,"c",2,"dist.minmax",78.9285714285714
"170","novelas-hispanoamericanas","combination",2000,"c",2,"dist.minmax",78.9285714285714
"178","novelas-hispanoamericanas","combination",3000,"c",2,"dist.minmax",78.9285714285714
"186","novelas-hispanoamericanas","combination",4000,"c",2,"dist.minmax",78.9285714285714
"194","novelas-hispanoamericanas","combination",5000,"c",2,"dist.minmax",78.9285714285714
"202","novelas-hispanoamericanas","combination",7000,"c",2,"dist.minmax",78.9285714285714
"210","novelas-hispanoamericanas","combination",10000,"c",2,"dist.minmax",78.9285714285714
"159","novelas-hispanoamericanas","combination",500,"w",3,"dist.minmax",78.75
"38","novelas-hispanoamericanas","combination",3000,"w",2,"dist.delta",78.0357142857143
"171","novelas-hispanoamericanas","combination",2000,"c",3,"dist.minmax",78.0357142857143
"180","novelas-hispanoamericanas","combination",3000,"c",4,"dist.minmax",78.0357142857143
"146","novelas-hispanoamericanas","combination",100,"c",2,"dist.minmax",78.0357142857143
"103","novelas-hispanoamericanas","combination",2000,"w",3,"dist.eder",76.9642857142857
"163","novelas-hispanoamericanas","combination",1000,"c",3,"dist.minmax",76.6071428571429
"79","novelas-hispanoamericanas","combination",100,"w",3,"dist.eder",76.0714285714286
"158","novelas-hispanoamericanas","combination",500,"w",2,"dist.minmax",76.0714285714286
"44","novelas-hispanoamericanas","combination",4000,"c",4,"dist.delta",75.5357142857143
"85","novelas-hispanoamericanas","combination",500,"w",1,"dist.eder",75.5357142857143
"179","novelas-hispanoamericanas","combination",3000,"c",3,"dist.minmax",75.5357142857143
"188","novelas-hispanoamericanas","combination",4000,"c",4,"dist.minmax",75.5357142857143
"190","novelas-hispanoamericanas","combination",4000,"w",2,"dist.minmax",75.5357142857143
"196","novelas-hispanoamericanas","combination",5000,"c",4,"dist.minmax",75.5357142857143
"204","novelas-hispanoamericanas","combination",7000,"c",4,"dist.minmax",75.5357142857143
"212","novelas-hispanoamericanas","combination",10000,"c",4,"dist.minmax",75.5357142857143
"3","novelas-hispanoamericanas","combination",100,"c",3,"dist.delta",75.3571428571429
"15","novelas-hispanoamericanas","combination",500,"w",3,"dist.delta",75.3571428571429
"117","novelas-hispanoamericanas","combination",4000,"w",1,"dist.eder",75.3571428571429
"126","novelas-hispanoamericanas","combination",5000,"w",2,"dist.eder",75.3571428571429
"134","novelas-hispanoamericanas","combination",7000,"w",2,"dist.eder",75.3571428571429
"142","novelas-hispanoamericanas","combination",10000,"w",2,"dist.eder",75.3571428571429
"217","novelas-hispanoamericanas","combination",100,"c",1,"dist.wurzburg",75.3571428571429
"225","novelas-hispanoamericanas","combination",500,"c",1,"dist.wurzburg",75.3571428571429
"233","novelas-hispanoamericanas","combination",1000,"c",1,"dist.wurzburg",75.3571428571429
"241","novelas-hispanoamericanas","combination",2000,"c",1,"dist.wurzburg",75.3571428571429
"249","novelas-hispanoamericanas","combination",3000,"c",1,"dist.wurzburg",75.3571428571429
"257","novelas-hispanoamericanas","combination",4000,"c",1,"dist.wurzburg",75.3571428571429
"265","novelas-hispanoamericanas","combination",5000,"c",1,"dist.wurzburg",75.3571428571429
"273","novelas-hispanoamericanas","combination",7000,"c",1,"dist.wurzburg",75.3571428571429
"281","novelas-hispanoamericanas","combination",10000,"c",1,"dist.wurzburg",75.3571428571429
"181","novelas-hispanoamericanas","combination",3000,"w",1,"dist.minmax",75.1785714285714
"149","novelas-hispanoamericanas","combination",100,"w",1,"dist.minmax",75
"6","novelas-hispanoamericanas","combination",100,"w",2,"dist.delta",74.8214285714286
"77","novelas-hispanoamericanas","combination",100,"w",1,"dist.eder",74.8214285714286
"78","novelas-hispanoamericanas","combination",100,"w",2,"dist.eder",74.8214285714286
