"","corpus","version","mfw","features","ngrams","distances","media"
"245","novelas-hispanoamericanas","fusion",2000,"w",1,"dist.wurzburg",95.8928571428571
"230","novelas-hispanoamericanas","fusion",500,"w",2,"dist.wurzburg",95
"232","novelas-hispanoamericanas","fusion",500,"w",4,"dist.wurzburg",95
"238","novelas-hispanoamericanas","fusion",1000,"w",2,"dist.wurzburg",95
"239","novelas-hispanoamericanas","fusion",1000,"w",3,"dist.wurzburg",95
"246","novelas-hispanoamericanas","fusion",2000,"w",2,"dist.wurzburg",95
"247","novelas-hispanoamericanas","fusion",2000,"w",3,"dist.wurzburg",95
"254","novelas-hispanoamericanas","fusion",3000,"w",2,"dist.wurzburg",95
"256","novelas-hispanoamericanas","fusion",3000,"w",4,"dist.wurzburg",95
"262","novelas-hispanoamericanas","fusion",4000,"w",2,"dist.wurzburg",95
"263","novelas-hispanoamericanas","fusion",4000,"w",3,"dist.wurzburg",95
"270","novelas-hispanoamericanas","fusion",5000,"w",2,"dist.wurzburg",95
"271","novelas-hispanoamericanas","fusion",5000,"w",3,"dist.wurzburg",95
"278","novelas-hispanoamericanas","fusion",7000,"w",2,"dist.wurzburg",95
"279","novelas-hispanoamericanas","fusion",7000,"w",3,"dist.wurzburg",95
"286","novelas-hispanoamericanas","fusion",10000,"w",2,"dist.wurzburg",95
"287","novelas-hispanoamericanas","fusion",10000,"w",3,"dist.wurzburg",95
"240","novelas-hispanoamericanas","fusion",1000,"w",4,"dist.wurzburg",93.75
"255","novelas-hispanoamericanas","fusion",3000,"w",3,"dist.wurzburg",93.75
"264","novelas-hispanoamericanas","fusion",4000,"w",4,"dist.wurzburg",93.75
"272","novelas-hispanoamericanas","fusion",5000,"w",4,"dist.wurzburg",93.75
"280","novelas-hispanoamericanas","fusion",7000,"w",4,"dist.wurzburg",93.75
"288","novelas-hispanoamericanas","fusion",10000,"w",4,"dist.wurzburg",93.75
"248","novelas-hispanoamericanas","fusion",2000,"w",4,"dist.wurzburg",92.3214285714286
"269","novelas-hispanoamericanas","fusion",5000,"w",1,"dist.wurzburg",91.9642857142857
"277","novelas-hispanoamericanas","fusion",7000,"w",1,"dist.wurzburg",91.9642857142857
"285","novelas-hispanoamericanas","fusion",10000,"w",1,"dist.wurzburg",91.9642857142857
"22","novelas-hispanoamericanas","fusion",1000,"w",2,"dist.delta",91.25
"94","novelas-hispanoamericanas","fusion",1000,"w",2,"dist.eder",91.25
"118","novelas-hispanoamericanas","fusion",4000,"w",2,"dist.eder",91.25
"237","novelas-hispanoamericanas","fusion",1000,"w",1,"dist.wurzburg",90.8928571428571
"253","novelas-hispanoamericanas","fusion",3000,"w",1,"dist.wurzburg",90.8928571428571
"261","novelas-hispanoamericanas","fusion",4000,"w",1,"dist.wurzburg",90.5357142857143
"102","novelas-hispanoamericanas","fusion",2000,"w",2,"dist.eder",90
"231","novelas-hispanoamericanas","fusion",500,"w",3,"dist.wurzburg",89.4642857142857
"14","novelas-hispanoamericanas","fusion",500,"w",2,"dist.delta",88.75
"221","novelas-hispanoamericanas","fusion",100,"w",1,"dist.wurzburg",88.75
"229","novelas-hispanoamericanas","fusion",500,"w",1,"dist.wurzburg",88.3928571428571
"86","novelas-hispanoamericanas","fusion",500,"w",2,"dist.eder",87.5
"30","novelas-hispanoamericanas","fusion",2000,"w",2,"dist.delta",87.3214285714286
"110","novelas-hispanoamericanas","fusion",3000,"w",2,"dist.eder",87.3214285714286
"101","novelas-hispanoamericanas","fusion",2000,"w",1,"dist.eder",87.3214285714286
"228","novelas-hispanoamericanas","fusion",500,"c",4,"dist.wurzburg",87.1428571428571
