"","corpus","version","mfw","features","ngrams","distances","media"
"237","novelas-hispanoamericanas","only-tokens",1000,"w",1,"dist.wurzburg",100
"221","novelas-hispanoamericanas","only-tokens",100,"w",1,"dist.wurzburg",97.5
"262","novelas-hispanoamericanas","only-tokens",4000,"w",2,"dist.wurzburg",97.5
"270","novelas-hispanoamericanas","only-tokens",5000,"w",2,"dist.wurzburg",97.5
"278","novelas-hispanoamericanas","only-tokens",7000,"w",2,"dist.wurzburg",97.5
"286","novelas-hispanoamericanas","only-tokens",10000,"w",2,"dist.wurzburg",97.5
"13","novelas-hispanoamericanas","only-tokens",500,"w",1,"dist.delta",96.25
"85","novelas-hispanoamericanas","only-tokens",500,"w",1,"dist.eder",95
"230","novelas-hispanoamericanas","only-tokens",500,"w",2,"dist.wurzburg",95
"246","novelas-hispanoamericanas","only-tokens",2000,"w",2,"dist.wurzburg",95
"229","novelas-hispanoamericanas","only-tokens",500,"w",1,"dist.wurzburg",92.5
"238","novelas-hispanoamericanas","only-tokens",1000,"w",2,"dist.wurzburg",92.5
"245","novelas-hispanoamericanas","only-tokens",2000,"w",1,"dist.wurzburg",92.5
"254","novelas-hispanoamericanas","only-tokens",3000,"w",2,"dist.wurzburg",92.5
"253","novelas-hispanoamericanas","only-tokens",3000,"w",1,"dist.wurzburg",91.25
"21","novelas-hispanoamericanas","only-tokens",1000,"w",1,"dist.delta",90
"93","novelas-hispanoamericanas","only-tokens",1000,"w",1,"dist.eder",90
"261","novelas-hispanoamericanas","only-tokens",4000,"w",1,"dist.wurzburg",90
"269","novelas-hispanoamericanas","only-tokens",5000,"w",1,"dist.wurzburg",90
"277","novelas-hispanoamericanas","only-tokens",7000,"w",1,"dist.wurzburg",90
"285","novelas-hispanoamericanas","only-tokens",10000,"w",1,"dist.wurzburg",90
"101","novelas-hispanoamericanas","only-tokens",2000,"w",1,"dist.eder",88.75
"165","novelas-hispanoamericanas","only-tokens",1000,"w",1,"dist.minmax",88.5714285714286
"22","novelas-hispanoamericanas","only-tokens",1000,"w",2,"dist.delta",87.5
"94","novelas-hispanoamericanas","only-tokens",1000,"w",2,"dist.eder",87.5
"263","novelas-hispanoamericanas","only-tokens",4000,"w",3,"dist.wurzburg",87.5
"173","novelas-hispanoamericanas","only-tokens",2000,"w",1,"dist.minmax",87.3214285714286
"14","novelas-hispanoamericanas","only-tokens",500,"w",2,"dist.delta",86.25
"5","novelas-hispanoamericanas","only-tokens",100,"w",1,"dist.delta",86.0714285714286
"100","novelas-hispanoamericanas","only-tokens",2000,"c",4,"dist.eder",86.0714285714286
"102","novelas-hispanoamericanas","only-tokens",2000,"w",2,"dist.eder",86.0714285714286
