"","corpus","version","mfw","features","ngrams","distances","media"
"271","Poesia-SdO","annotation",5000,"w",3,"dist.wurzburg",70.6666666666667
"279","Poesia-SdO","annotation",7000,"w",3,"dist.wurzburg",70.6666666666667
"287","Poesia-SdO","annotation",10000,"w",3,"dist.wurzburg",70.6666666666667
"263","Poesia-SdO","annotation",4000,"w",3,"dist.wurzburg",68
"220","Poesia-SdO","annotation",100,"c",4,"dist.wurzburg",67.3333333333333
"231","Poesia-SdO","annotation",500,"w",3,"dist.wurzburg",66
"230","Poesia-SdO","annotation",500,"w",2,"dist.wurzburg",66
"232","Poesia-SdO","annotation",500,"w",4,"dist.wurzburg",66
"239","Poesia-SdO","annotation",1000,"w",3,"dist.wurzburg",66
"272","Poesia-SdO","annotation",5000,"w",4,"dist.wurzburg",65.3333333333333
"280","Poesia-SdO","annotation",7000,"w",4,"dist.wurzburg",65.3333333333333
"288","Poesia-SdO","annotation",10000,"w",4,"dist.wurzburg",65.3333333333333
"264","Poesia-SdO","annotation",4000,"w",4,"dist.wurzburg",64.6666666666667
"222","Poesia-SdO","annotation",100,"w",2,"dist.wurzburg",64
"223","Poesia-SdO","annotation",100,"w",3,"dist.wurzburg",64
"228","Poesia-SdO","annotation",500,"c",4,"dist.wurzburg",63.3333333333333
"256","Poesia-SdO","annotation",3000,"w",4,"dist.wurzburg",63.3333333333333
"219","Poesia-SdO","annotation",100,"c",3,"dist.wurzburg",62.6666666666667
"236","Poesia-SdO","annotation",1000,"c",4,"dist.wurzburg",62.6666666666667
"240","Poesia-SdO","annotation",1000,"w",4,"dist.wurzburg",62.6666666666667
"255","Poesia-SdO","annotation",3000,"w",3,"dist.wurzburg",62.6666666666667
"246","Poesia-SdO","annotation",2000,"w",2,"dist.wurzburg",60.6666666666667
"247","Poesia-SdO","annotation",2000,"w",3,"dist.wurzburg",60.6666666666667
"254","Poesia-SdO","annotation",3000,"w",2,"dist.wurzburg",60.6666666666667
"262","Poesia-SdO","annotation",4000,"w",2,"dist.wurzburg",60.6666666666667
"270","Poesia-SdO","annotation",5000,"w",2,"dist.wurzburg",60.6666666666667
"278","Poesia-SdO","annotation",7000,"w",2,"dist.wurzburg",60.6666666666667
"286","Poesia-SdO","annotation",10000,"w",2,"dist.wurzburg",60.6666666666667
"244","Poesia-SdO","annotation",2000,"c",4,"dist.wurzburg",59.3333333333333
"252","Poesia-SdO","annotation",3000,"c",4,"dist.wurzburg",59.3333333333333
"260","Poesia-SdO","annotation",4000,"c",4,"dist.wurzburg",59.3333333333333
"268","Poesia-SdO","annotation",5000,"c",4,"dist.wurzburg",59.3333333333333
"276","Poesia-SdO","annotation",7000,"c",4,"dist.wurzburg",59.3333333333333
"284","Poesia-SdO","annotation",10000,"c",4,"dist.wurzburg",59.3333333333333
"248","Poesia-SdO","annotation",2000,"w",4,"dist.wurzburg",58.6666666666667
"84","Poesia-SdO","annotation",500,"c",4,"dist.eder",58
"83","Poesia-SdO","annotation",500,"c",3,"dist.eder",57.3333333333333
"91","Poesia-SdO","annotation",1000,"c",3,"dist.eder",57.3333333333333
"99","Poesia-SdO","annotation",2000,"c",3,"dist.eder",57.3333333333333
"107","Poesia-SdO","annotation",3000,"c",3,"dist.eder",57.3333333333333
"115","Poesia-SdO","annotation",4000,"c",3,"dist.eder",57.3333333333333
"123","Poesia-SdO","annotation",5000,"c",3,"dist.eder",57.3333333333333
"131","Poesia-SdO","annotation",7000,"c",3,"dist.eder",57.3333333333333
"139","Poesia-SdO","annotation",10000,"c",3,"dist.eder",57.3333333333333
"238","Poesia-SdO","annotation",1000,"w",2,"dist.wurzburg",57.3333333333333
"149","Poesia-SdO","annotation",100,"w",1,"dist.minmax",56
"157","Poesia-SdO","annotation",500,"w",1,"dist.minmax",56
"165","Poesia-SdO","annotation",1000,"w",1,"dist.minmax",56
"173","Poesia-SdO","annotation",2000,"w",1,"dist.minmax",56
"181","Poesia-SdO","annotation",3000,"w",1,"dist.minmax",56
"189","Poesia-SdO","annotation",4000,"w",1,"dist.minmax",56
"197","Poesia-SdO","annotation",5000,"w",1,"dist.minmax",56
"205","Poesia-SdO","annotation",7000,"w",1,"dist.minmax",56
"213","Poesia-SdO","annotation",10000,"w",1,"dist.minmax",56
"221","Poesia-SdO","annotation",100,"w",1,"dist.wurzburg",56
"164","Poesia-SdO","annotation",1000,"c",4,"dist.minmax",55.3333333333333
"172","Poesia-SdO","annotation",2000,"c",4,"dist.minmax",55.3333333333333
"180","Poesia-SdO","annotation",3000,"c",4,"dist.minmax",55.3333333333333
"188","Poesia-SdO","annotation",4000,"c",4,"dist.minmax",55.3333333333333
"196","Poesia-SdO","annotation",5000,"c",4,"dist.minmax",55.3333333333333
"204","Poesia-SdO","annotation",7000,"c",4,"dist.minmax",55.3333333333333
"212","Poesia-SdO","annotation",10000,"c",4,"dist.minmax",55.3333333333333
"227","Poesia-SdO","annotation",500,"c",3,"dist.wurzburg",55.3333333333333
"235","Poesia-SdO","annotation",1000,"c",3,"dist.wurzburg",55.3333333333333
"243","Poesia-SdO","annotation",2000,"c",3,"dist.wurzburg",55.3333333333333
"251","Poesia-SdO","annotation",3000,"c",3,"dist.wurzburg",55.3333333333333
"259","Poesia-SdO","annotation",4000,"c",3,"dist.wurzburg",55.3333333333333
"267","Poesia-SdO","annotation",5000,"c",3,"dist.wurzburg",55.3333333333333
"275","Poesia-SdO","annotation",7000,"c",3,"dist.wurzburg",55.3333333333333
"283","Poesia-SdO","annotation",10000,"c",3,"dist.wurzburg",55.3333333333333
"100","Poesia-SdO","annotation",2000,"c",4,"dist.eder",54.6666666666667
"108","Poesia-SdO","annotation",3000,"c",4,"dist.eder",54.6666666666667
"116","Poesia-SdO","annotation",4000,"c",4,"dist.eder",54.6666666666667
"124","Poesia-SdO","annotation",5000,"c",4,"dist.eder",54.6666666666667
"132","Poesia-SdO","annotation",7000,"c",4,"dist.eder",54.6666666666667
"140","Poesia-SdO","annotation",10000,"c",4,"dist.eder",54.6666666666667
"148","Poesia-SdO","annotation",100,"c",4,"dist.minmax",54.6666666666667
"74","Poesia-SdO","annotation",100,"c",2,"dist.eder",54.6666666666667
"156","Poesia-SdO","annotation",500,"c",4,"dist.minmax",54.6666666666667
"82","Poesia-SdO","annotation",500,"c",2,"dist.eder",54
"90","Poesia-SdO","annotation",1000,"c",2,"dist.eder",54
"98","Poesia-SdO","annotation",2000,"c",2,"dist.eder",54
"106","Poesia-SdO","annotation",3000,"c",2,"dist.eder",54
"114","Poesia-SdO","annotation",4000,"c",2,"dist.eder",54
"122","Poesia-SdO","annotation",5000,"c",2,"dist.eder",54
"130","Poesia-SdO","annotation",7000,"c",2,"dist.eder",54
"138","Poesia-SdO","annotation",10000,"c",2,"dist.eder",54
"77","Poesia-SdO","annotation",100,"w",1,"dist.eder",53.3333333333333
"11","Poesia-SdO","annotation",500,"c",3,"dist.delta",52.6666666666667
"12","Poesia-SdO","annotation",500,"c",4,"dist.delta",52.6666666666667
"19","Poesia-SdO","annotation",1000,"c",3,"dist.delta",52.6666666666667
"27","Poesia-SdO","annotation",2000,"c",3,"dist.delta",52.6666666666667
"35","Poesia-SdO","annotation",3000,"c",3,"dist.delta",52.6666666666667
"43","Poesia-SdO","annotation",4000,"c",3,"dist.delta",52.6666666666667
"51","Poesia-SdO","annotation",5000,"c",3,"dist.delta",52.6666666666667
"59","Poesia-SdO","annotation",7000,"c",3,"dist.delta",52.6666666666667
"67","Poesia-SdO","annotation",10000,"c",3,"dist.delta",52.6666666666667
"155","Poesia-SdO","annotation",500,"c",3,"dist.minmax",52.6666666666667
"163","Poesia-SdO","annotation",1000,"c",3,"dist.minmax",52.6666666666667
"171","Poesia-SdO","annotation",2000,"c",3,"dist.minmax",52.6666666666667
"179","Poesia-SdO","annotation",3000,"c",3,"dist.minmax",52.6666666666667
"187","Poesia-SdO","annotation",4000,"c",3,"dist.minmax",52.6666666666667
"195","Poesia-SdO","annotation",5000,"c",3,"dist.minmax",52.6666666666667
