"","corpus","version","mfw","features","ngrams","distances","media"
"125","Poesia-SdO","combination",5000,"w",1,"dist.eder",85.3333333333333
"133","Poesia-SdO","combination",7000,"w",1,"dist.eder",85.3333333333333
"141","Poesia-SdO","combination",10000,"w",1,"dist.eder",85.3333333333333
"117","Poesia-SdO","combination",4000,"w",1,"dist.eder",84
"261","Poesia-SdO","combination",4000,"w",1,"dist.wurzburg",80.6666666666667
"269","Poesia-SdO","combination",5000,"w",1,"dist.wurzburg",80.6666666666667
"277","Poesia-SdO","combination",7000,"w",1,"dist.wurzburg",80.6666666666667
"285","Poesia-SdO","combination",10000,"w",1,"dist.wurzburg",80.6666666666667
"37","Poesia-SdO","combination",3000,"w",1,"dist.delta",80
"29","Poesia-SdO","combination",2000,"w",1,"dist.delta",78.6666666666667
"229","Poesia-SdO","combination",500,"w",1,"dist.wurzburg",78.6666666666667
"253","Poesia-SdO","combination",3000,"w",1,"dist.wurzburg",78.6666666666667
"245","Poesia-SdO","combination",2000,"w",1,"dist.wurzburg",76.6666666666667
"45","Poesia-SdO","combination",4000,"w",1,"dist.delta",76.6666666666667
"109","Poesia-SdO","combination",3000,"w",1,"dist.eder",76.6666666666667
"262","Poesia-SdO","combination",4000,"w",2,"dist.wurzburg",76.6666666666667
"270","Poesia-SdO","combination",5000,"w",2,"dist.wurzburg",76.6666666666667
"278","Poesia-SdO","combination",7000,"w",2,"dist.wurzburg",76.6666666666667
"286","Poesia-SdO","combination",10000,"w",2,"dist.wurzburg",76.6666666666667
"260","Poesia-SdO","combination",4000,"c",4,"dist.wurzburg",76
"252","Poesia-SdO","combination",3000,"c",4,"dist.wurzburg",76
"54","Poesia-SdO","combination",5000,"w",2,"dist.delta",75.3333333333333
"62","Poesia-SdO","combination",7000,"w",2,"dist.delta",75.3333333333333
"70","Poesia-SdO","combination",10000,"w",2,"dist.delta",75.3333333333333
"227","Poesia-SdO","combination",500,"c",3,"dist.wurzburg",75.3333333333333
"235","Poesia-SdO","combination",1000,"c",3,"dist.wurzburg",75.3333333333333
"230","Poesia-SdO","combination",500,"w",2,"dist.wurzburg",75.3333333333333
"254","Poesia-SdO","combination",3000,"w",2,"dist.wurzburg",74.6666666666667
"267","Poesia-SdO","combination",5000,"c",3,"dist.wurzburg",74.6666666666667
"268","Poesia-SdO","combination",5000,"c",4,"dist.wurzburg",74.6666666666667
"275","Poesia-SdO","combination",7000,"c",3,"dist.wurzburg",74.6666666666667
