"","corpus","version","mfw","features","ngrams","distances","media"
"269","Poesia-SdO","fusion",5000,"w",1,"dist.wurzburg",84.6666666666667
"277","Poesia-SdO","fusion",7000,"w",1,"dist.wurzburg",84.6666666666667
"285","Poesia-SdO","fusion",10000,"w",1,"dist.wurzburg",84.6666666666667
"117","Poesia-SdO","fusion",4000,"w",1,"dist.eder",83.3333333333333
"125","Poesia-SdO","fusion",5000,"w",1,"dist.eder",83.3333333333333
"133","Poesia-SdO","fusion",7000,"w",1,"dist.eder",83.3333333333333
"141","Poesia-SdO","fusion",10000,"w",1,"dist.eder",83.3333333333333
"261","Poesia-SdO","fusion",4000,"w",1,"dist.wurzburg",82
"253","Poesia-SdO","fusion",3000,"w",1,"dist.wurzburg",79.3333333333333
"37","Poesia-SdO","fusion",3000,"w",1,"dist.delta",78.6666666666667
"109","Poesia-SdO","fusion",3000,"w",1,"dist.eder",77.3333333333333
"260","Poesia-SdO","fusion",4000,"c",4,"dist.wurzburg",77.3333333333333
"29","Poesia-SdO","fusion",2000,"w",1,"dist.delta",77.3333333333333
"45","Poesia-SdO","fusion",4000,"w",1,"dist.delta",76.6666666666667
"252","Poesia-SdO","fusion",3000,"c",4,"dist.wurzburg",76.6666666666667
"267","Poesia-SdO","fusion",5000,"c",3,"dist.wurzburg",76.6666666666667
"275","Poesia-SdO","fusion",7000,"c",3,"dist.wurzburg",76.6666666666667
"283","Poesia-SdO","fusion",10000,"c",3,"dist.wurzburg",76.6666666666667
"270","Poesia-SdO","fusion",5000,"w",2,"dist.wurzburg",76
"278","Poesia-SdO","fusion",7000,"w",2,"dist.wurzburg",76
"286","Poesia-SdO","fusion",10000,"w",2,"dist.wurzburg",76
"262","Poesia-SdO","fusion",4000,"w",2,"dist.wurzburg",75.3333333333333
"268","Poesia-SdO","fusion",5000,"c",4,"dist.wurzburg",75.3333333333333
"276","Poesia-SdO","fusion",7000,"c",4,"dist.wurzburg",75.3333333333333
"284","Poesia-SdO","fusion",10000,"c",4,"dist.wurzburg",75.3333333333333
"229","Poesia-SdO","fusion",500,"w",1,"dist.wurzburg",74.6666666666667
"245","Poesia-SdO","fusion",2000,"w",1,"dist.wurzburg",74.6666666666667
"54","Poesia-SdO","fusion",5000,"w",2,"dist.delta",74.6666666666667
"62","Poesia-SdO","fusion",7000,"w",2,"dist.delta",74.6666666666667
