"","corpus","version","mfw","features","ngrams","distances","media"
"117","Poesia-SdO","only-tokens",4000,"w",1,"dist.eder",83.3333333333333
"269","Poesia-SdO","only-tokens",5000,"w",1,"dist.wurzburg",82
"277","Poesia-SdO","only-tokens",7000,"w",1,"dist.wurzburg",82
"285","Poesia-SdO","only-tokens",10000,"w",1,"dist.wurzburg",82
"125","Poesia-SdO","only-tokens",5000,"w",1,"dist.eder",82
"133","Poesia-SdO","only-tokens",7000,"w",1,"dist.eder",82
"141","Poesia-SdO","only-tokens",10000,"w",1,"dist.eder",82
"109","Poesia-SdO","only-tokens",3000,"w",1,"dist.eder",80.6666666666667
"261","Poesia-SdO","only-tokens",4000,"w",1,"dist.wurzburg",79.3333333333333
"267","Poesia-SdO","only-tokens",5000,"c",3,"dist.wurzburg",78
"275","Poesia-SdO","only-tokens",7000,"c",3,"dist.wurzburg",78
"283","Poesia-SdO","only-tokens",10000,"c",3,"dist.wurzburg",78
"29","Poesia-SdO","only-tokens",2000,"w",1,"dist.delta",77.3333333333333
"253","Poesia-SdO","only-tokens",3000,"w",1,"dist.wurzburg",76
"227","Poesia-SdO","only-tokens",500,"c",3,"dist.wurzburg",76
"235","Poesia-SdO","only-tokens",1000,"c",3,"dist.wurzburg",75.3333333333333
"45","Poesia-SdO","only-tokens",4000,"w",1,"dist.delta",74
"37","Poesia-SdO","only-tokens",3000,"w",1,"dist.delta",73.3333333333333
"245","Poesia-SdO","only-tokens",2000,"w",1,"dist.wurzburg",73.3333333333333
"262","Poesia-SdO","only-tokens",4000,"w",2,"dist.wurzburg",72.6666666666667
"229","Poesia-SdO","only-tokens",500,"w",1,"dist.wurzburg",72
"236","Poesia-SdO","only-tokens",1000,"c",4,"dist.wurzburg",72
"243","Poesia-SdO","only-tokens",2000,"c",3,"dist.wurzburg",72
"251","Poesia-SdO","only-tokens",3000,"c",3,"dist.wurzburg",72
"228","Poesia-SdO","only-tokens",500,"c",4,"dist.wurzburg",71.3333333333333
"237","Poesia-SdO","only-tokens",1000,"w",1,"dist.wurzburg",70.6666666666667
"260","Poesia-SdO","only-tokens",4000,"c",4,"dist.wurzburg",70.6666666666667
"268","Poesia-SdO","only-tokens",5000,"c",4,"dist.wurzburg",70.6666666666667
"270","Poesia-SdO","only-tokens",5000,"w",2,"dist.wurzburg",70.6666666666667
"276","Poesia-SdO","only-tokens",7000,"c",4,"dist.wurzburg",70.6666666666667
"278","Poesia-SdO","only-tokens",7000,"w",2,"dist.wurzburg",70.6666666666667
"284","Poesia-SdO","only-tokens",10000,"c",4,"dist.wurzburg",70.6666666666667
"286","Poesia-SdO","only-tokens",10000,"w",2,"dist.wurzburg",70.6666666666667
"246","Poesia-SdO","only-tokens",2000,"w",2,"dist.wurzburg",70
"252","Poesia-SdO","only-tokens",3000,"c",4,"dist.wurzburg",70
"259","Poesia-SdO","only-tokens",4000,"c",3,"dist.wurzburg",69.3333333333333
"244","Poesia-SdO","only-tokens",2000,"c",4,"dist.wurzburg",68.6666666666667
"53","Poesia-SdO","only-tokens",5000,"w",1,"dist.delta",68.6666666666667
"61","Poesia-SdO","only-tokens",7000,"w",1,"dist.delta",68.6666666666667
"69","Poesia-SdO","only-tokens",10000,"w",1,"dist.delta",68.6666666666667
"101","Poesia-SdO","only-tokens",2000,"w",1,"dist.eder",68.6666666666667
"218","Poesia-SdO","only-tokens",100,"c",2,"dist.wurzburg",68.6666666666667
"197","Poesia-SdO","only-tokens",5000,"w",1,"dist.minmax",68
"205","Poesia-SdO","only-tokens",7000,"w",1,"dist.minmax",68
"213","Poesia-SdO","only-tokens",10000,"w",1,"dist.minmax",68
"226","Poesia-SdO","only-tokens",500,"c",2,"dist.wurzburg",68
"254","Poesia-SdO","only-tokens",3000,"w",2,"dist.wurzburg",68
"234","Poesia-SdO","only-tokens",1000,"c",2,"dist.wurzburg",66.6666666666667
