"","corpus","version","mfw","features","ngrams","distances","media"
"28","prosa-SdO","annotation",2000,"c",4,"dist.delta",71.6666666666667
"36","prosa-SdO","annotation",3000,"c",4,"dist.delta",71.6666666666667
"44","prosa-SdO","annotation",4000,"c",4,"dist.delta",71.6666666666667
"52","prosa-SdO","annotation",5000,"c",4,"dist.delta",71.6666666666667
"60","prosa-SdO","annotation",7000,"c",4,"dist.delta",71.6666666666667
"68","prosa-SdO","annotation",10000,"c",4,"dist.delta",71.6666666666667
"5","prosa-SdO","annotation",100,"w",1,"dist.delta",68.3333333333333
"11","prosa-SdO","annotation",500,"c",3,"dist.delta",68.3333333333333
"19","prosa-SdO","annotation",1000,"c",3,"dist.delta",68.3333333333333
"27","prosa-SdO","annotation",2000,"c",3,"dist.delta",68.3333333333333
"35","prosa-SdO","annotation",3000,"c",3,"dist.delta",68.3333333333333
"43","prosa-SdO","annotation",4000,"c",3,"dist.delta",68.3333333333333
"51","prosa-SdO","annotation",5000,"c",3,"dist.delta",68.3333333333333
"59","prosa-SdO","annotation",7000,"c",3,"dist.delta",68.3333333333333
"67","prosa-SdO","annotation",10000,"c",3,"dist.delta",68.3333333333333
"231","prosa-SdO","annotation",500,"w",3,"dist.wurzburg",68.3333333333333
"244","prosa-SdO","annotation",2000,"c",4,"dist.wurzburg",68.3333333333333
"252","prosa-SdO","annotation",3000,"c",4,"dist.wurzburg",68.3333333333333
"260","prosa-SdO","annotation",4000,"c",4,"dist.wurzburg",68.3333333333333
"268","prosa-SdO","annotation",5000,"c",4,"dist.wurzburg",68.3333333333333
"276","prosa-SdO","annotation",7000,"c",4,"dist.wurzburg",68.3333333333333
"284","prosa-SdO","annotation",10000,"c",4,"dist.wurzburg",68.3333333333333
"38","prosa-SdO","annotation",3000,"w",2,"dist.delta",65.8333333333333
"46","prosa-SdO","annotation",4000,"w",2,"dist.delta",65.8333333333333
"54","prosa-SdO","annotation",5000,"w",2,"dist.delta",65.8333333333333
"62","prosa-SdO","annotation",7000,"w",2,"dist.delta",65.8333333333333
"70","prosa-SdO","annotation",10000,"w",2,"dist.delta",65.8333333333333
"1","prosa-SdO","annotation",100,"c",1,"dist.delta",65
"2","prosa-SdO","annotation",100,"c",2,"dist.delta",65
"9","prosa-SdO","annotation",500,"c",1,"dist.delta",65
"10","prosa-SdO","annotation",500,"c",2,"dist.delta",65
"17","prosa-SdO","annotation",1000,"c",1,"dist.delta",65
"18","prosa-SdO","annotation",1000,"c",2,"dist.delta",65
"20","prosa-SdO","annotation",1000,"c",4,"dist.delta",65
"25","prosa-SdO","annotation",2000,"c",1,"dist.delta",65
"26","prosa-SdO","annotation",2000,"c",2,"dist.delta",65
"30","prosa-SdO","annotation",2000,"w",2,"dist.delta",65
"33","prosa-SdO","annotation",3000,"c",1,"dist.delta",65
"34","prosa-SdO","annotation",3000,"c",2,"dist.delta",65
"41","prosa-SdO","annotation",4000,"c",1,"dist.delta",65
"42","prosa-SdO","annotation",4000,"c",2,"dist.delta",65
"49","prosa-SdO","annotation",5000,"c",1,"dist.delta",65
"50","prosa-SdO","annotation",5000,"c",2,"dist.delta",65
"55","prosa-SdO","annotation",5000,"w",3,"dist.delta",65
"57","prosa-SdO","annotation",7000,"c",1,"dist.delta",65
"58","prosa-SdO","annotation",7000,"c",2,"dist.delta",65
"63","prosa-SdO","annotation",7000,"w",3,"dist.delta",65
"65","prosa-SdO","annotation",10000,"c",1,"dist.delta",65
"66","prosa-SdO","annotation",10000,"c",2,"dist.delta",65
"71","prosa-SdO","annotation",10000,"w",3,"dist.delta",65
"73","prosa-SdO","annotation",100,"c",1,"dist.eder",65
"74","prosa-SdO","annotation",100,"c",2,"dist.eder",65
"81","prosa-SdO","annotation",500,"c",1,"dist.eder",65
