"","corpus","version","mfw","features","ngrams","distances","media"
"37","prosa-SdO","combination",3000,"w",1,"dist.delta",80
"21","prosa-SdO","combination",1000,"w",1,"dist.delta",74.1666666666667
"29","prosa-SdO","combination",2000,"w",1,"dist.delta",74.1666666666667
"101","prosa-SdO","combination",2000,"w",1,"dist.eder",74.1666666666667
"109","prosa-SdO","combination",3000,"w",1,"dist.eder",74.1666666666667
"117","prosa-SdO","combination",4000,"w",1,"dist.eder",74.1666666666667
"125","prosa-SdO","combination",5000,"w",1,"dist.eder",74.1666666666667
"133","prosa-SdO","combination",7000,"w",1,"dist.eder",74.1666666666667
"141","prosa-SdO","combination",10000,"w",1,"dist.eder",74.1666666666667
"6","prosa-SdO","combination",100,"w",2,"dist.delta",65
"7","prosa-SdO","combination",100,"w",3,"dist.delta",65
"8","prosa-SdO","combination",100,"w",4,"dist.delta",65
"13","prosa-SdO","combination",500,"w",1,"dist.delta",65
"14","prosa-SdO","combination",500,"w",2,"dist.delta",65
"15","prosa-SdO","combination",500,"w",3,"dist.delta",65
"16","prosa-SdO","combination",500,"w",4,"dist.delta",65
"22","prosa-SdO","combination",1000,"w",2,"dist.delta",65
"23","prosa-SdO","combination",1000,"w",3,"dist.delta",65
"24","prosa-SdO","combination",1000,"w",4,"dist.delta",65
"27","prosa-SdO","combination",2000,"c",3,"dist.delta",65
"30","prosa-SdO","combination",2000,"w",2,"dist.delta",65
"31","prosa-SdO","combination",2000,"w",3,"dist.delta",65
"32","prosa-SdO","combination",2000,"w",4,"dist.delta",65
"35","prosa-SdO","combination",3000,"c",3,"dist.delta",65
"36","prosa-SdO","combination",3000,"c",4,"dist.delta",65
"38","prosa-SdO","combination",3000,"w",2,"dist.delta",65
"39","prosa-SdO","combination",3000,"w",3,"dist.delta",65
"43","prosa-SdO","combination",4000,"c",3,"dist.delta",65
"44","prosa-SdO","combination",4000,"c",4,"dist.delta",65
"45","prosa-SdO","combination",4000,"w",1,"dist.delta",65
"46","prosa-SdO","combination",4000,"w",2,"dist.delta",65
"47","prosa-SdO","combination",4000,"w",3,"dist.delta",65
"52","prosa-SdO","combination",5000,"c",4,"dist.delta",65
"53","prosa-SdO","combination",5000,"w",1,"dist.delta",65
"54","prosa-SdO","combination",5000,"w",2,"dist.delta",65
"55","prosa-SdO","combination",5000,"w",3,"dist.delta",65
"60","prosa-SdO","combination",7000,"c",4,"dist.delta",65
"61","prosa-SdO","combination",7000,"w",1,"dist.delta",65
"62","prosa-SdO","combination",7000,"w",2,"dist.delta",65
"63","prosa-SdO","combination",7000,"w",3,"dist.delta",65
"68","prosa-SdO","combination",10000,"c",4,"dist.delta",65
"69","prosa-SdO","combination",10000,"w",1,"dist.delta",65
"70","prosa-SdO","combination",10000,"w",2,"dist.delta",65
"71","prosa-SdO","combination",10000,"w",3,"dist.delta",65
"78","prosa-SdO","combination",100,"w",2,"dist.eder",65
"79","prosa-SdO","combination",100,"w",3,"dist.eder",65
"86","prosa-SdO","combination",500,"w",2,"dist.eder",65
"87","prosa-SdO","combination",500,"w",3,"dist.eder",65
"88","prosa-SdO","combination",500,"w",4,"dist.eder",65
"93","prosa-SdO","combination",1000,"w",1,"dist.eder",65
"94","prosa-SdO","combination",1000,"w",2,"dist.eder",65
"95","prosa-SdO","combination",1000,"w",3,"dist.eder",65
"96","prosa-SdO","combination",1000,"w",4,"dist.eder",65
"102","prosa-SdO","combination",2000,"w",2,"dist.eder",65
"103","prosa-SdO","combination",2000,"w",3,"dist.eder",65
"104","prosa-SdO","combination",2000,"w",4,"dist.eder",65
"107","prosa-SdO","combination",3000,"c",3,"dist.eder",65
"110","prosa-SdO","combination",3000,"w",2,"dist.eder",65
"111","prosa-SdO","combination",3000,"w",3,"dist.eder",65
"112","prosa-SdO","combination",3000,"w",4,"dist.eder",65
"115","prosa-SdO","combination",4000,"c",3,"dist.eder",65
"116","prosa-SdO","combination",4000,"c",4,"dist.eder",65
"118","prosa-SdO","combination",4000,"w",2,"dist.eder",65
"119","prosa-SdO","combination",4000,"w",3,"dist.eder",65
"123","prosa-SdO","combination",5000,"c",3,"dist.eder",65
"124","prosa-SdO","combination",5000,"c",4,"dist.eder",65
"126","prosa-SdO","combination",5000,"w",2,"dist.eder",65
"127","prosa-SdO","combination",5000,"w",3,"dist.eder",65
"131","prosa-SdO","combination",7000,"c",3,"dist.eder",65
"132","prosa-SdO","combination",7000,"c",4,"dist.eder",65
"134","prosa-SdO","combination",7000,"w",2,"dist.eder",65
"135","prosa-SdO","combination",7000,"w",3,"dist.eder",65
"139","prosa-SdO","combination",10000,"c",3,"dist.eder",65
"140","prosa-SdO","combination",10000,"c",4,"dist.eder",65
"142","prosa-SdO","combination",10000,"w",2,"dist.eder",65
"143","prosa-SdO","combination",10000,"w",3,"dist.eder",65
"145","prosa-SdO","combination",100,"c",1,"dist.minmax",65
"153","prosa-SdO","combination",500,"c",1,"dist.minmax",65
"161","prosa-SdO","combination",1000,"c",1,"dist.minmax",65
"169","prosa-SdO","combination",2000,"c",1,"dist.minmax",65
"177","prosa-SdO","combination",3000,"c",1,"dist.minmax",65
"185","prosa-SdO","combination",4000,"c",1,"dist.minmax",65
"193","prosa-SdO","combination",5000,"c",1,"dist.minmax",65
"201","prosa-SdO","combination",7000,"c",1,"dist.minmax",65
"209","prosa-SdO","combination",10000,"c",1,"dist.minmax",65
"218","prosa-SdO","combination",100,"c",2,"dist.wurzburg",65
"219","prosa-SdO","combination",100,"c",3,"dist.wurzburg",65
"220","prosa-SdO","combination",100,"c",4,"dist.wurzburg",65
"221","prosa-SdO","combination",100,"w",1,"dist.wurzburg",65
"222","prosa-SdO","combination",100,"w",2,"dist.wurzburg",65
"223","prosa-SdO","combination",100,"w",3,"dist.wurzburg",65
"226","prosa-SdO","combination",500,"c",2,"dist.wurzburg",65
"227","prosa-SdO","combination",500,"c",3,"dist.wurzburg",65
"228","prosa-SdO","combination",500,"c",4,"dist.wurzburg",65
"229","prosa-SdO","combination",500,"w",1,"dist.wurzburg",65
"230","prosa-SdO","combination",500,"w",2,"dist.wurzburg",65
"231","prosa-SdO","combination",500,"w",3,"dist.wurzburg",65
"234","prosa-SdO","combination",1000,"c",2,"dist.wurzburg",65
"235","prosa-SdO","combination",1000,"c",3,"dist.wurzburg",65
"236","prosa-SdO","combination",1000,"c",4,"dist.wurzburg",65
"237","prosa-SdO","combination",1000,"w",1,"dist.wurzburg",65
"238","prosa-SdO","combination",1000,"w",2,"dist.wurzburg",65
"239","prosa-SdO","combination",1000,"w",3,"dist.wurzburg",65
"240","prosa-SdO","combination",1000,"w",4,"dist.wurzburg",65
"242","prosa-SdO","combination",2000,"c",2,"dist.wurzburg",65
"243","prosa-SdO","combination",2000,"c",3,"dist.wurzburg",65
"244","prosa-SdO","combination",2000,"c",4,"dist.wurzburg",65
"245","prosa-SdO","combination",2000,"w",1,"dist.wurzburg",65
"246","prosa-SdO","combination",2000,"w",2,"dist.wurzburg",65
"247","prosa-SdO","combination",2000,"w",3,"dist.wurzburg",65
"248","prosa-SdO","combination",2000,"w",4,"dist.wurzburg",65
"250","prosa-SdO","combination",3000,"c",2,"dist.wurzburg",65
"251","prosa-SdO","combination",3000,"c",3,"dist.wurzburg",65
"252","prosa-SdO","combination",3000,"c",4,"dist.wurzburg",65
"253","prosa-SdO","combination",3000,"w",1,"dist.wurzburg",65
"254","prosa-SdO","combination",3000,"w",2,"dist.wurzburg",65
"255","prosa-SdO","combination",3000,"w",3,"dist.wurzburg",65
"256","prosa-SdO","combination",3000,"w",4,"dist.wurzburg",65
"258","prosa-SdO","combination",4000,"c",2,"dist.wurzburg",65
"259","prosa-SdO","combination",4000,"c",3,"dist.wurzburg",65
"260","prosa-SdO","combination",4000,"c",4,"dist.wurzburg",65
"261","prosa-SdO","combination",4000,"w",1,"dist.wurzburg",65
"262","prosa-SdO","combination",4000,"w",2,"dist.wurzburg",65
"263","prosa-SdO","combination",4000,"w",3,"dist.wurzburg",65
