"","corpus","version","mfw","features","ngrams","distances","media"
"37","prosa-SdO","fusion",3000,"w",1,"dist.delta",74.1666666666667
"16","prosa-SdO","fusion",500,"w",4,"dist.delta",73.3333333333333
"29","prosa-SdO","fusion",2000,"w",1,"dist.delta",71.6666666666667
"45","prosa-SdO","fusion",4000,"w",1,"dist.delta",71.6666666666667
"46","prosa-SdO","fusion",4000,"w",2,"dist.delta",71.6666666666667
"47","prosa-SdO","fusion",4000,"w",3,"dist.delta",71.6666666666667
"54","prosa-SdO","fusion",5000,"w",2,"dist.delta",71.6666666666667
"55","prosa-SdO","fusion",5000,"w",3,"dist.delta",71.6666666666667
"62","prosa-SdO","fusion",7000,"w",2,"dist.delta",71.6666666666667
"63","prosa-SdO","fusion",7000,"w",3,"dist.delta",71.6666666666667
"70","prosa-SdO","fusion",10000,"w",2,"dist.delta",71.6666666666667
"71","prosa-SdO","fusion",10000,"w",3,"dist.delta",71.6666666666667
"109","prosa-SdO","fusion",3000,"w",1,"dist.eder",71.6666666666667
"117","prosa-SdO","fusion",4000,"w",1,"dist.eder",71.6666666666667
"125","prosa-SdO","fusion",5000,"w",1,"dist.eder",71.6666666666667
"133","prosa-SdO","fusion",7000,"w",1,"dist.eder",71.6666666666667
"141","prosa-SdO","fusion",10000,"w",1,"dist.eder",71.6666666666667
"223","prosa-SdO","fusion",100,"w",3,"dist.wurzburg",71.6666666666667
"226","prosa-SdO","fusion",500,"c",2,"dist.wurzburg",71.6666666666667
"231","prosa-SdO","fusion",500,"w",3,"dist.wurzburg",71.6666666666667
"234","prosa-SdO","fusion",1000,"c",2,"dist.wurzburg",71.6666666666667
"242","prosa-SdO","fusion",2000,"c",2,"dist.wurzburg",71.6666666666667
"245","prosa-SdO","fusion",2000,"w",1,"dist.wurzburg",71.6666666666667
"247","prosa-SdO","fusion",2000,"w",3,"dist.wurzburg",71.6666666666667
"250","prosa-SdO","fusion",3000,"c",2,"dist.wurzburg",71.6666666666667
"251","prosa-SdO","fusion",3000,"c",3,"dist.wurzburg",71.6666666666667
"253","prosa-SdO","fusion",3000,"w",1,"dist.wurzburg",71.6666666666667
"258","prosa-SdO","fusion",4000,"c",2,"dist.wurzburg",71.6666666666667
"259","prosa-SdO","fusion",4000,"c",3,"dist.wurzburg",71.6666666666667
"261","prosa-SdO","fusion",4000,"w",1,"dist.wurzburg",71.6666666666667
"262","prosa-SdO","fusion",4000,"w",2,"dist.wurzburg",71.6666666666667
"263","prosa-SdO","fusion",4000,"w",3,"dist.wurzburg",71.6666666666667
"266","prosa-SdO","fusion",5000,"c",2,"dist.wurzburg",71.6666666666667
"267","prosa-SdO","fusion",5000,"c",3,"dist.wurzburg",71.6666666666667
"269","prosa-SdO","fusion",5000,"w",1,"dist.wurzburg",71.6666666666667
"270","prosa-SdO","fusion",5000,"w",2,"dist.wurzburg",71.6666666666667
"271","prosa-SdO","fusion",5000,"w",3,"dist.wurzburg",71.6666666666667
"274","prosa-SdO","fusion",7000,"c",2,"dist.wurzburg",71.6666666666667
"275","prosa-SdO","fusion",7000,"c",3,"dist.wurzburg",71.6666666666667
"277","prosa-SdO","fusion",7000,"w",1,"dist.wurzburg",71.6666666666667
"278","prosa-SdO","fusion",7000,"w",2,"dist.wurzburg",71.6666666666667
"279","prosa-SdO","fusion",7000,"w",3,"dist.wurzburg",71.6666666666667
"282","prosa-SdO","fusion",10000,"c",2,"dist.wurzburg",71.6666666666667
"283","prosa-SdO","fusion",10000,"c",3,"dist.wurzburg",71.6666666666667
"285","prosa-SdO","fusion",10000,"w",1,"dist.wurzburg",71.6666666666667
"286","prosa-SdO","fusion",10000,"w",2,"dist.wurzburg",71.6666666666667
"287","prosa-SdO","fusion",10000,"w",3,"dist.wurzburg",71.6666666666667
"160","prosa-SdO","fusion",500,"w",4,"dist.minmax",70
"168","prosa-SdO","fusion",1000,"w",4,"dist.minmax",70
"176","prosa-SdO","fusion",2000,"w",4,"dist.minmax",70
"184","prosa-SdO","fusion",3000,"w",4,"dist.minmax",70
"192","prosa-SdO","fusion",4000,"w",4,"dist.minmax",70
"200","prosa-SdO","fusion",5000,"w",4,"dist.minmax",70
"208","prosa-SdO","fusion",7000,"w",4,"dist.minmax",70
"216","prosa-SdO","fusion",10000,"w",4,"dist.minmax",70
"6","prosa-SdO","fusion",100,"w",2,"dist.delta",68.3333333333333
"7","prosa-SdO","fusion",100,"w",3,"dist.delta",68.3333333333333
"8","prosa-SdO","fusion",100,"w",4,"dist.delta",68.3333333333333
"13","prosa-SdO","fusion",500,"w",1,"dist.delta",68.3333333333333
"14","prosa-SdO","fusion",500,"w",2,"dist.delta",68.3333333333333
"15","prosa-SdO","fusion",500,"w",3,"dist.delta",68.3333333333333
"21","prosa-SdO","fusion",1000,"w",1,"dist.delta",68.3333333333333
"22","prosa-SdO","fusion",1000,"w",2,"dist.delta",68.3333333333333
"23","prosa-SdO","fusion",1000,"w",3,"dist.delta",68.3333333333333
"24","prosa-SdO","fusion",1000,"w",4,"dist.delta",68.3333333333333
"27","prosa-SdO","fusion",2000,"c",3,"dist.delta",68.3333333333333
"30","prosa-SdO","fusion",2000,"w",2,"dist.delta",68.3333333333333
"31","prosa-SdO","fusion",2000,"w",3,"dist.delta",68.3333333333333
"32","prosa-SdO","fusion",2000,"w",4,"dist.delta",68.3333333333333
"35","prosa-SdO","fusion",3000,"c",3,"dist.delta",68.3333333333333
"36","prosa-SdO","fusion",3000,"c",4,"dist.delta",68.3333333333333
"38","prosa-SdO","fusion",3000,"w",2,"dist.delta",68.3333333333333
"39","prosa-SdO","fusion",3000,"w",3,"dist.delta",68.3333333333333
"43","prosa-SdO","fusion",4000,"c",3,"dist.delta",68.3333333333333
"44","prosa-SdO","fusion",4000,"c",4,"dist.delta",68.3333333333333
"52","prosa-SdO","fusion",5000,"c",4,"dist.delta",68.3333333333333
"60","prosa-SdO","fusion",7000,"c",4,"dist.delta",68.3333333333333
"68","prosa-SdO","fusion",10000,"c",4,"dist.delta",68.3333333333333
"79","prosa-SdO","fusion",100,"w",3,"dist.eder",68.3333333333333
"86","prosa-SdO","fusion",500,"w",2,"dist.eder",68.3333333333333
"87","prosa-SdO","fusion",500,"w",3,"dist.eder",68.3333333333333
"88","prosa-SdO","fusion",500,"w",4,"dist.eder",68.3333333333333
"93","prosa-SdO","fusion",1000,"w",1,"dist.eder",68.3333333333333
"94","prosa-SdO","fusion",1000,"w",2,"dist.eder",68.3333333333333
"95","prosa-SdO","fusion",1000,"w",3,"dist.eder",68.3333333333333
"96","prosa-SdO","fusion",1000,"w",4,"dist.eder",68.3333333333333
"101","prosa-SdO","fusion",2000,"w",1,"dist.eder",68.3333333333333
"102","prosa-SdO","fusion",2000,"w",2,"dist.eder",68.3333333333333
"103","prosa-SdO","fusion",2000,"w",3,"dist.eder",68.3333333333333
"104","prosa-SdO","fusion",2000,"w",4,"dist.eder",68.3333333333333
"107","prosa-SdO","fusion",3000,"c",3,"dist.eder",68.3333333333333
"110","prosa-SdO","fusion",3000,"w",2,"dist.eder",68.3333333333333
"111","prosa-SdO","fusion",3000,"w",3,"dist.eder",68.3333333333333
"112","prosa-SdO","fusion",3000,"w",4,"dist.eder",68.3333333333333
"115","prosa-SdO","fusion",4000,"c",3,"dist.eder",68.3333333333333
