"","corpus","version","mfw","features","ngrams","distances","media"
"226","prosa-SdO","only-tokens",500,"c",2,"dist.wurzburg",83.3333333333333
"152","prosa-SdO","only-tokens",100,"w",4,"dist.minmax",82.5
"37","prosa-SdO","only-tokens",3000,"w",1,"dist.delta",80
"29","prosa-SdO","only-tokens",2000,"w",1,"dist.delta",76.6666666666667
"45","prosa-SdO","only-tokens",4000,"w",1,"dist.delta",76.6666666666667
"125","prosa-SdO","only-tokens",5000,"w",1,"dist.eder",76.6666666666667
"133","prosa-SdO","only-tokens",7000,"w",1,"dist.eder",76.6666666666667
"141","prosa-SdO","only-tokens",10000,"w",1,"dist.eder",76.6666666666667
"243","prosa-SdO","only-tokens",2000,"c",3,"dist.wurzburg",76.6666666666667
"245","prosa-SdO","only-tokens",2000,"w",1,"dist.wurzburg",76.6666666666667
"246","prosa-SdO","only-tokens",2000,"w",2,"dist.wurzburg",76.6666666666667
"251","prosa-SdO","only-tokens",3000,"c",3,"dist.wurzburg",76.6666666666667
"252","prosa-SdO","only-tokens",3000,"c",4,"dist.wurzburg",76.6666666666667
"253","prosa-SdO","only-tokens",3000,"w",1,"dist.wurzburg",76.6666666666667
"254","prosa-SdO","only-tokens",3000,"w",2,"dist.wurzburg",76.6666666666667
"260","prosa-SdO","only-tokens",4000,"c",4,"dist.wurzburg",76.6666666666667
"261","prosa-SdO","only-tokens",4000,"w",1,"dist.wurzburg",76.6666666666667
"262","prosa-SdO","only-tokens",4000,"w",2,"dist.wurzburg",76.6666666666667
"268","prosa-SdO","only-tokens",5000,"c",4,"dist.wurzburg",76.6666666666667
"269","prosa-SdO","only-tokens",5000,"w",1,"dist.wurzburg",76.6666666666667
"270","prosa-SdO","only-tokens",5000,"w",2,"dist.wurzburg",76.6666666666667
"276","prosa-SdO","only-tokens",7000,"c",4,"dist.wurzburg",76.6666666666667
"277","prosa-SdO","only-tokens",7000,"w",1,"dist.wurzburg",76.6666666666667
"278","prosa-SdO","only-tokens",7000,"w",2,"dist.wurzburg",76.6666666666667
"284","prosa-SdO","only-tokens",10000,"c",4,"dist.wurzburg",76.6666666666667
"285","prosa-SdO","only-tokens",10000,"w",1,"dist.wurzburg",76.6666666666667
"286","prosa-SdO","only-tokens",10000,"w",2,"dist.wurzburg",76.6666666666667
"7","prosa-SdO","only-tokens",100,"w",3,"dist.delta",73.3333333333333
"13","prosa-SdO","only-tokens",500,"w",1,"dist.delta",73.3333333333333
"20","prosa-SdO","only-tokens",1000,"c",4,"dist.delta",73.3333333333333
"21","prosa-SdO","only-tokens",1000,"w",1,"dist.delta",73.3333333333333
"27","prosa-SdO","only-tokens",2000,"c",3,"dist.delta",73.3333333333333
"36","prosa-SdO","only-tokens",3000,"c",4,"dist.delta",73.3333333333333
"44","prosa-SdO","only-tokens",4000,"c",4,"dist.delta",73.3333333333333
"52","prosa-SdO","only-tokens",5000,"c",4,"dist.delta",73.3333333333333
"53","prosa-SdO","only-tokens",5000,"w",1,"dist.delta",73.3333333333333
"60","prosa-SdO","only-tokens",7000,"c",4,"dist.delta",73.3333333333333
"61","prosa-SdO","only-tokens",7000,"w",1,"dist.delta",73.3333333333333
"68","prosa-SdO","only-tokens",10000,"c",4,"dist.delta",73.3333333333333
"69","prosa-SdO","only-tokens",10000,"w",1,"dist.delta",73.3333333333333
"79","prosa-SdO","only-tokens",100,"w",3,"dist.eder",73.3333333333333
"87","prosa-SdO","only-tokens",500,"w",3,"dist.eder",73.3333333333333
"93","prosa-SdO","only-tokens",1000,"w",1,"dist.eder",73.3333333333333
"101","prosa-SdO","only-tokens",2000,"w",1,"dist.eder",73.3333333333333
"107","prosa-SdO","only-tokens",3000,"c",3,"dist.eder",73.3333333333333
"109","prosa-SdO","only-tokens",3000,"w",1,"dist.eder",73.3333333333333
"115","prosa-SdO","only-tokens",4000,"c",3,"dist.eder",73.3333333333333
"116","prosa-SdO","only-tokens",4000,"c",4,"dist.eder",73.3333333333333
"117","prosa-SdO","only-tokens",4000,"w",1,"dist.eder",73.3333333333333
"124","prosa-SdO","only-tokens",5000,"c",4,"dist.eder",73.3333333333333
"132","prosa-SdO","only-tokens",7000,"c",4,"dist.eder",73.3333333333333
"140","prosa-SdO","only-tokens",10000,"c",4,"dist.eder",73.3333333333333
"220","prosa-SdO","only-tokens",100,"c",4,"dist.wurzburg",73.3333333333333
"222","prosa-SdO","only-tokens",100,"w",2,"dist.wurzburg",73.3333333333333
"227","prosa-SdO","only-tokens",500,"c",3,"dist.wurzburg",73.3333333333333
"228","prosa-SdO","only-tokens",500,"c",4,"dist.wurzburg",73.3333333333333
"229","prosa-SdO","only-tokens",500,"w",1,"dist.wurzburg",73.3333333333333
"230","prosa-SdO","only-tokens",500,"w",2,"dist.wurzburg",73.3333333333333
"231","prosa-SdO","only-tokens",500,"w",3,"dist.wurzburg",73.3333333333333
"235","prosa-SdO","only-tokens",1000,"c",3,"dist.wurzburg",73.3333333333333
"236","prosa-SdO","only-tokens",1000,"c",4,"dist.wurzburg",73.3333333333333
"237","prosa-SdO","only-tokens",1000,"w",1,"dist.wurzburg",73.3333333333333
"238","prosa-SdO","only-tokens",1000,"w",2,"dist.wurzburg",73.3333333333333
"239","prosa-SdO","only-tokens",1000,"w",3,"dist.wurzburg",73.3333333333333
"244","prosa-SdO","only-tokens",2000,"c",4,"dist.wurzburg",73.3333333333333
"247","prosa-SdO","only-tokens",2000,"w",3,"dist.wurzburg",73.3333333333333
"255","prosa-SdO","only-tokens",3000,"w",3,"dist.wurzburg",73.3333333333333
"263","prosa-SdO","only-tokens",4000,"w",3,"dist.wurzburg",73.3333333333333
"271","prosa-SdO","only-tokens",5000,"w",3,"dist.wurzburg",73.3333333333333
"279","prosa-SdO","only-tokens",7000,"w",3,"dist.wurzburg",73.3333333333333
"287","prosa-SdO","only-tokens",10000,"w",3,"dist.wurzburg",73.3333333333333
"14","prosa-SdO","only-tokens",500,"w",2,"dist.delta",70.8333333333333
"234","prosa-SdO","only-tokens",1000,"c",2,"dist.wurzburg",70.8333333333333
"242","prosa-SdO","only-tokens",2000,"c",2,"dist.wurzburg",70.8333333333333
"250","prosa-SdO","only-tokens",3000,"c",2,"dist.wurzburg",70.8333333333333
"258","prosa-SdO","only-tokens",4000,"c",2,"dist.wurzburg",70.8333333333333
"259","prosa-SdO","only-tokens",4000,"c",3,"dist.wurzburg",70.8333333333333
"266","prosa-SdO","only-tokens",5000,"c",2,"dist.wurzburg",70.8333333333333
"267","prosa-SdO","only-tokens",5000,"c",3,"dist.wurzburg",70.8333333333333
"274","prosa-SdO","only-tokens",7000,"c",2,"dist.wurzburg",70.8333333333333
"275","prosa-SdO","only-tokens",7000,"c",3,"dist.wurzburg",70.8333333333333
"282","prosa-SdO","only-tokens",10000,"c",2,"dist.wurzburg",70.8333333333333
"283","prosa-SdO","only-tokens",10000,"c",3,"dist.wurzburg",70.8333333333333
"4","prosa-SdO","only-tokens",100,"c",4,"dist.delta",70
"19","prosa-SdO","only-tokens",1000,"c",3,"dist.delta",70
"76","prosa-SdO","only-tokens",100,"c",4,"dist.eder",70
"84","prosa-SdO","only-tokens",500,"c",4,"dist.eder",70
"99","prosa-SdO","only-tokens",2000,"c",3,"dist.eder",70
"148","prosa-SdO","only-tokens",100,"c",4,"dist.minmax",70
"151","prosa-SdO","only-tokens",100,"w",3,"dist.minmax",70
"156","prosa-SdO","only-tokens",500,"c",4,"dist.minmax",70
"180","prosa-SdO","only-tokens",3000,"c",4,"dist.minmax",70
"188","prosa-SdO","only-tokens",4000,"c",4,"dist.minmax",70
"219","prosa-SdO","only-tokens",100,"c",3,"dist.wurzburg",70
"221","prosa-SdO","only-tokens",100,"w",1,"dist.wurzburg",70
"223","prosa-SdO","only-tokens",100,"w",3,"dist.wurzburg",70
"15","prosa-SdO","only-tokens",500,"w",3,"dist.delta",68.3333333333333
"6","prosa-SdO","only-tokens",100,"w",2,"dist.delta",67.5
"10","prosa-SdO","only-tokens",500,"c",2,"dist.delta",67.5
"22","prosa-SdO","only-tokens",1000,"w",2,"dist.delta",67.5
"28","prosa-SdO","only-tokens",2000,"c",4,"dist.delta",67.5
"30","prosa-SdO","only-tokens",2000,"w",2,"dist.delta",67.5
"35","prosa-SdO","only-tokens",3000,"c",3,"dist.delta",67.5
"43","prosa-SdO","only-tokens",4000,"c",3,"dist.delta",67.5
"78","prosa-SdO","only-tokens",100,"w",2,"dist.eder",67.5
"86","prosa-SdO","only-tokens",500,"w",2,"dist.eder",67.5
"94","prosa-SdO","only-tokens",1000,"w",2,"dist.eder",67.5
"100","prosa-SdO","only-tokens",2000,"c",4,"dist.eder",67.5
"102","prosa-SdO","only-tokens",2000,"w",2,"dist.eder",67.5
"108","prosa-SdO","only-tokens",3000,"c",4,"dist.eder",67.5
"110","prosa-SdO","only-tokens",3000,"w",2,"dist.eder",67.5
"118","prosa-SdO","only-tokens",4000,"w",2,"dist.eder",67.5
"123","prosa-SdO","only-tokens",5000,"c",3,"dist.eder",67.5
"131","prosa-SdO","only-tokens",7000,"c",3,"dist.eder",67.5
"139","prosa-SdO","only-tokens",10000,"c",3,"dist.eder",67.5
"145","prosa-SdO","only-tokens",100,"c",1,"dist.minmax",67.5
