"","corpus","version","mfw","features","ngrams","distances","media"
"20","teatro-sgo","annotation",1000,"c",4,"dist.delta",64.7619047619047
"248","teatro-sgo","annotation",2000,"w",4,"dist.wurzburg",63.7738095238095
"272","teatro-sgo","annotation",5000,"w",4,"dist.wurzburg",63.7738095238095
"280","teatro-sgo","annotation",7000,"w",4,"dist.wurzburg",63.7738095238095
"288","teatro-sgo","annotation",10000,"w",4,"dist.wurzburg",63.7738095238095
"39","teatro-sgo","annotation",3000,"w",3,"dist.delta",62.5833333333333
"94","teatro-sgo","annotation",1000,"w",2,"dist.eder",62.3452380952381
"23","teatro-sgo","annotation",1000,"w",3,"dist.delta",62.3452380952381
"255","teatro-sgo","annotation",3000,"w",3,"dist.wurzburg",62.3452380952381
"176","teatro-sgo","annotation",2000,"w",4,"dist.minmax",62.0119047619048
"184","teatro-sgo","annotation",3000,"w",4,"dist.minmax",62.0119047619048
"263","teatro-sgo","annotation",4000,"w",3,"dist.wurzburg",61.7738095238095
"156","teatro-sgo","annotation",500,"c",4,"dist.minmax",61.3333333333333
"164","teatro-sgo","annotation",1000,"c",4,"dist.minmax",61.3333333333333
"172","teatro-sgo","annotation",2000,"c",4,"dist.minmax",61.3333333333333
"180","teatro-sgo","annotation",3000,"c",4,"dist.minmax",61.3333333333333
"188","teatro-sgo","annotation",4000,"c",4,"dist.minmax",61.3333333333333
"196","teatro-sgo","annotation",5000,"c",4,"dist.minmax",61.3333333333333
"204","teatro-sgo","annotation",7000,"c",4,"dist.minmax",61.3333333333333
"212","teatro-sgo","annotation",10000,"c",4,"dist.minmax",61.3333333333333
"13","teatro-sgo","annotation",500,"w",1,"dist.delta",61.1785714285714
"21","teatro-sgo","annotation",1000,"w",1,"dist.delta",61.1785714285714
"29","teatro-sgo","annotation",2000,"w",1,"dist.delta",61.1785714285714
"37","teatro-sgo","annotation",3000,"w",1,"dist.delta",61.1785714285714
"45","teatro-sgo","annotation",4000,"w",1,"dist.delta",61.1785714285714
"53","teatro-sgo","annotation",5000,"w",1,"dist.delta",61.1785714285714
"61","teatro-sgo","annotation",7000,"w",1,"dist.delta",61.1785714285714
"69","teatro-sgo","annotation",10000,"w",1,"dist.delta",61.1785714285714
"31","teatro-sgo","annotation",2000,"w",3,"dist.delta",61.0952380952381
"111","teatro-sgo","annotation",3000,"w",3,"dist.eder",61.0952380952381
"47","teatro-sgo","annotation",4000,"w",3,"dist.delta",60.9166666666667
"192","teatro-sgo","annotation",4000,"w",4,"dist.minmax",60.5833333333333
"14","teatro-sgo","annotation",500,"w",2,"dist.delta",60.3452380952381
"15","teatro-sgo","annotation",500,"w",3,"dist.delta",60.3452380952381
"230","teatro-sgo","annotation",500,"w",2,"dist.wurzburg",60.3452380952381
"271","teatro-sgo","annotation",5000,"w",3,"dist.wurzburg",60.3452380952381
"279","teatro-sgo","annotation",7000,"w",3,"dist.wurzburg",60.3452380952381
"287","teatro-sgo","annotation",10000,"w",3,"dist.wurzburg",60.3452380952381
"55","teatro-sgo","annotation",5000,"w",3,"dist.delta",60.1071428571429
"63","teatro-sgo","annotation",7000,"w",3,"dist.delta",60.1071428571429
"71","teatro-sgo","annotation",10000,"w",3,"dist.delta",60.1071428571429
"28","teatro-sgo","annotation",2000,"c",4,"dist.delta",59.5714285714286
"36","teatro-sgo","annotation",3000,"c",4,"dist.delta",59.5714285714286
"44","teatro-sgo","annotation",4000,"c",4,"dist.delta",59.5714285714286
"52","teatro-sgo","annotation",5000,"c",4,"dist.delta",59.5714285714286
"60","teatro-sgo","annotation",7000,"c",4,"dist.delta",59.5714285714286
"68","teatro-sgo","annotation",10000,"c",4,"dist.delta",59.5714285714286
"22","teatro-sgo","annotation",1000,"w",2,"dist.delta",59.4285714285714
"5","teatro-sgo","annotation",100,"w",1,"dist.delta",59.1785714285714
"103","teatro-sgo","annotation",2000,"w",3,"dist.eder",58.9166666666667
"77","teatro-sgo","annotation",100,"w",1,"dist.eder",58.7619047619048
"32","teatro-sgo","annotation",2000,"w",4,"dist.delta",58.6785714285714
"104","teatro-sgo","annotation",2000,"w",4,"dist.eder",58.6785714285714
"112","teatro-sgo","annotation",3000,"w",4,"dist.eder",58.6785714285714
"120","teatro-sgo","annotation",4000,"w",4,"dist.eder",58.6785714285714
"175","teatro-sgo","annotation",2000,"w",3,"dist.minmax",58.6785714285714
"200","teatro-sgo","annotation",5000,"w",4,"dist.minmax",58.6785714285714
"208","teatro-sgo","annotation",7000,"w",4,"dist.minmax",58.6785714285714
"216","teatro-sgo","annotation",10000,"w",4,"dist.minmax",58.6785714285714
"231","teatro-sgo","annotation",500,"w",3,"dist.wurzburg",58.6785714285714
"239","teatro-sgo","annotation",1000,"w",3,"dist.wurzburg",58.6785714285714
"247","teatro-sgo","annotation",2000,"w",3,"dist.wurzburg",58.6785714285714
"92","teatro-sgo","annotation",1000,"c",4,"dist.eder",58.4404761904762
"96","teatro-sgo","annotation",1000,"w",4,"dist.eder",58.3452380952381
"119","teatro-sgo","annotation",4000,"w",3,"dist.eder",58.3452380952381
"127","teatro-sgo","annotation",5000,"w",3,"dist.eder",58.3452380952381
"135","teatro-sgo","annotation",7000,"w",3,"dist.eder",58.3452380952381
"143","teatro-sgo","annotation",10000,"w",3,"dist.eder",58.3452380952381
"168","teatro-sgo","annotation",1000,"w",4,"dist.minmax",58.3452380952381
"87","teatro-sgo","annotation",500,"w",3,"dist.eder",58.1071428571428
"199","teatro-sgo","annotation",5000,"w",3,"dist.minmax",57.9285714285714
"207","teatro-sgo","annotation",7000,"w",3,"dist.minmax",57.9285714285714
"215","teatro-sgo","annotation",10000,"w",3,"dist.minmax",57.9285714285714
"85","teatro-sgo","annotation",500,"w",1,"dist.eder",57.5119047619048
"93","teatro-sgo","annotation",1000,"w",1,"dist.eder",57.5119047619048
"101","teatro-sgo","annotation",2000,"w",1,"dist.eder",57.5119047619048
"109","teatro-sgo","annotation",3000,"w",1,"dist.eder",57.5119047619048
"117","teatro-sgo","annotation",4000,"w",1,"dist.eder",57.5119047619048
"125","teatro-sgo","annotation",5000,"w",1,"dist.eder",57.5119047619048
"133","teatro-sgo","annotation",7000,"w",1,"dist.eder",57.5119047619048
"141","teatro-sgo","annotation",10000,"w",1,"dist.eder",57.5119047619048
"110","teatro-sgo","annotation",3000,"w",2,"dist.eder",57.4285714285714
"118","teatro-sgo","annotation",4000,"w",2,"dist.eder",57.4285714285714
"126","teatro-sgo","annotation",5000,"w",2,"dist.eder",57.4285714285714
"134","teatro-sgo","annotation",7000,"w",2,"dist.eder",57.4285714285714
"142","teatro-sgo","annotation",10000,"w",2,"dist.eder",57.4285714285714
"24","teatro-sgo","annotation",1000,"w",4,"dist.delta",57.25
"254","teatro-sgo","annotation",3000,"w",2,"dist.wurzburg",57.0952380952381
"262","teatro-sgo","annotation",4000,"w",2,"dist.wurzburg",57.0952380952381
"270","teatro-sgo","annotation",5000,"w",2,"dist.wurzburg",57.0952380952381
"278","teatro-sgo","annotation",7000,"w",2,"dist.wurzburg",57.0952380952381
"286","teatro-sgo","annotation",10000,"w",2,"dist.wurzburg",57.0952380952381
"12","teatro-sgo","annotation",500,"c",4,"dist.delta",57.0119047619048
"232","teatro-sgo","annotation",500,"w",4,"dist.wurzburg",56.9166666666667
"100","teatro-sgo","annotation",2000,"c",4,"dist.eder",56.8571428571428
"108","teatro-sgo","annotation",3000,"c",4,"dist.eder",56.8571428571428
"116","teatro-sgo","annotation",4000,"c",4,"dist.eder",56.8571428571428
"124","teatro-sgo","annotation",5000,"c",4,"dist.eder",56.8571428571428
"132","teatro-sgo","annotation",7000,"c",4,"dist.eder",56.8571428571428
"140","teatro-sgo","annotation",10000,"c",4,"dist.eder",56.8571428571428
"86","teatro-sgo","annotation",500,"w",2,"dist.eder",56.6785714285714
"191","teatro-sgo","annotation",4000,"w",3,"dist.minmax",56.6785714285714
"246","teatro-sgo","annotation",2000,"w",2,"dist.wurzburg",56.6785714285714
"238","teatro-sgo","annotation",1000,"w",2,"dist.wurzburg",56.4404761904762
"264","teatro-sgo","annotation",4000,"w",4,"dist.wurzburg",56.4404761904762
"236","teatro-sgo","annotation",1000,"c",4,"dist.wurzburg",56
"160","teatro-sgo","annotation",500,"w",4,"dist.minmax",55.7738095238095
"102","teatro-sgo","annotation",2000,"w",2,"dist.eder",55.7619047619048
"149","teatro-sgo","annotation",100,"w",1,"dist.minmax",55.3333333333333
"155","teatro-sgo","annotation",500,"c",3,"dist.minmax",55.3333333333333
"157","teatro-sgo","annotation",500,"w",1,"dist.minmax",55.3333333333333
"163","teatro-sgo","annotation",1000,"c",3,"dist.minmax",55.3333333333333
"165","teatro-sgo","annotation",1000,"w",1,"dist.minmax",55.3333333333333
"171","teatro-sgo","annotation",2000,"c",3,"dist.minmax",55.3333333333333
"173","teatro-sgo","annotation",2000,"w",1,"dist.minmax",55.3333333333333
"179","teatro-sgo","annotation",3000,"c",3,"dist.minmax",55.3333333333333
"181","teatro-sgo","annotation",3000,"w",1,"dist.minmax",55.3333333333333
"187","teatro-sgo","annotation",4000,"c",3,"dist.minmax",55.3333333333333
"189","teatro-sgo","annotation",4000,"w",1,"dist.minmax",55.3333333333333
"195","teatro-sgo","annotation",5000,"c",3,"dist.minmax",55.3333333333333
"197","teatro-sgo","annotation",5000,"w",1,"dist.minmax",55.3333333333333
"203","teatro-sgo","annotation",7000,"c",3,"dist.minmax",55.3333333333333
"205","teatro-sgo","annotation",7000,"w",1,"dist.minmax",55.3333333333333
"211","teatro-sgo","annotation",10000,"c",3,"dist.minmax",55.3333333333333
"213","teatro-sgo","annotation",10000,"w",1,"dist.minmax",55.3333333333333
"227","teatro-sgo","annotation",500,"c",3,"dist.wurzburg",55.3214285714286
"235","teatro-sgo","annotation",1000,"c",3,"dist.wurzburg",55.3214285714286
"243","teatro-sgo","annotation",2000,"c",3,"dist.wurzburg",55.3214285714286
"251","teatro-sgo","annotation",3000,"c",3,"dist.wurzburg",55.3214285714286
"259","teatro-sgo","annotation",4000,"c",3,"dist.wurzburg",55.3214285714286
"267","teatro-sgo","annotation",5000,"c",3,"dist.wurzburg",55.3214285714286
"275","teatro-sgo","annotation",7000,"c",3,"dist.wurzburg",55.3214285714286
"283","teatro-sgo","annotation",10000,"c",3,"dist.wurzburg",55.3214285714286
"167","teatro-sgo","annotation",1000,"w",3,"dist.minmax",55.25
"183","teatro-sgo","annotation",3000,"w",3,"dist.minmax",55.25
"11","teatro-sgo","annotation",500,"c",3,"dist.delta",54.9880952380952
"19","teatro-sgo","annotation",1000,"c",3,"dist.delta",54.9880952380952
