"","corpus","version","mfw","features","ngrams","distances","media"
"200","teatro-sgo","annotation",2000,"w",4,"dist.wurzburg",68.5
"215","teatro-sgo","annotation",4000,"w",3,"dist.wurzburg",68.5
"216","teatro-sgo","annotation",4000,"w",4,"dist.wurzburg",68.5
"224","teatro-sgo","annotation",5000,"w",4,"dist.wurzburg",68.5
"191","teatro-sgo","annotation",1000,"w",3,"dist.wurzburg",67.5
"207","teatro-sgo","annotation",3000,"w",3,"dist.wurzburg",67.5
"208","teatro-sgo","annotation",3000,"w",4,"dist.wurzburg",67.5
"180","teatro-sgo","annotation",500,"c",4,"dist.wurzburg",65.5
"182","teatro-sgo","annotation",500,"w",2,"dist.wurzburg",65.5
"190","teatro-sgo","annotation",1000,"w",2,"dist.wurzburg",65.5
"199","teatro-sgo","annotation",2000,"w",3,"dist.wurzburg",65.5
"223","teatro-sgo","annotation",5000,"w",3,"dist.wurzburg",64.5
"152","teatro-sgo","annotation",3000,"w",4,"dist.minmax",63.25
"71","teatro-sgo","annotation",500,"w",3,"dist.eder",63
"136","teatro-sgo","annotation",1000,"w",4,"dist.minmax",63
"144","teatro-sgo","annotation",2000,"w",4,"dist.minmax",63
"168","teatro-sgo","annotation",5000,"w",4,"dist.minmax",62
"198","teatro-sgo","annotation",2000,"w",2,"dist.wurzburg",61.5
"206","teatro-sgo","annotation",3000,"w",2,"dist.wurzburg",61.5
"214","teatro-sgo","annotation",4000,"w",2,"dist.wurzburg",61.5
"222","teatro-sgo","annotation",5000,"w",2,"dist.wurzburg",61.5
"183","teatro-sgo","annotation",500,"w",3,"dist.wurzburg",61.25
"181","teatro-sgo","annotation",500,"w",1,"dist.wurzburg",61
"189","teatro-sgo","annotation",1000,"w",1,"dist.wurzburg",61
"197","teatro-sgo","annotation",2000,"w",1,"dist.wurzburg",61
"205","teatro-sgo","annotation",3000,"w",1,"dist.wurzburg",61
"213","teatro-sgo","annotation",4000,"w",1,"dist.wurzburg",61
"221","teatro-sgo","annotation",5000,"w",1,"dist.wurzburg",61
"70","teatro-sgo","annotation",500,"w",2,"dist.eder",60.75
"14","teatro-sgo","annotation",500,"w",2,"dist.delta",60.5
"78","teatro-sgo","annotation",1000,"w",2,"dist.eder",60.5
"192","teatro-sgo","annotation",1000,"w",4,"dist.wurzburg",60.25
"56","teatro-sgo","annotation",5000,"w",4,"dist.delta",59.75
"15","teatro-sgo","annotation",500,"w",3,"dist.delta",59.5
"23","teatro-sgo","annotation",1000,"w",3,"dist.delta",59.5
"79","teatro-sgo","annotation",1000,"w",3,"dist.eder",59.5
"76","teatro-sgo","annotation",1000,"c",4,"dist.eder",59
"128","teatro-sgo","annotation",500,"w",4,"dist.minmax",59
"39","teatro-sgo","annotation",3000,"w",3,"dist.delta",58.75
"134","teatro-sgo","annotation",1000,"w",2,"dist.minmax",58.75
"31","teatro-sgo","annotation",2000,"w",3,"dist.delta",58.5
"80","teatro-sgo","annotation",1000,"w",4,"dist.eder",58.5
"88","teatro-sgo","annotation",2000,"w",4,"dist.eder",58.5
"160","teatro-sgo","annotation",4000,"w",4,"dist.minmax",58.5
"188","teatro-sgo","annotation",1000,"c",4,"dist.wurzburg",58.5
"196","teatro-sgo","annotation",2000,"c",4,"dist.wurzburg",58.5
"204","teatro-sgo","annotation",3000,"c",4,"dist.wurzburg",58.5
"212","teatro-sgo","annotation",4000,"c",4,"dist.wurzburg",58.5
"220","teatro-sgo","annotation",5000,"c",4,"dist.wurzburg",58.5
"87","teatro-sgo","annotation",2000,"w",3,"dist.eder",58.25
"103","teatro-sgo","annotation",4000,"w",3,"dist.eder",58.25
"111","teatro-sgo","annotation",5000,"w",3,"dist.eder",58.25
"184","teatro-sgo","annotation",500,"w",4,"dist.wurzburg",58.25
