"","corpus","version","mfw","features","ngrams","distances","media"
"270","teatro-sgo","combination",5000,"w",2,"dist.wurzburg",88.0833333333333
"278","teatro-sgo","combination",7000,"w",2,"dist.wurzburg",88.0833333333333
"286","teatro-sgo","combination",10000,"w",2,"dist.wurzburg",88.0833333333333
"229","teatro-sgo","combination",500,"w",1,"dist.wurzburg",86.4166666666667
"238","teatro-sgo","combination",1000,"w",2,"dist.wurzburg",85.0833333333333
"21","teatro-sgo","combination",1000,"w",1,"dist.delta",84.9880952380952
"237","teatro-sgo","combination",1000,"w",1,"dist.wurzburg",84.75
"254","teatro-sgo","combination",3000,"w",2,"dist.wurzburg",84.75
"261","teatro-sgo","combination",4000,"w",1,"dist.wurzburg",84.75
"101","teatro-sgo","combination",2000,"w",1,"dist.eder",83.7380952380952
"255","teatro-sgo","combination",3000,"w",3,"dist.wurzburg",83.0833333333333
"262","teatro-sgo","combination",4000,"w",2,"dist.wurzburg",83.0833333333333
"263","teatro-sgo","combination",4000,"w",3,"dist.wurzburg",83.0833333333333
"271","teatro-sgo","combination",5000,"w",3,"dist.wurzburg",83.0833333333333
"279","teatro-sgo","combination",7000,"w",3,"dist.wurzburg",83.0833333333333
"287","teatro-sgo","combination",10000,"w",3,"dist.wurzburg",83.0833333333333
"253","teatro-sgo","combination",3000,"w",1,"dist.wurzburg",82.75
"109","teatro-sgo","combination",3000,"w",1,"dist.eder",82.0714285714286
"248","teatro-sgo","combination",2000,"w",4,"dist.wurzburg",81.6547619047619
"264","teatro-sgo","combination",4000,"w",4,"dist.wurzburg",81.6547619047619
"272","teatro-sgo","combination",5000,"w",4,"dist.wurzburg",81.6547619047619
"280","teatro-sgo","combination",7000,"w",4,"dist.wurzburg",81.6547619047619
"288","teatro-sgo","combination",10000,"w",4,"dist.wurzburg",81.6547619047619
"45","teatro-sgo","combination",4000,"w",1,"dist.delta",81.4166666666667
"247","teatro-sgo","combination",2000,"w",3,"dist.wurzburg",81.4166666666667
"252","teatro-sgo","combination",3000,"c",4,"dist.wurzburg",81.4166666666667
"230","teatro-sgo","combination",500,"w",2,"dist.wurzburg",81.3214285714286
"246","teatro-sgo","combination",2000,"w",2,"dist.wurzburg",81.0833333333333
"269","teatro-sgo","combination",5000,"w",1,"dist.wurzburg",81.0833333333333
"277","teatro-sgo","combination",7000,"w",1,"dist.wurzburg",81.0833333333333
"285","teatro-sgo","combination",10000,"w",1,"dist.wurzburg",81.0833333333333
"37","teatro-sgo","combination",3000,"w",1,"dist.delta",79.9880952380952
"239","teatro-sgo","combination",1000,"w",3,"dist.wurzburg",79.9880952380952
"85","teatro-sgo","combination",500,"w",1,"dist.eder",79.8928571428571
"110","teatro-sgo","combination",3000,"w",2,"dist.eder",79.7380952380952
"118","teatro-sgo","combination",4000,"w",2,"dist.eder",79.7380952380952
"126","teatro-sgo","combination",5000,"w",2,"dist.eder",79.7380952380952
"134","teatro-sgo","combination",7000,"w",2,"dist.eder",79.7380952380952
"142","teatro-sgo","combination",10000,"w",2,"dist.eder",79.7380952380952
"260","teatro-sgo","combination",4000,"c",4,"dist.wurzburg",79.4166666666667
"268","teatro-sgo","combination",5000,"c",4,"dist.wurzburg",79.4166666666667
"276","teatro-sgo","combination",7000,"c",4,"dist.wurzburg",79.4166666666667
"284","teatro-sgo","combination",10000,"c",4,"dist.wurzburg",79.4166666666667
"88","teatro-sgo","combination",500,"w",4,"dist.eder",79.3095238095238
"29","teatro-sgo","combination",2000,"w",1,"dist.delta",78.7380952380952
"46","teatro-sgo","combination",4000,"w",2,"dist.delta",78.6428571428572
"256","teatro-sgo","combination",3000,"w",4,"dist.wurzburg",78.5595238095238
"117","teatro-sgo","combination",4000,"w",1,"dist.eder",78.3214285714286
"125","teatro-sgo","combination",5000,"w",1,"dist.eder",78.3214285714286
"133","teatro-sgo","combination",7000,"w",1,"dist.eder",78.3214285714286
"141","teatro-sgo","combination",10000,"w",1,"dist.eder",78.3214285714286
"102","teatro-sgo","combination",2000,"w",2,"dist.eder",78.3095238095238
"93","teatro-sgo","combination",1000,"w",1,"dist.eder",78.2261904761905
"244","teatro-sgo","combination",2000,"c",4,"dist.wurzburg",78.2261904761905
"245","teatro-sgo","combination",2000,"w",1,"dist.wurzburg",78.1666666666667
"53","teatro-sgo","combination",5000,"w",1,"dist.delta",77.75
"61","teatro-sgo","combination",7000,"w",1,"dist.delta",77.75
"69","teatro-sgo","combination",10000,"w",1,"dist.delta",77.75
"160","teatro-sgo","combination",500,"w",4,"dist.minmax",77.6428571428571
"240","teatro-sgo","combination",1000,"w",4,"dist.wurzburg",77.3095238095238
"14","teatro-sgo","combination",500,"w",2,"dist.delta",77.0595238095238
"22","teatro-sgo","combination",1000,"w",2,"dist.delta",77.0595238095238
"54","teatro-sgo","combination",5000,"w",2,"dist.delta",76.9761904761905
"62","teatro-sgo","combination",7000,"w",2,"dist.delta",76.9761904761905
"70","teatro-sgo","combination",10000,"w",2,"dist.delta",76.9761904761905
"198","teatro-sgo","combination",5000,"w",2,"dist.minmax",76.9761904761905
"206","teatro-sgo","combination",7000,"w",2,"dist.minmax",76.9761904761905
"214","teatro-sgo","combination",10000,"w",2,"dist.minmax",76.9761904761905
"103","teatro-sgo","combination",2000,"w",3,"dist.eder",76.8809523809524
"182","teatro-sgo","combination",3000,"w",2,"dist.minmax",76.8809523809524
"267","teatro-sgo","combination",5000,"c",3,"dist.wurzburg",76.8333333333333
"275","teatro-sgo","combination",7000,"c",3,"dist.wurzburg",76.8333333333333
"283","teatro-sgo","combination",10000,"c",3,"dist.wurzburg",76.8333333333333
"30","teatro-sgo","combination",2000,"w",2,"dist.delta",76.4047619047619
"86","teatro-sgo","combination",500,"w",2,"dist.eder",76.3095238095238
"232","teatro-sgo","combination",500,"w",4,"dist.wurzburg",75.9761904761905
"44","teatro-sgo","combination",4000,"c",4,"dist.delta",75.9642857142857
"96","teatro-sgo","combination",1000,"w",4,"dist.eder",75.8809523809524
"176","teatro-sgo","combination",2000,"w",4,"dist.minmax",75.7261904761905
"183","teatro-sgo","combination",3000,"w",3,"dist.minmax",75.7261904761905
"184","teatro-sgo","combination",3000,"w",4,"dist.minmax",75.7261904761905
