"","corpus","version","mfw","features","ngrams","distances","media"
"224","teatro-sgo","combination",5000,"w",4,"dist.wurzburg",82.6388888888889
"216","teatro-sgo","combination",4000,"w",4,"dist.wurzburg",79.3888888888889
"198","teatro-sgo","combination",2000,"w",2,"dist.wurzburg",79.2777777777778
"206","teatro-sgo","combination",3000,"w",2,"dist.wurzburg",79.2777777777778
"207","teatro-sgo","combination",3000,"w",3,"dist.wurzburg",78.2777777777778
"208","teatro-sgo","combination",3000,"w",4,"dist.wurzburg",78.2777777777778
"214","teatro-sgo","combination",4000,"w",2,"dist.wurzburg",78.2777777777778
"222","teatro-sgo","combination",5000,"w",2,"dist.wurzburg",78.2777777777778
"200","teatro-sgo","combination",2000,"w",4,"dist.wurzburg",77.2777777777778
"215","teatro-sgo","combination",4000,"w",3,"dist.wurzburg",77.2777777777778
"223","teatro-sgo","combination",5000,"w",3,"dist.wurzburg",77.2777777777778
"211","teatro-sgo","combination",4000,"c",3,"dist.wurzburg",76.2777777777778
"107","teatro-sgo","combination",5000,"c",3,"dist.eder",76.1666666666667
"213","teatro-sgo","combination",4000,"w",1,"dist.wurzburg",76.1666666666667
"219","teatro-sgo","combination",5000,"c",3,"dist.wurzburg",76.1666666666667
"221","teatro-sgo","combination",5000,"w",1,"dist.wurzburg",76.1666666666667
"21","teatro-sgo","combination",1000,"w",1,"dist.delta",75.5277777777778
"35","teatro-sgo","combination",3000,"c",3,"dist.delta",75.1666666666667
"44","teatro-sgo","combination",4000,"c",4,"dist.delta",74.4166666666667
"197","teatro-sgo","combination",2000,"w",1,"dist.wurzburg",74.1666666666667
"51","teatro-sgo","combination",5000,"c",3,"dist.delta",74.0555555555556
"85","teatro-sgo","combination",2000,"w",1,"dist.eder",73.4166666666667
"53","teatro-sgo","combination",5000,"w",1,"dist.delta",73.2777777777778
"13","teatro-sgo","combination",500,"w",1,"dist.delta",72.3055555555556
"99","teatro-sgo","combination",4000,"c",3,"dist.eder",72.1944444444444
"93","teatro-sgo","combination",3000,"w",1,"dist.eder",72.1666666666667
"189","teatro-sgo","combination",1000,"w",1,"dist.wurzburg",72.0555555555556
"184","teatro-sgo","combination",500,"w",4,"dist.wurzburg",71.3055555555556
"45","teatro-sgo","combination",4000,"w",1,"dist.delta",71.2777777777778
"192","teatro-sgo","combination",1000,"w",4,"dist.wurzburg",71.1666666666667
"43","teatro-sgo","combination",4000,"c",3,"dist.delta",71.0555555555556
"181","teatro-sgo","combination",500,"w",1,"dist.wurzburg",71.0555555555556
"196","teatro-sgo","combination",2000,"c",4,"dist.wurzburg",70.3055555555556
"77","teatro-sgo","combination",1000,"w",1,"dist.eder",70.1944444444444
"52","teatro-sgo","combination",5000,"c",4,"dist.delta",70.0833333333333
"46","teatro-sgo","combination",4000,"w",2,"dist.delta",69.9444444444444
"144","teatro-sgo","combination",2000,"w",4,"dist.minmax",69.3055555555556
"30","teatro-sgo","combination",2000,"w",2,"dist.delta",69.1944444444444
"69","teatro-sgo","combination",500,"w",1,"dist.eder",69.1944444444444
