"","corpus","version","mfw","features","ngrams","distances","media"
"270","teatro-sgo","fusion",5000,"w",2,"dist.wurzburg",82.4761904761905
"278","teatro-sgo","fusion",7000,"w",2,"dist.wurzburg",82.4761904761905
"286","teatro-sgo","fusion",10000,"w",2,"dist.wurzburg",82.4761904761905
"238","teatro-sgo","fusion",1000,"w",2,"dist.wurzburg",79.7142857142857
"261","teatro-sgo","fusion",4000,"w",1,"dist.wurzburg",79.3809523809524
"255","teatro-sgo","fusion",3000,"w",3,"dist.wurzburg",77.7142857142857
"263","teatro-sgo","fusion",4000,"w",3,"dist.wurzburg",77.7142857142857
"271","teatro-sgo","fusion",5000,"w",3,"dist.wurzburg",77.7142857142857
"279","teatro-sgo","fusion",7000,"w",3,"dist.wurzburg",77.7142857142857
"287","teatro-sgo","fusion",10000,"w",3,"dist.wurzburg",77.7142857142857
"269","teatro-sgo","fusion",5000,"w",1,"dist.wurzburg",77.3809523809524
"277","teatro-sgo","fusion",7000,"w",1,"dist.wurzburg",77.3809523809524
"285","teatro-sgo","fusion",10000,"w",1,"dist.wurzburg",77.3809523809524
"246","teatro-sgo","fusion",2000,"w",2,"dist.wurzburg",77.1428571428571
"45","teatro-sgo","fusion",4000,"w",1,"dist.delta",76.5476190476191
"53","teatro-sgo","fusion",5000,"w",1,"dist.delta",76.5476190476191
"61","teatro-sgo","fusion",7000,"w",1,"dist.delta",76.5476190476191
"69","teatro-sgo","fusion",10000,"w",1,"dist.delta",76.5476190476191
"262","teatro-sgo","fusion",4000,"w",2,"dist.wurzburg",76.3095238095238
"247","teatro-sgo","fusion",2000,"w",3,"dist.wurzburg",76.047619047619
"272","teatro-sgo","fusion",5000,"w",4,"dist.wurzburg",76.047619047619
"280","teatro-sgo","fusion",7000,"w",4,"dist.wurzburg",76.047619047619
"288","teatro-sgo","fusion",10000,"w",4,"dist.wurzburg",76.047619047619
"229","teatro-sgo","fusion",500,"w",1,"dist.wurzburg",75.7142857142857
"252","teatro-sgo","fusion",3000,"c",4,"dist.wurzburg",75.7142857142857
"117","teatro-sgo","fusion",4000,"w",1,"dist.eder",74.8809523809524
"37","teatro-sgo","fusion",3000,"w",1,"dist.delta",74.5476190476191
"21","teatro-sgo","fusion",1000,"w",1,"dist.delta",74.2857142857143
"237","teatro-sgo","fusion",1000,"w",1,"dist.wurzburg",74.2857142857143
"253","teatro-sgo","fusion",3000,"w",1,"dist.wurzburg",74.2857142857143
"260","teatro-sgo","fusion",4000,"c",4,"dist.wurzburg",74.2857142857143
"268","teatro-sgo","fusion",5000,"c",4,"dist.wurzburg",74.2857142857143
"276","teatro-sgo","fusion",7000,"c",4,"dist.wurzburg",74.2857142857143
"284","teatro-sgo","fusion",10000,"c",4,"dist.wurzburg",74.2857142857143
"248","teatro-sgo","fusion",2000,"w",4,"dist.wurzburg",74.047619047619
"256","teatro-sgo","fusion",3000,"w",4,"dist.wurzburg",74.047619047619
"264","teatro-sgo","fusion",4000,"w",4,"dist.wurzburg",74.047619047619
"109","teatro-sgo","fusion",3000,"w",1,"dist.eder",73.4523809523809
"254","teatro-sgo","fusion",3000,"w",2,"dist.wurzburg",73.2142857142857
"125","teatro-sgo","fusion",5000,"w",1,"dist.eder",72.8809523809524
"133","teatro-sgo","fusion",7000,"w",1,"dist.eder",72.8809523809524
"141","teatro-sgo","fusion",10000,"w",1,"dist.eder",72.8809523809524
"29","teatro-sgo","fusion",2000,"w",1,"dist.delta",72.3809523809524
"230","teatro-sgo","fusion",500,"w",2,"dist.wurzburg",72.1190476190476
"167","teatro-sgo","fusion",1000,"w",3,"dist.minmax",71.7857142857143
"244","teatro-sgo","fusion",2000,"c",4,"dist.wurzburg",71.7857142857143
"43","teatro-sgo","fusion",4000,"c",3,"dist.delta",71.5238095238095
"267","teatro-sgo","fusion",5000,"c",3,"dist.wurzburg",70.9523809523809
"275","teatro-sgo","fusion",7000,"c",3,"dist.wurzburg",70.9523809523809
"283","teatro-sgo","fusion",10000,"c",3,"dist.wurzburg",70.9523809523809
"239","teatro-sgo","fusion",1000,"w",3,"dist.wurzburg",70.4523809523809
"245","teatro-sgo","fusion",2000,"w",1,"dist.wurzburg",70.3571428571429
"101","teatro-sgo","fusion",2000,"w",1,"dist.eder",70.1190476190476
"236","teatro-sgo","fusion",1000,"c",4,"dist.wurzburg",70.1190476190476
"240","teatro-sgo","fusion",1000,"w",4,"dist.wurzburg",70.1190476190476
"93","teatro-sgo","fusion",1000,"w",1,"dist.eder",69.2857142857143
"235","teatro-sgo","fusion",1000,"c",3,"dist.wurzburg",68.9285714285714
"176","teatro-sgo","fusion",2000,"w",4,"dist.minmax",68.3571428571429
"88","teatro-sgo","fusion",500,"w",4,"dist.eder",67.6190476190476
"86","teatro-sgo","fusion",500,"w",2,"dist.eder",67.3571428571429
"190","teatro-sgo","fusion",4000,"w",2,"dist.minmax",66.7857142857143
"96","teatro-sgo","fusion",1000,"w",4,"dist.eder",66.6904761904762
"22","teatro-sgo","fusion",1000,"w",2,"dist.delta",66.2857142857143
"23","teatro-sgo","fusion",1000,"w",3,"dist.delta",66.2857142857143
"102","teatro-sgo","fusion",2000,"w",2,"dist.eder",66.2857142857143
"110","teatro-sgo","fusion",3000,"w",2,"dist.eder",66.2857142857143
"175","teatro-sgo","fusion",2000,"w",3,"dist.minmax",66.1904761904762
"183","teatro-sgo","fusion",3000,"w",3,"dist.minmax",66.1904761904762
"184","teatro-sgo","fusion",3000,"w",4,"dist.minmax",66.1904761904762
"191","teatro-sgo","fusion",4000,"w",3,"dist.minmax",66.1904761904762
"199","teatro-sgo","fusion",5000,"w",3,"dist.minmax",66.1904761904762
"200","teatro-sgo","fusion",5000,"w",4,"dist.minmax",66.1904761904762
"207","teatro-sgo","fusion",7000,"w",3,"dist.minmax",66.1904761904762
"208","teatro-sgo","fusion",7000,"w",4,"dist.minmax",66.1904761904762
"215","teatro-sgo","fusion",10000,"w",3,"dist.minmax",66.1904761904762
"216","teatro-sgo","fusion",10000,"w",4,"dist.minmax",66.1904761904762
"181","teatro-sgo","fusion",3000,"w",1,"dist.minmax",65.9285714285714
