"","corpus","version","mfw","features","ngrams","distances","media"
"198","teatro-sgo","fusion",2000,"w",2,"dist.wurzburg",80.75
"224","teatro-sgo","fusion",5000,"w",4,"dist.wurzburg",80.75
"216","teatro-sgo","fusion",4000,"w",4,"dist.wurzburg",79.75
"189","teatro-sgo","fusion",1000,"w",1,"dist.wurzburg",79.5277777777778
"222","teatro-sgo","fusion",5000,"w",2,"dist.wurzburg",78.5277777777778
"214","teatro-sgo","fusion",4000,"w",2,"dist.wurzburg",78.5277777777778
"221","teatro-sgo","fusion",5000,"w",1,"dist.wurzburg",78.5277777777778
"208","teatro-sgo","fusion",3000,"w",4,"dist.wurzburg",77.6388888888889
"213","teatro-sgo","fusion",4000,"w",1,"dist.wurzburg",77.5277777777778
"206","teatro-sgo","fusion",3000,"w",2,"dist.wurzburg",77.4166666666667
"215","teatro-sgo","fusion",4000,"w",3,"dist.wurzburg",77.4166666666667
"197","teatro-sgo","fusion",2000,"w",1,"dist.wurzburg",77.3888888888889
"207","teatro-sgo","fusion",3000,"w",3,"dist.wurzburg",77.3055555555555
"223","teatro-sgo","fusion",5000,"w",3,"dist.wurzburg",77.3055555555555
"199","teatro-sgo","fusion",2000,"w",3,"dist.wurzburg",77.1666666666667
"200","teatro-sgo","fusion",2000,"w",4,"dist.wurzburg",76.5277777777778
"192","teatro-sgo","fusion",1000,"w",4,"dist.wurzburg",76.2777777777778
"211","teatro-sgo","fusion",4000,"c",3,"dist.wurzburg",75.2777777777778
"219","teatro-sgo","fusion",5000,"c",3,"dist.wurzburg",75.2777777777778
"190","teatro-sgo","fusion",1000,"w",2,"dist.wurzburg",74.9166666666667
"181","teatro-sgo","fusion",500,"w",1,"dist.wurzburg",74.2777777777778
"205","teatro-sgo","fusion",3000,"w",1,"dist.wurzburg",74.1666666666667
"212","teatro-sgo","fusion",4000,"c",4,"dist.wurzburg",74.0555555555556
"204","teatro-sgo","fusion",3000,"c",4,"dist.wurzburg",73.9166666666667
"220","teatro-sgo","fusion",5000,"c",4,"dist.wurzburg",73.0555555555556
"13","teatro-sgo","fusion",500,"w",1,"dist.delta",72.9444444444444
"191","teatro-sgo","fusion",1000,"w",3,"dist.wurzburg",72.8055555555556
"188","teatro-sgo","fusion",1000,"c",4,"dist.wurzburg",72.8055555555556
"196","teatro-sgo","fusion",2000,"c",4,"dist.wurzburg",72.8055555555556
"203","teatro-sgo","fusion",3000,"c",3,"dist.wurzburg",72.8055555555555
"107","teatro-sgo","fusion",5000,"c",3,"dist.eder",72.4166666666667
"44","teatro-sgo","fusion",4000,"c",4,"dist.delta",72.0555555555555
"100","teatro-sgo","fusion",4000,"c",4,"dist.eder",71.8333333333333
"77","teatro-sgo","fusion",1000,"w",1,"dist.eder",71.7222222222222
"69","teatro-sgo","fusion",500,"w",1,"dist.eder",71.6944444444444
"35","teatro-sgo","fusion",3000,"c",3,"dist.delta",71.0555555555556
"182","teatro-sgo","fusion",500,"w",2,"dist.wurzburg",70.8055555555556
"183","teatro-sgo","fusion",500,"w",3,"dist.wurzburg",70.8055555555556
"184","teatro-sgo","fusion",500,"w",4,"dist.wurzburg",70.8055555555556
"195","teatro-sgo","fusion",2000,"c",3,"dist.wurzburg",70.8055555555556
"92","teatro-sgo","fusion",3000,"c",4,"dist.eder",70.6944444444444
"28","teatro-sgo","fusion",2000,"c",4,"dist.delta",70.5833333333333
"99","teatro-sgo","fusion",4000,"c",3,"dist.eder",69.9444444444444
"21","teatro-sgo","fusion",1000,"w",1,"dist.delta",69.8333333333333
"85","teatro-sgo","fusion",2000,"w",1,"dist.eder",69.8333333333333
"93","teatro-sgo","fusion",3000,"w",1,"dist.eder",69.8333333333333
"36","teatro-sgo","fusion",3000,"c",4,"dist.delta",69.8333333333333
"108","teatro-sgo","fusion",5000,"c",4,"dist.eder",69.8333333333333
"112","teatro-sgo","fusion",5000,"w",4,"dist.eder",69.8055555555556
"45","teatro-sgo","fusion",4000,"w",1,"dist.delta",69.6944444444444
"53","teatro-sgo","fusion",5000,"w",1,"dist.delta",69.6944444444444
"180","teatro-sgo","fusion",500,"c",4,"dist.wurzburg",69.4444444444444
"187","teatro-sgo","fusion",1000,"c",3,"dist.wurzburg",69.1944444444444
"43","teatro-sgo","fusion",4000,"c",3,"dist.delta",68.9444444444444
"51","teatro-sgo","fusion",5000,"c",3,"dist.delta",68.9444444444444
"52","teatro-sgo","fusion",5000,"c",4,"dist.delta",68.7222222222222
"29","teatro-sgo","fusion",2000,"w",1,"dist.delta",68.7222222222222
"101","teatro-sgo","fusion",4000,"w",1,"dist.eder",68.7222222222222
"128","teatro-sgo","fusion",500,"w",4,"dist.minmax",68.5833333333333
"136","teatro-sgo","fusion",1000,"w",4,"dist.minmax",68.5833333333333
"144","teatro-sgo","fusion",2000,"w",4,"dist.minmax",68.5833333333333
"40","teatro-sgo","fusion",3000,"w",4,"dist.delta",68.5833333333333
"149","teatro-sgo","fusion",3000,"w",1,"dist.minmax",68.4722222222222
"84","teatro-sgo","fusion",2000,"c",4,"dist.eder",68.3333333333333
"179","teatro-sgo","fusion",500,"c",3,"dist.wurzburg",68.1944444444444
"48","teatro-sgo","fusion",4000,"w",4,"dist.delta",67.5833333333333
"104","teatro-sgo","fusion",4000,"w",4,"dist.eder",67.5833333333333
"30","teatro-sgo","fusion",2000,"w",2,"dist.delta",67.4722222222222
"80","teatro-sgo","fusion",1000,"w",4,"dist.eder",67.4722222222222
"157","teatro-sgo","fusion",4000,"w",1,"dist.minmax",67.3611111111111
"20","teatro-sgo","fusion",1000,"c",4,"dist.delta",67.2222222222222
"56","teatro-sgo","fusion",5000,"w",4,"dist.delta",67.0833333333333
"91","teatro-sgo","fusion",3000,"c",3,"dist.eder",66.5833333333333
"19","teatro-sgo","fusion",1000,"c",3,"dist.delta",66.4722222222222
"110","teatro-sgo","fusion",5000,"w",2,"dist.eder",66.3611111111111
"55","teatro-sgo","fusion",5000,"w",3,"dist.delta",66.3333333333333
"165","teatro-sgo","fusion",5000,"w",1,"dist.minmax",66.25
"16","teatro-sgo","fusion",500,"w",4,"dist.delta",66.2222222222222
"76","teatro-sgo","fusion",1000,"c",4,"dist.eder",66.2222222222222
"32","teatro-sgo","fusion",2000,"w",4,"dist.delta",65.6111111111111
"102","teatro-sgo","fusion",4000,"w",2,"dist.eder",65.3611111111111
"109","teatro-sgo","fusion",5000,"w",1,"dist.eder",65.3611111111111
"79","teatro-sgo","fusion",1000,"w",3,"dist.eder",65.3333333333333
