"","corpus","version","mfw","features","ngrams","distances","media"
"269","teatro-sgo","only-tokens",5000,"w",1,"dist.wurzburg",86.6666666666667
"277","teatro-sgo","only-tokens",7000,"w",1,"dist.wurzburg",86.6666666666667
"285","teatro-sgo","only-tokens",10000,"w",1,"dist.wurzburg",86.6666666666667
"261","teatro-sgo","only-tokens",4000,"w",1,"dist.wurzburg",85
"253","teatro-sgo","only-tokens",3000,"w",1,"dist.wurzburg",83.8095238095238
"237","teatro-sgo","only-tokens",1000,"w",1,"dist.wurzburg",83.5714285714286
"262","teatro-sgo","only-tokens",4000,"w",2,"dist.wurzburg",83
"246","teatro-sgo","only-tokens",2000,"w",2,"dist.wurzburg",82.1428571428572
"238","teatro-sgo","only-tokens",1000,"w",2,"dist.wurzburg",80.4761904761905
"254","teatro-sgo","only-tokens",3000,"w",2,"dist.wurzburg",79.9047619047619
"267","teatro-sgo","only-tokens",5000,"c",3,"dist.wurzburg",79.9047619047619
"275","teatro-sgo","only-tokens",7000,"c",3,"dist.wurzburg",79.9047619047619
"283","teatro-sgo","only-tokens",10000,"c",3,"dist.wurzburg",79.9047619047619
"35","teatro-sgo","only-tokens",3000,"c",3,"dist.delta",79.9047619047619
"115","teatro-sgo","only-tokens",4000,"c",3,"dist.eder",79.9047619047619
"123","teatro-sgo","only-tokens",5000,"c",3,"dist.eder",79.9047619047619
"131","teatro-sgo","only-tokens",7000,"c",3,"dist.eder",79.9047619047619
"139","teatro-sgo","only-tokens",10000,"c",3,"dist.eder",79.9047619047619
"53","teatro-sgo","only-tokens",5000,"w",1,"dist.delta",78.8095238095238
"61","teatro-sgo","only-tokens",7000,"w",1,"dist.delta",78.8095238095238
"69","teatro-sgo","only-tokens",10000,"w",1,"dist.delta",78.8095238095238
"259","teatro-sgo","only-tokens",4000,"c",3,"dist.wurzburg",78.2380952380952
"270","teatro-sgo","only-tokens",5000,"w",2,"dist.wurzburg",78.2380952380952
"278","teatro-sgo","only-tokens",7000,"w",2,"dist.wurzburg",78.2380952380952
"286","teatro-sgo","only-tokens",10000,"w",2,"dist.wurzburg",78.2380952380952
"260","teatro-sgo","only-tokens",4000,"c",4,"dist.wurzburg",77.1428571428571
"268","teatro-sgo","only-tokens",5000,"c",4,"dist.wurzburg",77.1428571428571
"276","teatro-sgo","only-tokens",7000,"c",4,"dist.wurzburg",77.1428571428571
"284","teatro-sgo","only-tokens",10000,"c",4,"dist.wurzburg",77.1428571428571
"21","teatro-sgo","only-tokens",1000,"w",1,"dist.delta",76.9047619047619
"101","teatro-sgo","only-tokens",2000,"w",1,"dist.eder",76.9047619047619
"45","teatro-sgo","only-tokens",4000,"w",1,"dist.delta",75.7142857142857
"109","teatro-sgo","only-tokens",3000,"w",1,"dist.eder",75.4761904761905
"85","teatro-sgo","only-tokens",500,"w",1,"dist.eder",75.2380952380952
"252","teatro-sgo","only-tokens",3000,"c",4,"dist.wurzburg",75.1428571428571
"43","teatro-sgo","only-tokens",4000,"c",3,"dist.delta",74.9047619047619
"244","teatro-sgo","only-tokens",2000,"c",4,"dist.wurzburg",74.9047619047619
"245","teatro-sgo","only-tokens",2000,"w",1,"dist.wurzburg",74.9047619047619
"117","teatro-sgo","only-tokens",4000,"w",1,"dist.eder",74.0476190476191
"125","teatro-sgo","only-tokens",5000,"w",1,"dist.eder",74.0476190476191
"133","teatro-sgo","only-tokens",7000,"w",1,"dist.eder",74.0476190476191
"141","teatro-sgo","only-tokens",10000,"w",1,"dist.eder",74.0476190476191
"181","teatro-sgo","only-tokens",3000,"w",1,"dist.minmax",73.4761904761905
"189","teatro-sgo","only-tokens",4000,"w",1,"dist.minmax",73.4761904761905
"86","teatro-sgo","only-tokens",500,"w",2,"dist.eder",73.2380952380952
"118","teatro-sgo","only-tokens",4000,"w",2,"dist.eder",72.9047619047619
"37","teatro-sgo","only-tokens",3000,"w",1,"dist.delta",72.6190476190476
"29","teatro-sgo","only-tokens",2000,"w",1,"dist.delta",72.3809523809524
"100","teatro-sgo","only-tokens",2000,"c",4,"dist.eder",72.3809523809524
"14","teatro-sgo","only-tokens",500,"w",2,"dist.delta",71.9047619047619
"173","teatro-sgo","only-tokens",2000,"w",1,"dist.minmax",71.8095238095238
"197","teatro-sgo","only-tokens",5000,"w",1,"dist.minmax",71.8095238095238
"205","teatro-sgo","only-tokens",7000,"w",1,"dist.minmax",71.8095238095238
"213","teatro-sgo","only-tokens",10000,"w",1,"dist.minmax",71.8095238095238
"243","teatro-sgo","only-tokens",2000,"c",3,"dist.wurzburg",71.8095238095238
"93","teatro-sgo","only-tokens",1000,"w",1,"dist.eder",71.5714285714286
"174","teatro-sgo","only-tokens",2000,"w",2,"dist.minmax",70.9523809523809
"198","teatro-sgo","only-tokens",5000,"w",2,"dist.minmax",70.7142857142857
"206","teatro-sgo","only-tokens",7000,"w",2,"dist.minmax",70.7142857142857
"214","teatro-sgo","only-tokens",10000,"w",2,"dist.minmax",70.7142857142857
"165","teatro-sgo","only-tokens",1000,"w",1,"dist.minmax",70.1428571428571
"221","teatro-sgo","only-tokens",100,"w",1,"dist.wurzburg",70.1428571428571
"251","teatro-sgo","only-tokens",3000,"c",3,"dist.wurzburg",70.1428571428571
"13","teatro-sgo","only-tokens",500,"w",1,"dist.delta",69.9047619047619
"236","teatro-sgo","only-tokens",1000,"c",4,"dist.wurzburg",69.8095238095238
"126","teatro-sgo","only-tokens",5000,"w",2,"dist.eder",69.8095238095238
"134","teatro-sgo","only-tokens",7000,"w",2,"dist.eder",69.8095238095238
"142","teatro-sgo","only-tokens",10000,"w",2,"dist.eder",69.8095238095238
"235","teatro-sgo","only-tokens",1000,"c",3,"dist.wurzburg",69.8095238095238
"36","teatro-sgo","only-tokens",3000,"c",4,"dist.delta",69.2857142857143
"190","teatro-sgo","only-tokens",4000,"w",2,"dist.minmax",69.2857142857143
"158","teatro-sgo","only-tokens",500,"w",2,"dist.minmax",69.2857142857143
"166","teatro-sgo","only-tokens",1000,"w",2,"dist.minmax",69.2857142857143
"51","teatro-sgo","only-tokens",5000,"c",3,"dist.delta",68.7142857142857
"59","teatro-sgo","only-tokens",7000,"c",3,"dist.delta",68.7142857142857
"67","teatro-sgo","only-tokens",10000,"c",3,"dist.delta",68.7142857142857
"229","teatro-sgo","only-tokens",500,"w",1,"dist.wurzburg",68.3809523809524
"110","teatro-sgo","only-tokens",3000,"w",2,"dist.eder",68.1428571428571
"228","teatro-sgo","only-tokens",500,"c",4,"dist.wurzburg",68.1428571428571
"230","teatro-sgo","only-tokens",500,"w",2,"dist.wurzburg",68.1428571428571
"84","teatro-sgo","only-tokens",500,"c",4,"dist.eder",67.9047619047619
"94","teatro-sgo","only-tokens",1000,"w",2,"dist.eder",67.9047619047619
"182","teatro-sgo","only-tokens",3000,"w",2,"dist.minmax",67.8571428571428
"108","teatro-sgo","only-tokens",3000,"c",4,"dist.eder",67.6190476190476
"116","teatro-sgo","only-tokens",4000,"c",4,"dist.eder",67.6190476190476
"124","teatro-sgo","only-tokens",5000,"c",4,"dist.eder",67.6190476190476
"132","teatro-sgo","only-tokens",7000,"c",4,"dist.eder",67.6190476190476
"140","teatro-sgo","only-tokens",10000,"c",4,"dist.eder",67.6190476190476
"247","teatro-sgo","only-tokens",2000,"w",3,"dist.wurzburg",66.7142857142857
"102","teatro-sgo","only-tokens",2000,"w",2,"dist.eder",66.4761904761905
"227","teatro-sgo","only-tokens",500,"c",3,"dist.wurzburg",66.4761904761905
"12","teatro-sgo","only-tokens",500,"c",4,"dist.delta",66.4761904761905
"92","teatro-sgo","only-tokens",1000,"c",4,"dist.eder",66.4761904761905
"38","teatro-sgo","only-tokens",3000,"w",2,"dist.delta",66.2380952380952
"76","teatro-sgo","only-tokens",100,"c",4,"dist.eder",66.1428571428571
"5","teatro-sgo","only-tokens",100,"w",1,"dist.delta",65.6190476190476
"44","teatro-sgo","only-tokens",4000,"c",4,"dist.delta",65.6190476190476
"52","teatro-sgo","only-tokens",5000,"c",4,"dist.delta",65.6190476190476
"60","teatro-sgo","only-tokens",7000,"c",4,"dist.delta",65.6190476190476
"68","teatro-sgo","only-tokens",10000,"c",4,"dist.delta",65.6190476190476
"157","teatro-sgo","only-tokens",500,"w",1,"dist.minmax",65.6190476190476
"183","teatro-sgo","only-tokens",3000,"w",3,"dist.minmax",65.6190476190476
"199","teatro-sgo","only-tokens",5000,"w",3,"dist.minmax",65.6190476190476
"207","teatro-sgo","only-tokens",7000,"w",3,"dist.minmax",65.6190476190476
"215","teatro-sgo","only-tokens",10000,"w",3,"dist.minmax",65.6190476190476
"263","teatro-sgo","only-tokens",4000,"w",3,"dist.wurzburg",65.2857142857143
"46","teatro-sgo","only-tokens",4000,"w",2,"dist.delta",65.047619047619
"22","teatro-sgo","only-tokens",1000,"w",2,"dist.delta",64.8095238095238
"218","teatro-sgo","only-tokens",100,"c",2,"dist.wurzburg",64.5714285714286
"28","teatro-sgo","only-tokens",2000,"c",4,"dist.delta",64.2857142857143
"150","teatro-sgo","only-tokens",100,"w",2,"dist.minmax",63.9523809523809
