"","corpus","version","mfw","features","ngrams","distances","media"
"189","teatro-sgo","only-tokens",1000,"w",1,"dist.wurzburg",77.2222222222222
"190","teatro-sgo","only-tokens",1000,"w",2,"dist.wurzburg",75.1111111111111
"198","teatro-sgo","only-tokens",2000,"w",2,"dist.wurzburg",75.1111111111111
"205","teatro-sgo","only-tokens",3000,"w",1,"dist.wurzburg",75.1111111111111
"213","teatro-sgo","only-tokens",4000,"w",1,"dist.wurzburg",75.1111111111111
"222","teatro-sgo","only-tokens",5000,"w",2,"dist.wurzburg",75.1111111111111
"197","teatro-sgo","only-tokens",2000,"w",1,"dist.wurzburg",74.3333333333333
"206","teatro-sgo","only-tokens",3000,"w",2,"dist.wurzburg",74.1111111111111
"214","teatro-sgo","only-tokens",4000,"w",2,"dist.wurzburg",74.1111111111111
"221","teatro-sgo","only-tokens",5000,"w",1,"dist.wurzburg",74
"181","teatro-sgo","only-tokens",500,"w",1,"dist.wurzburg",70.8888888888889
"69","teatro-sgo","only-tokens",500,"w",1,"dist.eder",67.8888888888889
"173","teatro-sgo","only-tokens",100,"w",1,"dist.wurzburg",67.8888888888889
"211","teatro-sgo","only-tokens",4000,"c",3,"dist.wurzburg",66.8888888888889
"219","teatro-sgo","only-tokens",5000,"c",3,"dist.wurzburg",66.8888888888889
"102","teatro-sgo","only-tokens",4000,"w",2,"dist.eder",66.7777777777778
"110","teatro-sgo","only-tokens",5000,"w",2,"dist.eder",66.7777777777778
"77","teatro-sgo","only-tokens",1000,"w",1,"dist.eder",65.7777777777778
"101","teatro-sgo","only-tokens",4000,"w",1,"dist.eder",65.6666666666667
"204","teatro-sgo","only-tokens",3000,"c",4,"dist.wurzburg",65.6666666666667
"220","teatro-sgo","only-tokens",5000,"c",4,"dist.wurzburg",65.6666666666667
"45","teatro-sgo","only-tokens",4000,"w",1,"dist.delta",65.5555555555556
"182","teatro-sgo","only-tokens",500,"w",2,"dist.wurzburg",64.7777777777778
"212","teatro-sgo","only-tokens",4000,"c",4,"dist.wurzburg",64.6666666666667
"37","teatro-sgo","only-tokens",3000,"w",1,"dist.delta",64.5555555555556
"30","teatro-sgo","only-tokens",2000,"w",2,"dist.delta",63.6666666666667
"94","teatro-sgo","only-tokens",3000,"w",2,"dist.eder",63.6666666666667
"180","teatro-sgo","only-tokens",500,"c",4,"dist.wurzburg",63.6666666666667
"196","teatro-sgo","only-tokens",2000,"c",4,"dist.wurzburg",63.6666666666667
"53","teatro-sgo","only-tokens",5000,"w",1,"dist.delta",63.5555555555556
"188","teatro-sgo","only-tokens",1000,"c",4,"dist.wurzburg",63.5555555555556
"70","teatro-sgo","only-tokens",500,"w",2,"dist.eder",62.7777777777778
"46","teatro-sgo","only-tokens",4000,"w",2,"dist.delta",62.6666666666667
"38","teatro-sgo","only-tokens",3000,"w",2,"dist.delta",62.5555555555556
"54","teatro-sgo","only-tokens",5000,"w",2,"dist.delta",62.4444444444444
"109","teatro-sgo","only-tokens",5000,"w",1,"dist.eder",62.4444444444444
"203","teatro-sgo","only-tokens",3000,"c",3,"dist.wurzburg",61.6666666666667
"21","teatro-sgo","only-tokens",1000,"w",1,"dist.delta",61.5555555555556
"85","teatro-sgo","only-tokens",2000,"w",1,"dist.eder",61.5555555555556
"93","teatro-sgo","only-tokens",3000,"w",1,"dist.eder",61.5555555555556
"43","teatro-sgo","only-tokens",4000,"c",3,"dist.delta",60.6666666666667
"179","teatro-sgo","only-tokens",500,"c",3,"dist.wurzburg",60.5555555555556
"195","teatro-sgo","only-tokens",2000,"c",3,"dist.wurzburg",60.5555555555556
"187","teatro-sgo","only-tokens",1000,"c",3,"dist.wurzburg",59.5555555555556
"5","teatro-sgo","only-tokens",100,"w",1,"dist.delta",59.4444444444444
"14","teatro-sgo","only-tokens",500,"w",2,"dist.delta",59.4444444444444
"29","teatro-sgo","only-tokens",2000,"w",1,"dist.delta",59.3333333333333
"183","teatro-sgo","only-tokens",500,"w",3,"dist.wurzburg",59.3333333333333
"107","teatro-sgo","only-tokens",5000,"c",3,"dist.eder",58.5555555555556
"35","teatro-sgo","only-tokens",3000,"c",3,"dist.delta",58.4444444444444
"13","teatro-sgo","only-tokens",500,"w",1,"dist.delta",58.3333333333333
"78","teatro-sgo","only-tokens",1000,"w",2,"dist.eder",58.3333333333333
"215","teatro-sgo","only-tokens",4000,"w",3,"dist.wurzburg",58.3333333333333
"61","teatro-sgo","only-tokens",100,"w",1,"dist.eder",57.4444444444444
"62","teatro-sgo","only-tokens",100,"w",2,"dist.eder",57.4444444444444
"99","teatro-sgo","only-tokens",4000,"c",3,"dist.eder",57.4444444444444
"117","teatro-sgo","only-tokens",100,"w",1,"dist.minmax",57.4444444444444
"141","teatro-sgo","only-tokens",2000,"w",1,"dist.minmax",57.4444444444444
"149","teatro-sgo","only-tokens",3000,"w",1,"dist.minmax",57.4444444444444
"223","teatro-sgo","only-tokens",5000,"w",3,"dist.wurzburg",57.4444444444444
"86","teatro-sgo","only-tokens",2000,"w",2,"dist.eder",57.3333333333333
"126","teatro-sgo","only-tokens",500,"w",2,"dist.minmax",57.3333333333333
"51","teatro-sgo","only-tokens",5000,"c",3,"dist.delta",56.5555555555556
"207","teatro-sgo","only-tokens",3000,"w",3,"dist.wurzburg",56.4444444444444
"191","teatro-sgo","only-tokens",1000,"w",3,"dist.wurzburg",56.3333333333333
"12","teatro-sgo","only-tokens",500,"c",4,"dist.delta",55.3333333333333
"199","teatro-sgo","only-tokens",2000,"w",3,"dist.wurzburg",55.3333333333333
"22","teatro-sgo","only-tokens",1000,"w",2,"dist.delta",55.2222222222222
"118","teatro-sgo","only-tokens",100,"w",2,"dist.minmax",55.1111111111111
"125","teatro-sgo","only-tokens",500,"w",1,"dist.minmax",54.3333333333333
"133","teatro-sgo","only-tokens",1000,"w",1,"dist.minmax",54.3333333333333
"170","teatro-sgo","only-tokens",100,"c",2,"dist.wurzburg",54.3333333333333
"178","teatro-sgo","only-tokens",500,"c",2,"dist.wurzburg",54.2222222222222
"134","teatro-sgo","only-tokens",1000,"w",2,"dist.minmax",54.1111111111111
"186","teatro-sgo","only-tokens",1000,"c",2,"dist.wurzburg",54.1111111111111
"194","teatro-sgo","only-tokens",2000,"c",2,"dist.wurzburg",54.1111111111111
"202","teatro-sgo","only-tokens",3000,"c",2,"dist.wurzburg",54.1111111111111
"210","teatro-sgo","only-tokens",4000,"c",2,"dist.wurzburg",54.1111111111111
"218","teatro-sgo","only-tokens",5000,"c",2,"dist.wurzburg",54.1111111111111
"172","teatro-sgo","only-tokens",100,"c",4,"dist.wurzburg",53.4444444444444
"171","teatro-sgo","only-tokens",100,"c",3,"dist.wurzburg",53.3333333333333
"157","teatro-sgo","only-tokens",4000,"w",1,"dist.minmax",53.2222222222222
"165","teatro-sgo","only-tokens",5000,"w",1,"dist.minmax",53.2222222222222
"167","teatro-sgo","only-tokens",5000,"w",3,"dist.minmax",53.2222222222222
"142","teatro-sgo","only-tokens",2000,"w",2,"dist.minmax",53.1111111111111
"68","teatro-sgo","only-tokens",500,"c",4,"dist.eder",52.2222222222222
"76","teatro-sgo","only-tokens",1000,"c",4,"dist.eder",52.2222222222222
"6","teatro-sgo","only-tokens",100,"w",2,"dist.delta",52.1111111111111
"84","teatro-sgo","only-tokens",2000,"c",4,"dist.eder",52.1111111111111
"127","teatro-sgo","only-tokens",500,"w",3,"dist.minmax",52.1111111111111
"159","teatro-sgo","only-tokens",4000,"w",3,"dist.minmax",52.1111111111111
"20","teatro-sgo","only-tokens",1000,"c",4,"dist.delta",51.1111111111111
"151","teatro-sgo","only-tokens",3000,"w",3,"dist.minmax",51
"166","teatro-sgo","only-tokens",5000,"w",2,"dist.minmax",51
"92","teatro-sgo","only-tokens",3000,"c",4,"dist.eder",50
"150","teatro-sgo","only-tokens",3000,"w",2,"dist.minmax",50
"158","teatro-sgo","only-tokens",4000,"w",2,"dist.minmax",50
"132","teatro-sgo","only-tokens",1000,"c",4,"dist.minmax",49.1111111111111
"36","teatro-sgo","only-tokens",3000,"c",4,"dist.delta",49
"116","teatro-sgo","only-tokens",100,"c",4,"dist.minmax",48.8888888888889
"174","teatro-sgo","only-tokens",100,"w",2,"dist.wurzburg",48.8888888888889
"100","teatro-sgo","only-tokens",4000,"c",4,"dist.eder",48
"135","teatro-sgo","only-tokens",1000,"w",3,"dist.minmax",48
"175","teatro-sgo","only-tokens",100,"w",3,"dist.wurzburg",48
"18","teatro-sgo","only-tokens",1000,"c",2,"dist.delta",47.8888888888889
"26","teatro-sgo","only-tokens",2000,"c",2,"dist.delta",47.8888888888889
"34","teatro-sgo","only-tokens",3000,"c",2,"dist.delta",47.8888888888889
"42","teatro-sgo","only-tokens",4000,"c",2,"dist.delta",47.8888888888889
"50","teatro-sgo","only-tokens",5000,"c",2,"dist.delta",47.8888888888889
"124","teatro-sgo","only-tokens",500,"c",4,"dist.minmax",47.8888888888889
"79","teatro-sgo","only-tokens",1000,"w",3,"dist.eder",47.1111111111111
"44","teatro-sgo","only-tokens",4000,"c",4,"dist.delta",47
"108","teatro-sgo","only-tokens",5000,"c",4,"dist.eder",47
"52","teatro-sgo","only-tokens",5000,"c",4,"dist.delta",46.8888888888889
"143","teatro-sgo","only-tokens",2000,"w",3,"dist.minmax",46.8888888888889
"28","teatro-sgo","only-tokens",2000,"c",4,"dist.delta",45.8888888888889
"4","teatro-sgo","only-tokens",100,"c",4,"dist.delta",45.8888888888889
"60","teatro-sgo","only-tokens",100,"c",4,"dist.eder",45.8888888888889
"119","teatro-sgo","only-tokens",100,"w",3,"dist.minmax",45
"87","teatro-sgo","only-tokens",2000,"w",3,"dist.eder",45
"115","teatro-sgo","only-tokens",100,"c",3,"dist.minmax",44.7777777777778
"15","teatro-sgo","only-tokens",500,"w",3,"dist.delta",43.6666666666667
"168","teatro-sgo","only-tokens",5000,"w",4,"dist.minmax",42.8888888888889
"192","teatro-sgo","only-tokens",1000,"w",4,"dist.wurzburg",42.8888888888889
"148","teatro-sgo","only-tokens",3000,"c",4,"dist.minmax",42.7777777777778
"156","teatro-sgo","only-tokens",4000,"c",4,"dist.minmax",42.7777777777778
"164","teatro-sgo","only-tokens",5000,"c",4,"dist.minmax",42.7777777777778
"11","teatro-sgo","only-tokens",500,"c",3,"dist.delta",42.6666666666667
"95","teatro-sgo","only-tokens",3000,"w",3,"dist.eder",41.8888888888889
"83","teatro-sgo","only-tokens",2000,"c",3,"dist.eder",41.7777777777778
"140","teatro-sgo","only-tokens",2000,"c",4,"dist.minmax",41.7777777777778
"160","teatro-sgo","only-tokens",4000,"w",4,"dist.minmax",41.7777777777778
"75","teatro-sgo","only-tokens",1000,"c",3,"dist.eder",41.6666666666667
"23","teatro-sgo","only-tokens",1000,"w",3,"dist.delta",41.6666666666667
"2","teatro-sgo","only-tokens",100,"c",2,"dist.delta",41.5555555555556
"10","teatro-sgo","only-tokens",500,"c",2,"dist.delta",41.5555555555556
"59","teatro-sgo","only-tokens",100,"c",3,"dist.eder",41.5555555555556
"91","teatro-sgo","only-tokens",3000,"c",3,"dist.eder",40.7777777777778
"147","teatro-sgo","only-tokens",3000,"c",3,"dist.minmax",40.7777777777778
"152","teatro-sgo","only-tokens",3000,"w",4,"dist.minmax",40.7777777777778
"27","teatro-sgo","only-tokens",2000,"c",3,"dist.delta",40.6666666666667
"3","teatro-sgo","only-tokens",100,"c",3,"dist.delta",40.5555555555556
"71","teatro-sgo","only-tokens",500,"w",3,"dist.eder",40.5555555555556
"74","teatro-sgo","only-tokens",1000,"c",2,"dist.eder",40.5555555555556
"82","teatro-sgo","only-tokens",2000,"c",2,"dist.eder",40.5555555555556
"90","teatro-sgo","only-tokens",3000,"c",2,"dist.eder",40.5555555555556
"98","teatro-sgo","only-tokens",4000,"c",2,"dist.eder",40.5555555555556
"106","teatro-sgo","only-tokens",5000,"c",2,"dist.eder",40.5555555555556
"130","teatro-sgo","only-tokens",1000,"c",2,"dist.minmax",40.5555555555556
"138","teatro-sgo","only-tokens",2000,"c",2,"dist.minmax",40.5555555555556
"146","teatro-sgo","only-tokens",3000,"c",2,"dist.minmax",40.5555555555556
"154","teatro-sgo","only-tokens",4000,"c",2,"dist.minmax",40.5555555555556
"162","teatro-sgo","only-tokens",5000,"c",2,"dist.minmax",40.5555555555556
"63","teatro-sgo","only-tokens",100,"w",3,"dist.eder",39.7777777777778
"139","teatro-sgo","only-tokens",2000,"c",3,"dist.minmax",39.6666666666667
"122","teatro-sgo","only-tokens",500,"c",2,"dist.minmax",39.5555555555556
"66","teatro-sgo","only-tokens",500,"c",2,"dist.eder",39.4444444444444
"184","teatro-sgo","only-tokens",500,"w",4,"dist.wurzburg",38.7777777777778
"155","teatro-sgo","only-tokens",4000,"c",3,"dist.minmax",38.6666666666667
"163","teatro-sgo","only-tokens",5000,"c",3,"dist.minmax",38.6666666666667
"128","teatro-sgo","only-tokens",500,"w",4,"dist.minmax",38.6666666666667
"58","teatro-sgo","only-tokens",100,"c",2,"dist.eder",38.4444444444444
"114","teatro-sgo","only-tokens",100,"c",2,"dist.minmax",38.4444444444444
"123","teatro-sgo","only-tokens",500,"c",3,"dist.minmax",38.4444444444444
"169","teatro-sgo","only-tokens",100,"c",1,"dist.wurzburg",38.4444444444444
"177","teatro-sgo","only-tokens",500,"c",1,"dist.wurzburg",38.4444444444444
"185","teatro-sgo","only-tokens",1000,"c",1,"dist.wurzburg",38.4444444444444
"193","teatro-sgo","only-tokens",2000,"c",1,"dist.wurzburg",38.4444444444444
"201","teatro-sgo","only-tokens",3000,"c",1,"dist.wurzburg",38.4444444444444
"209","teatro-sgo","only-tokens",4000,"c",1,"dist.wurzburg",38.4444444444444
"217","teatro-sgo","only-tokens",5000,"c",1,"dist.wurzburg",38.4444444444444
"31","teatro-sgo","only-tokens",2000,"w",3,"dist.delta",37.8888888888889
"19","teatro-sgo","only-tokens",1000,"c",3,"dist.delta",37.5555555555556
"144","teatro-sgo","only-tokens",2000,"w",4,"dist.minmax",37.5555555555556
"67","teatro-sgo","only-tokens",500,"c",3,"dist.eder",37.3333333333333
"136","teatro-sgo","only-tokens",1000,"w",4,"dist.minmax",36.5555555555556
"1","teatro-sgo","only-tokens",100,"c",1,"dist.delta",36.3333333333333
"9","teatro-sgo","only-tokens",500,"c",1,"dist.delta",36.3333333333333
"17","teatro-sgo","only-tokens",1000,"c",1,"dist.delta",36.3333333333333
"25","teatro-sgo","only-tokens",2000,"c",1,"dist.delta",36.3333333333333
"33","teatro-sgo","only-tokens",3000,"c",1,"dist.delta",36.3333333333333
"41","teatro-sgo","only-tokens",4000,"c",1,"dist.delta",36.3333333333333
"49","teatro-sgo","only-tokens",5000,"c",1,"dist.delta",36.3333333333333
"103","teatro-sgo","only-tokens",4000,"w",3,"dist.eder",36
"131","teatro-sgo","only-tokens",1000,"c",3,"dist.minmax",34.3333333333333
"208","teatro-sgo","only-tokens",3000,"w",4,"dist.wurzburg",32.4444444444444
"200","teatro-sgo","only-tokens",2000,"w",4,"dist.wurzburg",32.3333333333333
"7","teatro-sgo","only-tokens",100,"w",3,"dist.delta",32.1111111111111
"216","teatro-sgo","only-tokens",4000,"w",4,"dist.wurzburg",31.5555555555556
"120","teatro-sgo","only-tokens",100,"w",4,"dist.minmax",31.2222222222222
"176","teatro-sgo","only-tokens",100,"w",4,"dist.wurzburg",30.3333333333333
"57","teatro-sgo","only-tokens",100,"c",1,"dist.eder",30.1111111111111
"65","teatro-sgo","only-tokens",500,"c",1,"dist.eder",30.1111111111111
"73","teatro-sgo","only-tokens",1000,"c",1,"dist.eder",30.1111111111111
"81","teatro-sgo","only-tokens",2000,"c",1,"dist.eder",30.1111111111111
"89","teatro-sgo","only-tokens",3000,"c",1,"dist.eder",30.1111111111111
"97","teatro-sgo","only-tokens",4000,"c",1,"dist.eder",30.1111111111111
"105","teatro-sgo","only-tokens",5000,"c",1,"dist.eder",30.1111111111111
"111","teatro-sgo","only-tokens",5000,"w",3,"dist.eder",27.5555555555556
"39","teatro-sgo","only-tokens",3000,"w",3,"dist.delta",26.3333333333333
"224","teatro-sgo","only-tokens",5000,"w",4,"dist.wurzburg",26.2222222222222
"72","teatro-sgo","only-tokens",500,"w",4,"dist.eder",26.1111111111111
"113","teatro-sgo","only-tokens",100,"c",1,"dist.minmax",26
"121","teatro-sgo","only-tokens",500,"c",1,"dist.minmax",26
"129","teatro-sgo","only-tokens",1000,"c",1,"dist.minmax",26
"137","teatro-sgo","only-tokens",2000,"c",1,"dist.minmax",26
"145","teatro-sgo","only-tokens",3000,"c",1,"dist.minmax",26
"153","teatro-sgo","only-tokens",4000,"c",1,"dist.minmax",26
"161","teatro-sgo","only-tokens",5000,"c",1,"dist.minmax",26
"8","teatro-sgo","only-tokens",100,"w",4,"dist.delta",25
"64","teatro-sgo","only-tokens",100,"w",4,"dist.eder",23.8888888888889
"16","teatro-sgo","only-tokens",500,"w",4,"dist.delta",15.8888888888889
"47","teatro-sgo","only-tokens",4000,"w",3,"dist.delta",13.5555555555556
"80","teatro-sgo","only-tokens",1000,"w",4,"dist.eder",11.5555555555556
"32","teatro-sgo","only-tokens",2000,"w",4,"dist.delta",11.4444444444444
"40","teatro-sgo","only-tokens",3000,"w",4,"dist.delta",11.4444444444444
"55","teatro-sgo","only-tokens",5000,"w",3,"dist.delta",11.4444444444444
"88","teatro-sgo","only-tokens",2000,"w",4,"dist.eder",11.4444444444444
"96","teatro-sgo","only-tokens",3000,"w",4,"dist.eder",11.4444444444444
"104","teatro-sgo","only-tokens",4000,"w",4,"dist.eder",11.4444444444444
"112","teatro-sgo","only-tokens",5000,"w",4,"dist.eder",11.4444444444444
"48","teatro-sgo","only-tokens",4000,"w",4,"dist.delta",10.4444444444444
"56","teatro-sgo","only-tokens",5000,"w",4,"dist.delta",10.4444444444444
"24","teatro-sgo","only-tokens",1000,"w",4,"dist.delta",9.33333333333333
